#    L    TT             EE             TE             PP             TP          
     2    0.10260E+04    0.43072E-01    0.30833E+01    0.10391E+07    0.28099E+05
     3    0.96896E+03    0.67225E-01    0.37442E+01    0.15998E+07    0.33617E+05
     4    0.91289E+03    0.72263E-01    0.37702E+01    0.20967E+07    0.36248E+05
     5    0.86941E+03    0.61155E-01    0.34372E+01    0.25352E+07    0.37311E+05
     6    0.83818E+03    0.43065E-01    0.29500E+01    0.29223E+07    0.37515E+05
     7    0.81706E+03    0.26292E-01    0.24358E+01    0.32656E+07    0.37243E+05
     8    0.80337E+03    0.14947E-01    0.19686E+01    0.35712E+07    0.36654E+05
     9    0.79545E+03    0.91509E-02    0.15829E+01    0.38445E+07    0.35841E+05
    10    0.79200E+03    0.69511E-02    0.12942E+01    0.40892E+07    0.34900E+05
    11    0.79166E+03    0.62264E-02    0.11047E+01    0.43100E+07    0.33946E+05
    12    0.79474E+03    0.57679E-02    0.10081E+01    0.45085E+07    0.33035E+05
    13    0.79957E+03    0.50549E-02    0.98138E+00    0.46871E+07    0.32170E+05
    14    0.80528E+03    0.44353E-02    0.99817E+00    0.48485E+07    0.31338E+05
    15    0.81222E+03    0.40756E-02    0.10432E+01    0.49944E+07    0.30510E+05
    16    0.82082E+03    0.40275E-02    0.11047E+01    0.51262E+07    0.29665E+05
    17    0.83103E+03    0.42832E-02    0.11717E+01    0.52455E+07    0.28829E+05
    18    0.84192E+03    0.46432E-02    0.12361E+01    0.53535E+07    0.28032E+05
    19    0.85433E+03    0.50493E-02    0.12947E+01    0.54510E+07    0.27269E+05
    20    0.86660E+03    0.55423E-02    0.13436E+01    0.55386E+07    0.26529E+05
    21    0.87909E+03    0.61501E-02    0.13882E+01    0.56173E+07    0.25809E+05
    22    0.89210E+03    0.69678E-02    0.14338E+01    0.56883E+07    0.25106E+05
    23    0.90542E+03    0.80126E-02    0.14811E+01    0.57521E+07    0.24427E+05
    24    0.91914E+03    0.92509E-02    0.15298E+01    0.58089E+07    0.23777E+05
    25    0.93319E+03    0.10696E-01    0.15804E+01    0.58596E+07    0.23159E+05
    26    0.94740E+03    0.12330E-01    0.16337E+01    0.59046E+07    0.22569E+05
    27    0.96201E+03    0.14124E-01    0.16866E+01    0.59444E+07    0.22003E+05
    28    0.97686E+03    0.16081E-01    0.17365E+01    0.59793E+07    0.21454E+05
    29    0.99202E+03    0.18209E-01    0.17817E+01    0.60096E+07    0.20927E+05
    30    0.10074E+04    0.20525E-01    0.18196E+01    0.60352E+07    0.20424E+05
    31    0.10228E+04    0.23024E-01    0.18493E+01    0.60567E+07    0.19943E+05
    32    0.10386E+04    0.25690E-01    0.18698E+01    0.60748E+07    0.19476E+05
    33    0.10548E+04    0.28533E-01    0.18787E+01    0.60895E+07    0.19021E+05
    34    0.10711E+04    0.31583E-01    0.18753E+01    0.61010E+07    0.18576E+05
    35    0.10875E+04    0.34859E-01    0.18636E+01    0.61096E+07    0.18139E+05
    36    0.11040E+04    0.38382E-01    0.18463E+01    0.61155E+07    0.17712E+05
    37    0.11206E+04    0.42137E-01    0.18201E+01    0.61188E+07    0.17305E+05
    38    0.11376E+04    0.46113E-01    0.17830E+01    0.61198E+07    0.16925E+05
    39    0.11549E+04    0.50320E-01    0.17361E+01    0.61186E+07    0.16565E+05
    40    0.11724E+04    0.54778E-01    0.16810E+01    0.61152E+07    0.16219E+05
    41    0.11901E+04    0.59508E-01    0.16183E+01    0.61099E+07    0.15879E+05
    42    0.12077E+04    0.64513E-01    0.15466E+01    0.61026E+07    0.15545E+05
    43    0.12255E+04    0.69793E-01    0.14638E+01    0.60936E+07    0.15218E+05
    44    0.12433E+04    0.75332E-01    0.13685E+01    0.60830E+07    0.14900E+05
    45    0.12614E+04    0.81125E-01    0.12596E+01    0.60708E+07    0.14592E+05
    46    0.12797E+04    0.87172E-01    0.11346E+01    0.60573E+07    0.14294E+05
    47    0.12982E+04    0.93474E-01    0.99501E+00    0.60425E+07    0.14006E+05
    48    0.13168E+04    0.10004E+00    0.84601E+00    0.60265E+07    0.13726E+05
    49    0.13355E+04    0.10686E+00    0.69228E+00    0.60093E+07    0.13451E+05
    50    0.13546E+04    0.11391E+00    0.53166E+00    0.59911E+07    0.13181E+05
