#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10604E+04    0.44864E-01    0.00000E+00    0.32465E+01    0.52949E-07    0.30788E-02   -0.15075E-04
     3    0.10041E+04    0.70184E-01    0.00000E+00    0.39337E+01    0.64395E-07    0.30930E-02   -0.18000E-04
     4    0.94791E+03    0.75677E-01    0.00000E+00    0.39592E+01    0.74162E-07    0.30311E-02   -0.17653E-04
     5    0.90412E+03    0.64270E-01    0.00000E+00    0.36100E+01    0.82634E-07    0.29373E-02   -0.15056E-04
     6    0.87266E+03    0.45433E-01    0.00000E+00    0.30998E+01    0.90027E-07    0.28333E-02   -0.11137E-04
     7    0.85144E+03    0.27834E-01    0.00000E+00    0.25608E+01    0.96534E-07    0.27290E-02   -0.67588E-05
     8    0.83777E+03    0.15845E-01    0.00000E+00    0.20706E+01    0.10229E-06    0.26248E-02   -0.26744E-05
     9    0.82997E+03    0.96672E-02    0.00000E+00    0.16653E+01    0.10742E-06    0.25206E-02    0.55132E-06
    10    0.82674E+03    0.73026E-02    0.00000E+00    0.13615E+01    0.11199E-06    0.24189E-02    0.26513E-05
    11    0.82668E+03    0.65308E-02    0.00000E+00    0.11613E+01    0.11610E-06    0.23248E-02    0.36473E-05
    12    0.83014E+03    0.60550E-02    0.00000E+00    0.10584E+01    0.11977E-06    0.22400E-02    0.36936E-05
    13    0.83538E+03    0.53234E-02    0.00000E+00    0.10288E+01    0.12305E-06    0.21631E-02    0.29811E-05
    14    0.84151E+03    0.46725E-02    0.00000E+00    0.10453E+01    0.12600E-06    0.20920E-02    0.17375E-05
    15    0.84888E+03    0.42832E-02    0.00000E+00    0.10919E+01    0.12864E-06    0.20242E-02    0.34544E-06
    16    0.85798E+03    0.42235E-02    0.00000E+00    0.11563E+01    0.13102E-06    0.19575E-02   -0.83151E-06
    17    0.86875E+03    0.44847E-02    0.00000E+00    0.12267E+01    0.13315E-06    0.18934E-02   -0.16345E-05
    18    0.88022E+03    0.48619E-02    0.00000E+00    0.12947E+01    0.13506E-06    0.18334E-02   -0.20008E-05
    19    0.89323E+03    0.52903E-02    0.00000E+00    0.13565E+01    0.13677E-06    0.17769E-02   -0.20484E-05
    20    0.90610E+03    0.58056E-02    0.00000E+00    0.14083E+01    0.13828E-06    0.17230E-02   -0.19077E-05
    21    0.91920E+03    0.64381E-02    0.00000E+00    0.14556E+01    0.13962E-06    0.16712E-02   -0.15878E-05
    22    0.93282E+03    0.72869E-02    0.00000E+00    0.15037E+01    0.14081E-06    0.16213E-02   -0.10990E-05
    23    0.94676E+03    0.83718E-02    0.00000E+00    0.15533E+01    0.14187E-06    0.15736E-02   -0.57588E-06
    24    0.96110E+03    0.96613E-02    0.00000E+00    0.16044E+01    0.14278E-06    0.15283E-02   -0.16976E-06
