#    L    TT             EE             TE             PP             TP          
     2    0.10728E+04    0.43811E-01    0.31716E+01    0.10887E+07    0.29476E+05
     3    0.10140E+04    0.69152E-01    0.38751E+01    0.16761E+07    0.35243E+05
     4    0.95592E+03    0.75366E-01    0.39246E+01    0.21968E+07    0.37985E+05
     5    0.91077E+03    0.64847E-01    0.35988E+01    0.26562E+07    0.39091E+05
     6    0.87825E+03    0.46531E-01    0.31075E+01    0.30618E+07    0.39303E+05
     7    0.85618E+03    0.28931E-01    0.25819E+01    0.34215E+07    0.39021E+05
     8    0.84181E+03    0.16611E-01    0.20999E+01    0.37417E+07    0.38406E+05
     9    0.83344E+03    0.10071E-01    0.16976E+01    0.40280E+07    0.37557E+05
    10    0.82974E+03    0.74993E-02    0.13919E+01    0.42845E+07    0.36576E+05
    11    0.82932E+03    0.66903E-02    0.11867E+01    0.45158E+07    0.35578E+05
    12    0.83247E+03    0.62522E-02    0.10779E+01    0.47238E+07    0.34620E+05
    13    0.83747E+03    0.55528E-02    0.10430E+01    0.49109E+07    0.33708E+05
    14    0.84340E+03    0.48772E-02    0.10559E+01    0.50800E+07    0.32831E+05
    15    0.85063E+03    0.44337E-02    0.11006E+01    0.52329E+07    0.31963E+05
    16    0.85963E+03    0.43312E-02    0.11644E+01    0.53710E+07    0.31081E+05
    17    0.87031E+03    0.45768E-02    0.12356E+01    0.54960E+07    0.30209E+05
    18    0.88171E+03    0.49692E-02    0.13055E+01    0.56092E+07    0.29375E+05
    19    0.89466E+03    0.54228E-02    0.13695E+01    0.57114E+07    0.28577E+05
    20    0.90750E+03    0.59513E-02    0.14231E+01    0.58031E+07    0.27805E+05
    21    0.92058E+03    0.65825E-02    0.14711E+01    0.58857E+07    0.27053E+05
    22    0.93420E+03    0.74188E-02    0.15184E+01    0.59601E+07    0.26319E+05
    23    0.94815E+03    0.84902E-02    0.15665E+01    0.60269E+07    0.25607E+05
    24    0.96251E+03    0.97744E-02    0.16160E+01    0.60865E+07    0.24925E+05
    25    0.97722E+03    0.11286E-01    0.16671E+01    0.61396E+07    0.24275E+05
    26    0.99210E+03    0.13004E-01    0.17210E+01    0.61867E+07    0.23657E+05
    27    0.10074E+04    0.14898E-01    0.17749E+01    0.62284E+07    0.23063E+05
    28    0.10229E+04    0.16965E-01    0.18265E+01    0.62651E+07    0.22488E+05
    29    0.10388E+04    0.19216E-01    0.18740E+01    0.62968E+07    0.21936E+05
    30    0.10549E+04    0.21669E-01    0.19146E+01    0.63237E+07    0.21409E+05
