#    L    TT             EE             TE             PP             TP          
     2    0.10749E+04    0.45127E-01    0.32304E+01    0.10886E+07    0.29440E+05
     3    0.10152E+04    0.70432E-01    0.39229E+01    0.16761E+07    0.35221E+05
     4    0.95644E+03    0.75711E-01    0.39501E+01    0.21967E+07    0.37978E+05
     5    0.91089E+03    0.64072E-01    0.36011E+01    0.26562E+07    0.39091E+05
     6    0.87816E+03    0.45120E-01    0.30908E+01    0.30617E+07    0.39304E+05
     7    0.85604E+03    0.27546E-01    0.25520E+01    0.34214E+07    0.39019E+05
     8    0.84170E+03    0.15661E-01    0.20625E+01    0.37415E+07    0.38402E+05
     9    0.83340E+03    0.95875E-02    0.16584E+01    0.40279E+07    0.37551E+05
    10    0.82978E+03    0.72828E-02    0.13559E+01    0.42843E+07    0.36565E+05
    11    0.82943E+03    0.65235E-02    0.11574E+01    0.45157E+07    0.35566E+05
    12    0.83265E+03    0.60381E-02    0.10563E+01    0.47236E+07    0.34612E+05
    13    0.83772E+03    0.52961E-02    0.10282E+01    0.49107E+07    0.33705E+05
    14    0.84370E+03    0.46482E-02    0.10458E+01    0.50798E+07    0.32833E+05
    15    0.85097E+03    0.42700E-02    0.10929E+01    0.52327E+07    0.31965E+05
    16    0.85999E+03    0.42207E-02    0.11574E+01    0.53708E+07    0.31080E+05
    17    0.87068E+03    0.44875E-02    0.12276E+01    0.54957E+07    0.30205E+05
    18    0.88211E+03    0.48642E-02    0.12951E+01    0.56089E+07    0.29369E+05
    19    0.89509E+03    0.52902E-02    0.13564E+01    0.57111E+07    0.28570E+05
    20    0.90794E+03    0.58063E-02    0.14077E+01    0.58028E+07    0.27795E+05
    21    0.92104E+03    0.64436E-02    0.14545E+01    0.58853E+07    0.27041E+05
    22    0.93466E+03    0.73006E-02    0.15022E+01    0.59597E+07    0.26304E+05
    23    0.94862E+03    0.83949E-02    0.15517E+01    0.60265E+07    0.25592E+05
    24    0.96299E+03    0.96925E-02    0.16028E+01    0.60861E+07    0.24912E+05
    25    0.97771E+03    0.11206E-01    0.16558E+01    0.61391E+07    0.24264E+05
    26    0.99260E+03    0.12918E-01    0.17116E+01    0.61863E+07    0.23646E+05
    27    0.10079E+04    0.14798E-01    0.17671E+01    0.62280E+07    0.23053E+05
    28    0.10235E+04    0.16848E-01    0.18194E+01    0.62646E+07    0.22478E+05
    29    0.10393E+04    0.19077E-01    0.18667E+01    0.62963E+07    0.21925E+05
    30    0.10554E+04    0.21504E-01    0.19064E+01    0.63232E+07    0.21399E+05
    31    0.10716E+04    0.24122E-01    0.19375E+01    0.63457E+07    0.20894E+05
    32    0.10882E+04    0.26915E-01    0.19590E+01    0.63646E+07    0.20405E+05
    33    0.11051E+04    0.29895E-01    0.19683E+01    0.63800E+07    0.19929E+05
    34    0.11222E+04    0.33090E-01    0.19648E+01    0.63921E+07    0.19462E+05
    35    0.11394E+04    0.36522E-01    0.19525E+01    0.64011E+07    0.19004E+05
    36    0.11567E+04    0.40213E-01    0.19343E+01    0.64073E+07    0.18557E+05
    37    0.11741E+04    0.44147E-01    0.19069E+01    0.64108E+07    0.18131E+05
    38    0.11919E+04    0.48313E-01    0.18681E+01    0.64118E+07    0.17732E+05
    39    0.12100E+04    0.52721E-01    0.18190E+01    0.64105E+07    0.17355E+05
    40    0.12283E+04    0.57392E-01    0.17612E+01    0.64070E+07    0.16992E+05
    41    0.12468E+04    0.62347E-01    0.16955E+01    0.64014E+07    0.16636E+05
    42    0.12653E+04    0.67592E-01    0.16203E+01    0.63938E+07    0.16286E+05
    43    0.12840E+04    0.73123E-01    0.15335E+01    0.63843E+07    0.15944E+05
    44    0.13026E+04    0.78926E-01    0.14337E+01    0.63732E+07    0.15611E+05
    45    0.13215E+04    0.84996E-01    0.13197E+01    0.63605E+07    0.15288E+05
    46    0.13408E+04    0.91330E-01    0.11890E+01    0.63463E+07    0.14976E+05
    47    0.13602E+04    0.97932E-01    0.10430E+01    0.63308E+07    0.14675E+05
    48    0.13796E+04    0.10481E+00    0.88700E+00    0.63140E+07    0.14381E+05
    49    0.13992E+04    0.11195E+00    0.72572E+00    0.62960E+07    0.14093E+05
    50    0.14192E+04    0.11934E+00    0.55702E+00    0.62770E+07    0.13810E+05
    51    0.14394E+04    0.12695E+00    0.37708E+00    0.62569E+07    0.13530E+05
    52    0.14599E+04    0.13486E+00    0.18078E+00    0.62360E+07    0.13255E+05
    53    0.14805E+04    0.14322E+00   -0.35429E-01    0.62141E+07    0.12987E+05
    54    0.15009E+04    0.15201E+00   -0.26715E+00    0.61914E+07    0.12728E+05
    55    0.15215E+04    0.16122E+00   -0.50986E+00    0.61680E+07    0.12480E+05
    56    0.15425E+04    0.17068E+00   -0.76518E+00    0.61438E+07    0.12245E+05
    57    0.15637E+04    0.18031E+00   -0.10330E+01    0.61190E+07    0.12021E+05
    58    0.15853E+04    0.19010E+00   -0.13141E+01    0.60935E+07    0.11807E+05
    59    0.16070E+04    0.20010E+00   -0.16092E+01    0.60674E+07    0.11600E+05
    60    0.16288E+04    0.21036E+00   -0.19175E+01    0.60407E+07    0.11399E+05
