#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10749E+04    0.45127E-01    0.00000E+00    0.32304E+01    0.52480E-07    0.31582E-02   -0.15094E-04
     3    0.10152E+04    0.70432E-01    0.00000E+00    0.39229E+01    0.63842E-07    0.31666E-02   -0.18008E-04
     4    0.95644E+03    0.75711E-01    0.00000E+00    0.39501E+01    0.73539E-07    0.30993E-02   -0.17629E-04
     5    0.91089E+03    0.64072E-01    0.00000E+00    0.36011E+01    0.81949E-07    0.30007E-02   -0.14994E-04
     6    0.87816E+03    0.45120E-01    0.00000E+00    0.30908E+01    0.89287E-07    0.28923E-02   -0.11043E-04
     7    0.85604E+03    0.27546E-01    0.00000E+00    0.25520E+01    0.95744E-07    0.27838E-02   -0.66459E-05
     8    0.84170E+03    0.15661E-01    0.00000E+00    0.20625E+01    0.10146E-06    0.26759E-02   -0.25599E-05
     9    0.83340E+03    0.95875E-02    0.00000E+00    0.16584E+01    0.10654E-06    0.25682E-02    0.65015E-06
    10    0.82978E+03    0.72828E-02    0.00000E+00    0.13559E+01    0.11107E-06    0.24634E-02    0.27199E-05
    11    0.82943E+03    0.65235E-02    0.00000E+00    0.11574E+01    0.11514E-06    0.23664E-02    0.36783E-05
    12    0.83265E+03    0.60381E-02    0.00000E+00    0.10563E+01    0.11877E-06    0.22790E-02    0.36892E-05
    13    0.83772E+03    0.52961E-02    0.00000E+00    0.10282E+01    0.12202E-06    0.21996E-02    0.29494E-05
    14    0.84370E+03    0.46482E-02    0.00000E+00    0.10458E+01    0.12494E-06    0.21263E-02    0.16897E-05
    15    0.85097E+03    0.42700E-02    0.00000E+00    0.10929E+01    0.12756E-06    0.20563E-02    0.29243E-06
    16    0.85999E+03    0.42207E-02    0.00000E+00    0.11574E+01    0.12990E-06    0.19877E-02   -0.87990E-06
    17    0.87068E+03    0.44875E-02    0.00000E+00    0.12276E+01    0.13201E-06    0.19217E-02   -0.16689E-05
    18    0.88211E+03    0.48642E-02    0.00000E+00    0.12951E+01    0.13390E-06    0.18599E-02   -0.20134E-05
    19    0.89509E+03    0.52902E-02    0.00000E+00    0.13564E+01    0.13558E-06    0.18017E-02   -0.20385E-05
    20    0.90794E+03    0.58063E-02    0.00000E+00    0.14077E+01    0.13707E-06    0.17463E-02   -0.18814E-05
