#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10716E+04    0.45152E-01    0.00000E+00    0.31863E+01    0.52440E-07    0.31830E-02   -0.15096E-04
     3    0.10131E+04    0.70452E-01    0.00000E+00    0.38855E+01    0.63796E-07    0.31853E-02   -0.18008E-04
     4    0.95526E+03    0.75705E-01    0.00000E+00    0.39259E+01    0.73488E-07    0.31128E-02   -0.17626E-04
     5    0.91030E+03    0.64041E-01    0.00000E+00    0.35883E+01    0.81895E-07    0.30101E-02   -0.14987E-04
     6    0.87796E+03    0.45078E-01    0.00000E+00    0.30849E+01    0.89229E-07    0.28989E-02   -0.11032E-04
     7    0.85609E+03    0.27510E-01    0.00000E+00    0.25493E+01    0.95683E-07    0.27892E-02   -0.66328E-05
     8    0.84190E+03    0.15638E-01    0.00000E+00    0.20610E+01    0.10139E-06    0.26807E-02   -0.25469E-05
     9    0.83368E+03    0.95773E-02    0.00000E+00    0.16573E+01    0.10648E-06    0.25731E-02    0.66096E-06
    10    0.83009E+03    0.72795E-02    0.00000E+00    0.13552E+01    0.11100E-06    0.24684E-02    0.27271E-05
    11    0.82972E+03    0.65217E-02    0.00000E+00    0.11570E+01    0.11507E-06    0.23714E-02    0.36811E-05
    12    0.83292E+03    0.60353E-02    0.00000E+00    0.10561E+01    0.11870E-06    0.22837E-02    0.36880E-05
    13    0.83796E+03    0.52924E-02    0.00000E+00    0.10283E+01    0.12195E-06    0.22040E-02    0.29450E-05
    14    0.84393E+03    0.46452E-02    0.00000E+00    0.10460E+01    0.12487E-06    0.21304E-02    0.16835E-05
    15    0.85119E+03    0.42687E-02    0.00000E+00    0.10933E+01    0.12749E-06    0.20602E-02    0.28603E-06
    16    0.86020E+03    0.42209E-02    0.00000E+00    0.11577E+01    0.12983E-06    0.19914E-02   -0.88515E-06
    17    0.87089E+03    0.44886E-02    0.00000E+00    0.12280E+01    0.13193E-06    0.19253E-02   -0.16720E-05
    18    0.88232E+03    0.48655E-02    0.00000E+00    0.12955E+01    0.13382E-06    0.18634E-02   -0.20139E-05
    19    0.89529E+03    0.52918E-02    0.00000E+00    0.13567E+01    0.13550E-06    0.18051E-02   -0.20364E-05
    20    0.90814E+03    0.58086E-02    0.00000E+00    0.14080E+01    0.13699E-06    0.17495E-02   -0.18775E-05
    21    0.92123E+03    0.64472E-02    0.00000E+00    0.14547E+01    0.13831E-06    0.16962E-02   -0.15491E-05
    22    0.93485E+03    0.73060E-02    0.00000E+00    0.15025E+01    0.13948E-06    0.16448E-02   -0.10618E-05
    23    0.94881E+03    0.84022E-02    0.00000E+00    0.15520E+01    0.14051E-06    0.15957E-02   -0.54630E-06
    24    0.96318E+03    0.97017E-02    0.00000E+00    0.16032E+01    0.14141E-06    0.15492E-02   -0.14979E-06
    25    0.97790E+03    0.11217E-01    0.00000E+00    0.16562E+01    0.14219E-06    0.15053E-02    0.28215E-07
    26    0.99280E+03    0.12931E-01    0.00000E+00    0.17121E+01    0.14286E-06    0.14637E-02   -0.56527E-07
    27    0.10081E+04    0.14813E-01    0.00000E+00    0.17676E+01    0.14342E-06    0.14240E-02   -0.27683E-06
    28    0.10237E+04    0.16864E-01    0.00000E+00    0.18198E+01    0.14390E-06    0.13859E-02   -0.48872E-06
    29    0.10395E+04    0.19096E-01    0.00000E+00    0.18671E+01    0.14429E-06    0.13493E-02   -0.64817E-06
    30    0.10556E+04    0.21525E-01    0.00000E+00    0.19068E+01    0.14458E-06    0.13147E-02   -0.74895E-06
    31    0.10718E+04    0.24145E-01    0.00000E+00    0.19378E+01    0.14479E-06    0.12817E-02   -0.83602E-06
    32    0.10884E+04    0.26940E-01    0.00000E+00    0.19592E+01    0.14494E-06    0.12499E-02   -0.94592E-06
    33    0.11053E+04    0.29922E-01    0.00000E+00    0.19684E+01    0.14502E-06    0.12190E-02   -0.10312E-05
    34    0.11224E+04    0.33120E-01    0.00000E+00    0.19647E+01    0.14505E-06    0.11888E-02   -0.10314E-05
    35    0.11396E+04    0.36556E-01    0.00000E+00    0.19524E+01    0.14502E-06    0.11595E-02   -0.91690E-06
    36    0.11569E+04    0.40250E-01    0.00000E+00    0.19341E+01    0.14493E-06    0.11309E-02   -0.69074E-06
    37    0.11743E+04    0.44188E-01    0.00000E+00    0.19066E+01    0.14480E-06    0.11037E-02   -0.45632E-06
    38    0.11921E+04    0.48357E-01    0.00000E+00    0.18677E+01    0.14462E-06    0.10782E-02   -0.31300E-06
    39    0.12103E+04    0.52769E-01    0.00000E+00    0.18185E+01    0.14440E-06    0.10543E-02   -0.24540E-06
    40    0.12286E+04    0.57444E-01    0.00000E+00    0.17606E+01    0.14414E-06    0.10313E-02   -0.20969E-06
    41    0.12471E+04    0.62404E-01    0.00000E+00    0.16948E+01    0.14384E-06    0.10087E-02   -0.17068E-06
    42    0.12656E+04    0.67652E-01    0.00000E+00    0.16194E+01    0.14351E-06    0.98665E-03   -0.12723E-06
    43    0.12842E+04    0.73188E-01    0.00000E+00    0.15324E+01    0.14314E-06    0.96513E-03   -0.86642E-07
    44    0.13028E+04    0.78997E-01    0.00000E+00    0.14325E+01    0.14275E-06    0.94423E-03   -0.56202E-07
    45    0.13218E+04    0.85071E-01    0.00000E+00    0.13183E+01    0.14232E-06    0.92401E-03   -0.43179E-07
    46    0.13411E+04    0.91411E-01    0.00000E+00    0.11874E+01    0.14187E-06    0.90452E-03   -0.53009E-07
    47    0.13605E+04    0.98017E-01    0.00000E+00    0.10412E+01    0.14139E-06    0.88567E-03   -0.83879E-07
    48    0.13799E+04    0.10490E+00    0.00000E+00    0.88503E+00    0.14090E-06    0.86736E-03   -0.13217E-06
    49    0.13995E+04    0.11205E+00    0.00000E+00    0.72355E+00    0.14038E-06    0.84947E-03   -0.19429E-06
    50    0.14195E+04    0.11944E+00    0.00000E+00    0.55464E+00    0.13984E-06    0.83189E-03   -0.26663E-06
    51    0.14397E+04    0.12706E+00    0.00000E+00    0.37447E+00    0.13929E-06    0.81455E-03   -0.34455E-06
    52    0.14602E+04    0.13497E+00    0.00000E+00    0.17794E+00    0.13872E-06    0.79753E-03   -0.41915E-06
    53    0.14808E+04    0.14334E+00    0.00000E+00   -0.38514E-01    0.13813E-06    0.78097E-03   -0.48049E-06
    54    0.15013E+04    0.15214E+00    0.00000E+00   -0.27049E+00    0.13753E-06    0.76498E-03   -0.51864E-06
    55    0.15219E+04    0.16135E+00    0.00000E+00   -0.51345E+00    0.13692E-06    0.74970E-03   -0.52369E-06
    56    0.15428E+04    0.17082E+00    0.00000E+00   -0.76905E+00    0.13630E-06    0.73522E-03   -0.48968E-06
    57    0.15641E+04    0.18046E+00    0.00000E+00   -0.10372E+01    0.13566E-06    0.72145E-03   -0.42633E-06
    58    0.15856E+04    0.19025E+00    0.00000E+00   -0.13185E+01    0.13502E-06    0.70827E-03   -0.34727E-06
    59    0.16073E+04    0.20026E+00    0.00000E+00   -0.16139E+01    0.13436E-06    0.69556E-03   -0.26611E-06
    60    0.16292E+04    0.21053E+00    0.00000E+00   -0.19225E+01    0.13370E-06    0.68320E-03   -0.19642E-06
    61    0.16515E+04    0.22115E+00    0.00000E+00   -0.22436E+01    0.13302E-06    0.67108E-03   -0.14864E-06
    62    0.16738E+04    0.23211E+00    0.00000E+00   -0.25780E+01    0.13234E-06    0.65914E-03   -0.12075E-06
    63    0.16961E+04    0.24338E+00    0.00000E+00   -0.29266E+01    0.13165E-06    0.64735E-03   -0.10759E-06
    64    0.17188E+04    0.25496E+00    0.00000E+00   -0.32907E+01    0.13096E-06    0.63564E-03   -0.10403E-06
    65    0.17416E+04    0.26682E+00    0.00000E+00   -0.36708E+01    0.13026E-06    0.62399E-03   -0.10494E-06
    66    0.17647E+04    0.27891E+00    0.00000E+00   -0.40650E+01    0.12956E-06    0.61237E-03   -0.10639E-06
    67    0.17879E+04    0.29121E+00    0.00000E+00   -0.44706E+01    0.12885E-06    0.60086E-03   -0.10921E-06
    68    0.18116E+04    0.30378E+00    0.00000E+00   -0.48860E+01    0.12815E-06    0.58958E-03   -0.11542E-06
    69    0.18355E+04    0.31656E+00    0.00000E+00   -0.53095E+01    0.12744E-06    0.57861E-03   -0.12705E-06
    70    0.18596E+04    0.32960E+00    0.00000E+00   -0.57428E+01    0.12672E-06    0.56808E-03   -0.14610E-06
    71    0.18839E+04    0.34288E+00    0.00000E+00   -0.61883E+01    0.12601E-06    0.55806E-03   -0.17318E-06
    72    0.19084E+04    0.35638E+00    0.00000E+00   -0.66475E+01    0.12530E-06    0.54851E-03   -0.20324E-06
    73    0.19330E+04    0.37007E+00    0.00000E+00   -0.71208E+01    0.12458E-06    0.53936E-03   -0.22982E-06
    74    0.19579E+04    0.38393E+00    0.00000E+00   -0.76074E+01    0.12386E-06    0.53056E-03   -0.24648E-06
    75    0.19830E+04    0.39797E+00    0.00000E+00   -0.81057E+01    0.12314E-06    0.52203E-03   -0.24677E-06
    76    0.20085E+04    0.41220E+00    0.00000E+00   -0.86152E+01    0.12242E-06    0.51371E-03   -0.22665E-06
    77    0.20343E+04    0.42660E+00    0.00000E+00   -0.91355E+01    0.12170E-06    0.50556E-03   -0.19160E-06
    78    0.20604E+04    0.44121E+00    0.00000E+00   -0.96682E+01    0.12098E-06    0.49754E-03   -0.14949E-06
    79    0.20867E+04    0.45596E+00    0.00000E+00   -0.10209E+02    0.12026E-06    0.48960E-03   -0.10819E-06
    80    0.21134E+04    0.47086E+00    0.00000E+00   -0.10760E+02    0.11954E-06    0.48171E-03   -0.75545E-07
    81    0.21402E+04    0.48586E+00    0.00000E+00   -0.11321E+02    0.11882E-06    0.47383E-03   -0.57752E-07
    82    0.21672E+04    0.50097E+00    0.00000E+00   -0.11892E+02    0.11811E-06    0.46599E-03   -0.54396E-07
