#    L    TT             EE             TE             PP             TP          
     2    0.10738E+04    0.45102E-01    0.32352E+01    0.10895E+07    0.29353E+05
     3    0.10143E+04    0.70412E-01    0.39267E+01    0.16773E+07    0.35129E+05
     4    0.95574E+03    0.75716E-01    0.39528E+01    0.21982E+07    0.37886E+05
     5    0.91030E+03    0.64103E-01    0.36031E+01    0.26579E+07    0.39002E+05
     6    0.87766E+03    0.45162E-01    0.30922E+01    0.30637E+07    0.39219E+05
     7    0.85560E+03    0.27583E-01    0.25531E+01    0.34235E+07    0.38938E+05
     8    0.84130E+03    0.15684E-01    0.20635E+01    0.37438E+07    0.38323E+05
     9    0.83304E+03    0.95977E-02    0.16592E+01    0.40303E+07    0.37474E+05
    10    0.82946E+03    0.72860E-02    0.13565E+01    0.42869E+07    0.36491E+05
    11    0.82913E+03    0.65253E-02    0.11577E+01    0.45183E+07    0.35494E+05
    12    0.83238E+03    0.60409E-02    0.10563E+01    0.47263E+07    0.34542E+05
    13    0.83746E+03    0.52999E-02    0.10281E+01    0.49135E+07    0.33637E+05
    14    0.84346E+03    0.46512E-02    0.10456E+01    0.50827E+07    0.32768E+05
    15    0.85074E+03    0.42713E-02    0.10926E+01    0.52356E+07    0.31903E+05
    16    0.85977E+03    0.42205E-02    0.11570E+01    0.53738E+07    0.31020E+05
    17    0.87047E+03    0.44864E-02    0.12272E+01    0.54987E+07    0.30147E+05
    18    0.88190E+03    0.48628E-02    0.12948E+01    0.56120E+07    0.29313E+05
    19    0.89489E+03    0.52887E-02    0.13561E+01    0.57142E+07    0.28516E+05
    20    0.90774E+03    0.58039E-02    0.14075E+01    0.58060E+07    0.27743E+05
    21    0.92084E+03    0.64399E-02    0.14542E+01    0.58885E+07    0.26991E+05
    22    0.93447E+03    0.72952E-02    0.15019E+01    0.59629E+07    0.26256E+05
    23    0.94843E+03    0.83876E-02    0.15514E+01    0.60297E+07    0.25545E+05
    24    0.96280E+03    0.96833E-02    0.16024E+01    0.60893E+07    0.24866E+05
    25    0.97752E+03    0.11195E-01    0.16554E+01    0.61424E+07    0.24220E+05
    26    0.99241E+03    0.12905E-01    0.17112E+01    0.61895E+07    0.23604E+05
    27    0.10077E+04    0.14784E-01    0.17667E+01    0.62312E+07    0.23012E+05
    28    0.10233E+04    0.16832E-01    0.18189E+01    0.62679E+07    0.22438E+05
    29    0.10391E+04    0.19059E-01    0.18663E+01    0.62996E+07    0.21887E+05
    30    0.10552E+04    0.21484E-01    0.19061E+01    0.63265E+07    0.21362E+05
    31    0.10714E+04    0.24100E-01    0.19373E+01    0.63490E+07    0.20858E+05
    32    0.10880E+04    0.26891E-01    0.19588E+01    0.63679E+07    0.20370E+05
    33    0.11049E+04    0.29868E-01    0.19683E+01    0.63833E+07    0.19895E+05
    34    0.11220E+04    0.33059E-01    0.19648E+01    0.63954E+07    0.19429E+05
    35    0.11392E+04    0.36489E-01    0.19526E+01    0.64044E+07    0.18973E+05
    36    0.11565E+04    0.40176E-01    0.19345E+01    0.64106E+07    0.18527E+05
    37    0.11739E+04    0.44107E-01    0.19071E+01    0.64141E+07    0.18101E+05
    38    0.11916E+04    0.48269E-01    0.18685E+01    0.64151E+07    0.17703E+05
    39    0.12098E+04    0.52673E-01    0.18195E+01    0.64138E+07    0.17327E+05
    40    0.12281E+04    0.57340E-01    0.17619E+01    0.64103E+07    0.16965E+05
    41    0.12466E+04    0.62292E-01    0.16963E+01    0.64047E+07    0.16609E+05
    42    0.12651E+04    0.67531E-01    0.16213E+01    0.63971E+07    0.16260E+05
    43    0.12837E+04    0.73058E-01    0.15345E+01    0.63876E+07    0.15919E+05
    44    0.13023E+04    0.78857E-01    0.14349E+01    0.63765E+07    0.15587E+05
    45    0.13213E+04    0.84921E-01    0.13210E+01    0.63638E+07    0.15265E+05
    46    0.13405E+04    0.91251E-01    0.11905E+01    0.63496E+07    0.14954E+05
    47    0.13599E+04    0.97847E-01    0.10447E+01    0.63341E+07    0.14652E+05
    48    0.13793E+04    0.10472E+00    0.88898E+00    0.63173E+07    0.14359E+05
    49    0.13989E+04    0.11186E+00    0.72795E+00    0.62993E+07    0.14072E+05
    50    0.14189E+04    0.11924E+00    0.55949E+00    0.62803E+07    0.13790E+05
    51    0.14391E+04    0.12684E+00    0.37976E+00    0.62602E+07    0.13510E+05
    52    0.14596E+04    0.13474E+00    0.18366E+00    0.62392E+07    0.13236E+05
    53    0.14801E+04    0.14310E+00   -0.32349E-01    0.62174E+07    0.12968E+05
    54    0.15006E+04    0.15188E+00   -0.26386E+00    0.61947E+07    0.12709E+05
    55    0.15212E+04    0.16108E+00   -0.50634E+00    0.61712E+07    0.12462E+05
    56    0.15421E+04    0.17054E+00   -0.76140E+00    0.61470E+07    0.12227E+05
    57    0.15634E+04    0.18016E+00   -0.10290E+01    0.61222E+07    0.12004E+05
    58    0.15849E+04    0.18994E+00   -0.13097E+01    0.60967E+07    0.11790E+05
    59    0.16066E+04    0.19993E+00   -0.16045E+01    0.60706E+07    0.11583E+05
    60    0.16284E+04    0.21019E+00   -0.19125E+01    0.60439E+07    0.11382E+05
    61    0.16508E+04    0.22079E+00   -0.22329E+01    0.60167E+07    0.11185E+05
    62    0.16730E+04    0.23174E+00   -0.25667E+01    0.59890E+07    0.10991E+05
    63    0.16953E+04    0.24299E+00   -0.29147E+01    0.59609E+07    0.10799E+05
    64    0.17180E+04    0.25456E+00   -0.32781E+01    0.59324E+07    0.10608E+05
    65    0.17407E+04    0.26641E+00   -0.36576E+01    0.59036E+07    0.10417E+05
    66    0.17638E+04    0.27848E+00   -0.40512E+01    0.58744E+07    0.10227E+05
    67    0.17870E+04    0.29076E+00   -0.44561E+01    0.58451E+07    0.10039E+05
    68    0.18107E+04    0.30331E+00   -0.48709E+01    0.58155E+07    0.98535E+04
    69    0.18345E+04    0.31608E+00   -0.52937E+01    0.57857E+07    0.96734E+04
    70    0.18587E+04    0.32910E+00   -0.57264E+01    0.57557E+07    0.95003E+04
    71    0.18829E+04    0.34237E+00   -0.61712E+01    0.57256E+07    0.93355E+04
    72    0.19074E+04    0.35586E+00   -0.66297E+01    0.56953E+07    0.91783E+04
    73    0.19320E+04    0.36953E+00   -0.71023E+01    0.56649E+07    0.90278E+04
    74    0.19568E+04    0.38338E+00   -0.75882E+01    0.56344E+07    0.88829E+04
    75    0.19820E+04    0.39740E+00   -0.80858E+01    0.56037E+07    0.87425E+04
    76    0.20074E+04    0.41162E+00   -0.85945E+01    0.55729E+07    0.86056E+04
    77    0.20332E+04    0.42601E+00   -0.91142E+01    0.55420E+07    0.84715E+04
    78    0.20593E+04    0.44060E+00   -0.96461E+01    0.55110E+07    0.83394E+04
    79    0.20856E+04    0.45533E+00   -0.10186E+02    0.54800E+07    0.82085E+04
    80    0.21122E+04    0.47022E+00   -0.10737E+02    0.54489E+07    0.80783E+04
    81    0.21390E+04    0.48520E+00   -0.11297E+02    0.54178E+07    0.79482E+04
    82    0.21660E+04    0.50030E+00   -0.11867E+02    0.53867E+07    0.78187E+04
    83    0.21932E+04    0.51550E+00   -0.12446E+02    0.53556E+07    0.76903E+04
    84    0.22207E+04    0.53078E+00   -0.13031E+02    0.53245E+07    0.75639E+04
    85    0.22483E+04    0.54613E+00   -0.13625E+02    0.52935E+07    0.74400E+04
    86    0.22761E+04    0.56156E+00   -0.14226E+02    0.52626E+07    0.73192E+04
    87    0.23044E+04    0.57703E+00   -0.14834E+02    0.52317E+07    0.72015E+04
    88    0.23326E+04    0.59256E+00   -0.15448E+02    0.52009E+07    0.70868E+04
    89    0.23612E+04    0.60813E+00   -0.16069E+02    0.51701E+07    0.69750E+04
    90    0.23901E+04    0.62371E+00   -0.16696E+02    0.51395E+07    0.68658E+04
    91    0.24190E+04    0.63928E+00   -0.17328E+02    0.51090E+07    0.67593E+04
