#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10738E+04    0.45102E-01    0.00000E+00    0.32352E+01    0.52520E-07    0.31490E-02   -0.15092E-04
     3    0.10143E+04    0.70412E-01    0.00000E+00    0.39267E+01    0.63888E-07    0.31582E-02   -0.18007E-04
     4    0.95574E+03    0.75716E-01    0.00000E+00    0.39528E+01    0.73589E-07    0.30918E-02   -0.17632E-04
     5    0.91030E+03    0.64103E-01    0.00000E+00    0.36031E+01    0.82003E-07    0.29939E-02   -0.15001E-04
     6    0.87766E+03    0.45162E-01    0.00000E+00    0.30922E+01    0.89344E-07    0.28860E-02   -0.11054E-04
     7    0.85560E+03    0.27583E-01    0.00000E+00    0.25531E+01    0.95804E-07    0.27780E-02   -0.66593E-05
     8    0.84130E+03    0.15684E-01    0.00000E+00    0.20635E+01    0.10152E-06    0.26703E-02   -0.25727E-05
     9    0.83304E+03    0.95977E-02    0.00000E+00    0.16592E+01    0.10661E-06    0.25629E-02    0.64021E-06
    10    0.82946E+03    0.72860E-02    0.00000E+00    0.13565E+01    0.11114E-06    0.24584E-02    0.27132E-05
    11    0.82913E+03    0.65253E-02    0.00000E+00    0.11577E+01    0.11521E-06    0.23616E-02    0.36744E-05
    12    0.83238E+03    0.60409E-02    0.00000E+00    0.10563E+01    0.11884E-06    0.22744E-02    0.36891E-05
    13    0.83746E+03    0.52999E-02    0.00000E+00    0.10281E+01    0.12209E-06    0.21952E-02    0.29535E-05
    14    0.84346E+03    0.46512E-02    0.00000E+00    0.10456E+01    0.12501E-06    0.21221E-02    0.16971E-05
    15    0.85074E+03    0.42713E-02    0.00000E+00    0.10926E+01    0.12763E-06    0.20523E-02    0.30043E-06
    16    0.85977E+03    0.42205E-02    0.00000E+00    0.11570E+01    0.12998E-06    0.19839E-02   -0.87522E-06
    17    0.87047E+03    0.44864E-02    0.00000E+00    0.12272E+01    0.13208E-06    0.19180E-02   -0.16682E-05
    18    0.88190E+03    0.48628E-02    0.00000E+00    0.12948E+01    0.13397E-06    0.18563E-02   -0.20142E-05
