#    L    TT             EE             TE             PP             TP          
     2    0.11279E+04    0.47535E-01    0.34184E+01    0.11241E+07    0.30338E+05
     3    0.10629E+04    0.73950E-01    0.41352E+01    0.17270E+07    0.36249E+05
     4    0.99949E+03    0.79320E-01    0.41529E+01    0.22599E+07    0.39041E+05
     5    0.95031E+03    0.67019E-01    0.37783E+01    0.27294E+07    0.40144E+05
     6    0.91482E+03    0.47136E-01    0.32373E+01    0.31430E+07    0.40327E+05
     7    0.89057E+03    0.28747E-01    0.26690E+01    0.35092E+07    0.40003E+05
     8    0.87457E+03    0.16325E-01    0.21542E+01    0.38347E+07    0.39342E+05
     9    0.86496E+03    0.99803E-02    0.17300E+01    0.41255E+07    0.38444E+05
    10    0.86030E+03    0.75686E-02    0.14128E+01    0.43855E+07    0.37411E+05
    11    0.85909E+03    0.67704E-02    0.12045E+01    0.46198E+07    0.36368E+05
    12    0.86164E+03    0.62568E-02    0.10979E+01    0.48301E+07    0.35375E+05
    13    0.86616E+03    0.54870E-02    0.10676E+01    0.50191E+07    0.34434E+05
    14    0.87165E+03    0.48130E-02    0.10848E+01    0.51897E+07    0.33529E+05
    15    0.87848E+03    0.44171E-02    0.11329E+01    0.53437E+07    0.32631E+05
    16    0.88716E+03    0.43640E-02    0.11988E+01    0.54826E+07    0.31717E+05
    17    0.89760E+03    0.46370E-02    0.12709E+01    0.56081E+07    0.30813E+05
    18    0.90882E+03    0.50243E-02    0.13402E+01    0.57217E+07    0.29951E+05
    19    0.92163E+03    0.54636E-02    0.14029E+01    0.58240E+07    0.29127E+05
    20    0.93434E+03    0.59951E-02    0.14554E+01    0.59157E+07    0.28329E+05
    21    0.94731E+03    0.66522E-02    0.15033E+01    0.59980E+07    0.27553E+05
    22    0.96082E+03    0.75353E-02    0.15521E+01    0.60721E+07    0.26795E+05
    23    0.97470E+03    0.86621E-02    0.16028E+01    0.61385E+07    0.26063E+05
    24    0.98901E+03    0.99982E-02    0.16550E+01    0.61976E+07    0.25364E+05
    25    0.10037E+04    0.11556E-01    0.17092E+01    0.62500E+07    0.24699E+05
    26    0.10185E+04    0.13317E-01    0.17664E+01    0.62964E+07    0.24066E+05
    27    0.10338E+04    0.15250E-01    0.18232E+01    0.63374E+07    0.23457E+05
    28    0.10494E+04    0.17357E-01    0.18766E+01    0.63732E+07    0.22867E+05
    29    0.10653E+04    0.19648E-01    0.19249E+01    0.64041E+07    0.22301E+05
    30    0.10814E+04    0.22141E-01    0.19654E+01    0.64300E+07    0.21762E+05
    31    0.10976E+04    0.24829E-01    0.19971E+01    0.64516E+07    0.21245E+05
    32    0.11142E+04    0.27696E-01    0.20188E+01    0.64695E+07    0.20745E+05
    33    0.11312E+04    0.30753E-01    0.20281E+01    0.64839E+07    0.20257E+05
    34    0.11483E+04    0.34030E-01    0.20242E+01    0.64949E+07    0.19779E+05
    35    0.11656E+04    0.37551E-01    0.20113E+01    0.65029E+07    0.19311E+05
    36    0.11830E+04    0.41335E-01    0.19924E+01    0.65080E+07    0.18854E+05
    37    0.12004E+04    0.45367E-01    0.19639E+01    0.65104E+07    0.18418E+05
    38    0.12183E+04    0.49635E-01    0.19239E+01    0.65103E+07    0.18011E+05
    39    0.12366E+04    0.54151E-01    0.18732E+01    0.65079E+07    0.17626E+05
    40    0.12549E+04    0.58934E-01    0.18137E+01    0.65032E+07    0.17255E+05
    41    0.12736E+04    0.64009E-01    0.17461E+01    0.64965E+07    0.16891E+05
    42    0.12922E+04    0.69377E-01    0.16688E+01    0.64877E+07    0.16534E+05
    43    0.13109E+04    0.75038E-01    0.15796E+01    0.64772E+07    0.16185E+05
    44    0.13296E+04    0.80976E-01    0.14772E+01    0.64649E+07    0.15845E+05
    45    0.13487E+04    0.87185E-01    0.13603E+01    0.64510E+07    0.15515E+05
    46    0.13681E+04    0.93663E-01    0.12263E+01    0.64357E+07    0.15197E+05
    47    0.13876E+04    0.10041E+00    0.10768E+01    0.64190E+07    0.14889E+05
    48    0.14072E+04    0.10744E+00    0.91706E+00    0.64011E+07    0.14590E+05
    49    0.14270E+04    0.11475E+00    0.75175E+00    0.63820E+07    0.14296E+05
    50    0.14471E+04    0.12230E+00    0.57880E+00    0.63619E+07    0.14007E+05
    51    0.14674E+04    0.13007E+00    0.39438E+00    0.63407E+07    0.13722E+05
    52    0.14881E+04    0.13816E+00    0.19340E+00    0.63186E+07    0.13442E+05
    53    0.15088E+04    0.14669E+00   -0.27725E-01    0.62956E+07    0.13168E+05
    54    0.15295E+04    0.15567E+00   -0.26460E+00    0.62719E+07    0.12904E+05
    55    0.15502E+04    0.16506E+00   -0.51271E+00    0.62473E+07    0.12652E+05
    56    0.15714E+04    0.17472E+00   -0.77370E+00    0.62221E+07    0.12412E+05
    57    0.15928E+04    0.18454E+00   -0.10475E+01    0.61962E+07    0.12184E+05
    58    0.16145E+04    0.19454E+00   -0.13347E+01    0.61696E+07    0.11966E+05
    59    0.16364E+04    0.20474E+00   -0.16362E+01    0.61425E+07    0.11756E+05
    60    0.16585E+04    0.21521E+00   -0.19511E+01    0.61148E+07    0.11551E+05
    61    0.16810E+04    0.22603E+00   -0.22787E+01    0.60866E+07    0.11350E+05
    62    0.17034E+04    0.23721E+00   -0.26198E+01    0.60579E+07    0.11151E+05
    63    0.17259E+04    0.24868E+00   -0.29754E+01    0.60287E+07    0.10955E+05
    64    0.17489E+04    0.26048E+00   -0.33467E+01    0.59992E+07    0.10760E+05
    65    0.17718E+04    0.27256E+00   -0.37341E+01    0.59694E+07    0.10566E+05
    66    0.17951E+04    0.28487E+00   -0.41359E+01    0.59393E+07    0.10372E+05
    67    0.18186E+04    0.29740E+00   -0.45492E+01    0.59090E+07    0.10179E+05
    68    0.18425E+04    0.31019E+00   -0.49726E+01    0.58784E+07    0.99907E+04
    69    0.18665E+04    0.32320E+00   -0.54041E+01    0.58477E+07    0.98073E+04
    70    0.18909E+04    0.33647E+00   -0.58457E+01    0.58168E+07    0.96310E+04
    71    0.19154E+04    0.34999E+00   -0.62996E+01    0.57858E+07    0.94633E+04
    72    0.19402E+04    0.36373E+00   -0.67672E+01    0.57546E+07    0.93034E+04
    73    0.19650E+04    0.37765E+00   -0.72492E+01    0.57233E+07    0.91502E+04
    74    0.19901E+04    0.39175E+00   -0.77446E+01    0.56919E+07    0.90027E+04
    75    0.20155E+04    0.40604E+00   -0.82519E+01    0.56604E+07    0.88598E+04
    76    0.20412E+04    0.42050E+00   -0.87705E+01    0.56287E+07    0.87203E+04
    77    0.20672E+04    0.43515E+00   -0.93001E+01    0.55970E+07    0.85837E+04
    78    0.20936E+04    0.45000E+00   -0.98421E+01    0.55651E+07    0.84490E+04
    79    0.21202E+04    0.46499E+00   -0.10393E+02    0.55333E+07    0.83157E+04
    80    0.21470E+04    0.48013E+00   -0.10953E+02    0.55014E+07    0.81830E+04
    81    0.21741E+04    0.49537E+00   -0.11524E+02    0.54695E+07    0.80504E+04
    82    0.22014E+04    0.51073E+00   -0.12104E+02    0.54376E+07    0.79185E+04
    83    0.22289E+04    0.52618E+00   -0.12693E+02    0.54057E+07    0.77878E+04
    84    0.22567E+04    0.54172E+00   -0.13290E+02    0.53739E+07    0.76591E+04
    85    0.22846E+04    0.55732E+00   -0.13894E+02    0.53421E+07    0.75330E+04
    86    0.23127E+04    0.57300E+00   -0.14506E+02    0.53104E+07    0.74102E+04
    87    0.23413E+04    0.58872E+00   -0.15124E+02    0.52788E+07    0.72905E+04
    88    0.23698E+04    0.60449E+00   -0.15749E+02    0.52472E+07    0.71739E+04
    89    0.23987E+04    0.62031E+00   -0.16381E+02    0.52158E+07    0.70602E+04
    90    0.24278E+04    0.63613E+00   -0.17018E+02    0.51844E+07    0.69493E+04
    91    0.24571E+04    0.65194E+00   -0.17661E+02    0.51532E+07    0.68410E+04
    92    0.24867E+04    0.66773E+00   -0.18309E+02    0.51221E+07    0.67352E+04
    93    0.25165E+04    0.68350E+00   -0.18962E+02    0.50910E+07    0.66319E+04
    94    0.25464E+04    0.69920E+00   -0.19619E+02    0.50602E+07    0.65310E+04
    95    0.25766E+04    0.71483E+00   -0.20280E+02    0.50294E+07    0.64324E+04
    96    0.26069E+04    0.73038E+00   -0.20944E+02    0.49987E+07    0.63360E+04
    97    0.26375E+04    0.74583E+00   -0.21611E+02    0.49682E+07    0.62418E+04
    98    0.26684E+04    0.76118E+00   -0.22279E+02    0.49379E+07    0.61496E+04
    99    0.26994E+04    0.77639E+00   -0.22950E+02    0.49076E+07    0.60594E+04
   100    0.27306E+04    0.79146E+00   -0.23621E+02    0.48775E+07    0.59710E+04
   101    0.27621E+04    0.80644E+00   -0.24293E+02    0.48476E+07    0.58845E+04
   102    0.27940E+04    0.82119E+00   -0.24966E+02    0.48178E+07    0.57997E+04
   103    0.28259E+04    0.83578E+00   -0.25639E+02    0.47882E+07    0.57166E+04
   104    0.28580E+04    0.85021E+00   -0.26310E+02    0.47587E+07    0.56350E+04
   105    0.28902E+04    0.86442E+00   -0.26981E+02    0.47293E+07    0.55549E+04
   106    0.29227E+04    0.87846E+00   -0.27649E+02    0.47002E+07    0.54762E+04
   107    0.29551E+04    0.89219E+00   -0.28315E+02    0.46712E+07    0.53988E+04
   108    0.29879E+04    0.90569E+00   -0.28979E+02    0.46424E+07    0.53226E+04
   109    0.30209E+04    0.91888E+00   -0.29638E+02    0.46137E+07    0.52476E+04
   110    0.30539E+04    0.93177E+00   -0.30293E+02    0.45853E+07    0.51737E+04
   111    0.30871E+04    0.94442E+00   -0.30944E+02    0.45570E+07    0.51008E+04
   112    0.31205E+04    0.95675E+00   -0.31591E+02    0.45289E+07    0.50289E+04
   113    0.31541E+04    0.96878E+00   -0.32231E+02    0.45010E+07    0.49579E+04
   114    0.31878E+04    0.98043E+00   -0.32865E+02    0.44733E+07    0.48880E+04
   115    0.32217E+04    0.99183E+00   -0.33492E+02    0.44457E+07    0.48191E+04
   116    0.32556E+04    0.10028E+01   -0.34112E+02    0.44184E+07    0.47512E+04
   117    0.32898E+04    0.10133E+01   -0.34722E+02    0.43912E+07    0.46843E+04
   118    0.33241E+04    0.10237E+01   -0.35326E+02    0.43642E+07    0.46184E+04
   119    0.33585E+04    0.10336E+01   -0.35919E+02    0.43374E+07    0.45535E+04
   120    0.33930E+04    0.10430E+01   -0.36502E+02    0.43108E+07    0.44896E+04
   121    0.34275E+04    0.10522E+01   -0.37075E+02    0.42844E+07    0.44268E+04
   122    0.34621E+04    0.10608E+01   -0.37637E+02    0.42581E+07    0.43650E+04
   123    0.34967E+04    0.10689E+01   -0.38188E+02    0.42321E+07    0.43042E+04
   124    0.35314E+04    0.10767E+01   -0.38725E+02    0.42062E+07    0.42444E+04
   125    0.35662E+04    0.10840E+01   -0.39250E+02    0.41805E+07    0.41857E+04
   126    0.36009E+04    0.10909E+01   -0.39763E+02    0.41551E+07    0.41281E+04
   127    0.36357E+04    0.10973E+01   -0.40262E+02    0.41298E+07    0.40714E+04
   128    0.36705E+04    0.11033E+01   -0.40747E+02    0.41047E+07    0.40159E+04
   129    0.37053E+04    0.11087E+01   -0.41217E+02    0.40797E+07    0.39613E+04
   130    0.37401E+04    0.11136E+01   -0.41672E+02    0.40550E+07    0.39078E+04
   131    0.37749E+04    0.11182E+01   -0.42112E+02    0.40305E+07    0.38554E+04
   132    0.38098E+04    0.11221E+01   -0.42534E+02    0.40061E+07    0.38040E+04
   133    0.38445E+04    0.11256E+01   -0.42942E+02    0.39820E+07    0.37536E+04
   134    0.38793E+04    0.11287E+01   -0.43330E+02    0.39580E+07    0.37042E+04
   135    0.39140E+04    0.11312E+01   -0.43701E+02    0.39342E+07    0.36557E+04
   136    0.39486E+04    0.11331E+01   -0.44053E+02    0.39106E+07    0.36081E+04
   137    0.39832E+04    0.11346E+01   -0.44386E+02    0.38872E+07    0.35614E+04
   138    0.40177E+04    0.11356E+01   -0.44700E+02    0.38639E+07    0.35156E+04
   139    0.40520E+04    0.11361E+01   -0.44994E+02    0.38409E+07    0.34706E+04
   140    0.40863E+04    0.11361E+01   -0.45268E+02    0.38180E+07    0.34264E+04
   141    0.41204E+04    0.11355E+01   -0.45521E+02    0.37953E+07    0.33830E+04
   142    0.41545E+04    0.11344E+01   -0.45753E+02    0.37728E+07    0.33403E+04
   143    0.41885E+04    0.11329E+01   -0.45964E+02    0.37504E+07    0.32983E+04
   144    0.42223E+04    0.11309E+01   -0.46153E+02    0.37282E+07    0.32571E+04
   145    0.42560E+04    0.11284E+01   -0.46320E+02    0.37062E+07    0.32165E+04
   146    0.42897E+04    0.11254E+01   -0.46465E+02    0.36844E+07    0.31765E+04
   147    0.43230E+04    0.11219E+01   -0.46587E+02    0.36628E+07    0.31371E+04
   148    0.43562E+04    0.11179E+01   -0.46686E+02    0.36413E+07    0.30983E+04
   149    0.43893E+04    0.11135E+01   -0.46761E+02    0.36200E+07    0.30601E+04
   150    0.44221E+04    0.11087E+01   -0.46810E+02    0.35989E+07    0.30223E+04
   151    0.44548E+04    0.11034E+01   -0.46837E+02    0.35779E+07    0.29851E+04
   152    0.44872E+04    0.10976E+01   -0.46839E+02    0.35571E+07    0.29484E+04
   153    0.45194E+04    0.10913E+01   -0.46814E+02    0.35365E+07    0.29121E+04
   154    0.45514E+04    0.10847E+01   -0.46765E+02    0.35160E+07    0.28764E+04
   155    0.45832E+04    0.10778E+01   -0.46691E+02    0.34957E+07    0.28411E+04
   156    0.46146E+04    0.10704E+01   -0.46592E+02    0.34755E+07    0.28063E+04
   157    0.46459E+04    0.10627E+01   -0.46466E+02    0.34556E+07    0.27720E+04
   158    0.46769E+04    0.10546E+01   -0.46314E+02    0.34357E+07    0.27382E+04
   159    0.47077E+04    0.10461E+01   -0.46135E+02    0.34161E+07    0.27048E+04
   160    0.47381E+04    0.10373E+01   -0.45930E+02    0.33966E+07    0.26720E+04
   161    0.47684E+04    0.10282E+01   -0.45698E+02    0.33772E+07    0.26396E+04
   162    0.47983E+04    0.10188E+01   -0.45440E+02    0.33581E+07    0.26077E+04
   163    0.48281E+04    0.10090E+01   -0.45155E+02    0.33390E+07    0.25763E+04
   164    0.48574E+04    0.99908E+00   -0.44844E+02    0.33202E+07    0.25453E+04
   165    0.48866E+04    0.98880E+00   -0.44504E+02    0.33014E+07    0.25149E+04
   166    0.49155E+04    0.97838E+00   -0.44138E+02    0.32829E+07    0.24849E+04
   167    0.49441E+04    0.96757E+00   -0.43745E+02    0.32645E+07    0.24553E+04
   168    0.49722E+04    0.95676E+00   -0.43324E+02    0.32462E+07    0.24263E+04
   169    0.50000E+04    0.94565E+00   -0.42875E+02    0.32281E+07    0.23977E+04
   170    0.50276E+04    0.93446E+00   -0.42399E+02    0.32101E+07    0.23695E+04
   171    0.50546E+04    0.92319E+00   -0.41894E+02    0.31923E+07    0.23419E+04
   172    0.50813E+04    0.91177E+00   -0.41361E+02    0.31746E+07    0.23147E+04
   173    0.51075E+04    0.90020E+00   -0.40800E+02    0.31571E+07    0.22880E+04
   174    0.51333E+04    0.88878E+00   -0.40212E+02    0.31397E+07    0.22617E+04
   175    0.51588E+04    0.87721E+00   -0.39595E+02    0.31225E+07    0.22359E+04
   176    0.51837E+04    0.86571E+00   -0.38950E+02    0.31054E+07    0.22105E+04
   177    0.52082E+04    0.85422E+00   -0.38277E+02    0.30884E+07    0.21856E+04
   178    0.52323E+04    0.84294E+00   -0.37577E+02    0.30716E+07    0.21612E+04
   179    0.52559E+04    0.83160E+00   -0.36848E+02    0.30550E+07    0.21372E+04
   180    0.52792E+04    0.82041E+00   -0.36091E+02    0.30384E+07    0.21135E+04
   181    0.53019E+04    0.80938E+00   -0.35308E+02    0.30220E+07    0.20903E+04
   182    0.53241E+04    0.79857E+00   -0.34497E+02    0.30058E+07    0.20675E+04
   183    0.53458E+04    0.78793E+00   -0.33659E+02    0.29896E+07    0.20451E+04
   184    0.53672E+04    0.77751E+00   -0.32793E+02    0.29736E+07    0.20231E+04
   185    0.53880E+04    0.76748E+00   -0.31902E+02    0.29578E+07    0.20014E+04
   186    0.54080E+04    0.75769E+00   -0.30982E+02    0.29420E+07    0.19801E+04
   187    0.54279E+04    0.74829E+00   -0.30036E+02    0.29264E+07    0.19592E+04
   188    0.54472E+04    0.73925E+00   -0.29064E+02    0.29110E+07    0.19385E+04
   189    0.54658E+04    0.73063E+00   -0.28065E+02    0.28956E+07    0.19182E+04
   190    0.54844E+04    0.72247E+00   -0.27042E+02    0.28804E+07    0.18983E+04
   191    0.55020E+04    0.71479E+00   -0.25992E+02    0.28653E+07    0.18786E+04
   192    0.55192E+04    0.70763E+00   -0.24916E+02    0.28503E+07    0.18592E+04
   193    0.55358E+04    0.70102E+00   -0.23816E+02    0.28354E+07    0.18402E+04
   194    0.55520E+04    0.69500E+00   -0.22690E+02    0.28207E+07    0.18214E+04
   195    0.55676E+04    0.68960E+00   -0.21541E+02    0.28060E+07    0.18028E+04
   196    0.55826E+04    0.68487E+00   -0.20367E+02    0.27915E+07    0.17846E+04
   197    0.55972E+04    0.68084E+00   -0.19170E+02    0.27771E+07    0.17665E+04
   198    0.56112E+04    0.67755E+00   -0.17949E+02    0.27628E+07    0.17487E+04
