#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10246E+04    0.42842E-01    0.00000E+00    0.30527E+01    0.50831E-07    0.30646E-02   -0.14338E-04
     3    0.96974E+03    0.67082E-01    0.00000E+00    0.37214E+01    0.61970E-07    0.30767E-02   -0.17160E-04
     4    0.91532E+03    0.72265E-01    0.00000E+00    0.37571E+01    0.71489E-07    0.30149E-02   -0.16834E-04
     5    0.87315E+03    0.61255E-01    0.00000E+00    0.34323E+01    0.79759E-07    0.29219E-02   -0.14340E-04
     6    0.84303E+03    0.43190E-01    0.00000E+00    0.29509E+01    0.86986E-07    0.28189E-02   -0.10572E-04
     7    0.82290E+03    0.26396E-01    0.00000E+00    0.24401E+01    0.93355E-07    0.27154E-02   -0.63632E-05
     8    0.81011E+03    0.15023E-01    0.00000E+00    0.19748E+01    0.99000E-07    0.26120E-02   -0.24437E-05
     9    0.80303E+03    0.92102E-02    0.00000E+00    0.15898E+01    0.10403E-06    0.25086E-02    0.64025E-06
    10    0.80039E+03    0.70078E-02    0.00000E+00    0.13014E+01    0.10852E-06    0.24077E-02    0.26311E-05
    11    0.80083E+03    0.62856E-02    0.00000E+00    0.11122E+01    0.11255E-06    0.23142E-02    0.35545E-05
    12    0.80468E+03    0.58272E-02    0.00000E+00    0.10162E+01    0.11616E-06    0.22298E-02    0.35663E-05
    13    0.81026E+03    0.51119E-02    0.00000E+00    0.99028E+00    0.11940E-06    0.21531E-02    0.28533E-05
    14    0.81670E+03    0.44890E-02    0.00000E+00    0.10082E+01    0.12230E-06    0.20822E-02    0.16364E-05
    15    0.82436E+03    0.41279E-02    0.00000E+00    0.10544E+01    0.12492E-06    0.20144E-02    0.28540E-06
    16    0.83368E+03    0.40822E-02    0.00000E+00    0.11173E+01    0.12726E-06    0.19479E-02   -0.84849E-06
    17    0.84462E+03    0.43430E-02    0.00000E+00    0.11858E+01    0.12937E-06    0.18838E-02   -0.16115E-05
    18    0.85622E+03    0.47092E-02    0.00000E+00    0.12516E+01    0.13127E-06    0.18238E-02   -0.19444E-05
