#    L    TT             EE             TE             PP             TP          
     2    0.10655E+04    0.43441E-01    0.31666E+01    0.10927E+07    0.29086E+05
     3    0.10085E+04    0.69004E-01    0.38730E+01    0.16819E+07    0.34807E+05
     4    0.95170E+03    0.75576E-01    0.39273E+01    0.22038E+07    0.37534E+05
     5    0.90741E+03    0.65283E-01    0.36055E+01    0.26644E+07    0.38639E+05
     6    0.87546E+03    0.46992E-01    0.31164E+01    0.30709E+07    0.38860E+05
     7    0.85378E+03    0.29285E-01    0.25910E+01    0.34313E+07    0.38588E+05
     8    0.83969E+03    0.16827E-01    0.21077E+01    0.37522E+07    0.37986E+05
     9    0.83151E+03    0.10182E-01    0.17034E+01    0.40391E+07    0.37151E+05
    10    0.82794E+03    0.75569E-02    0.13955E+01    0.42961E+07    0.36184E+05
    11    0.82760E+03    0.67327E-02    0.11882E+01    0.45278E+07    0.35202E+05
    12    0.83079E+03    0.62939E-02    0.10775E+01    0.47362E+07    0.34258E+05
    13    0.83581E+03    0.55936E-02    0.10413E+01    0.49237E+07    0.33358E+05
    14    0.84173E+03    0.49079E-02    0.10533E+01    0.50932E+07    0.32495E+05
    15    0.84893E+03    0.44491E-02    0.10973E+01    0.52463E+07    0.31640E+05
    16    0.85789E+03    0.43324E-02    0.11606E+01    0.53848E+07    0.30772E+05
    17    0.86851E+03    0.45671E-02    0.12315E+01    0.55100E+07    0.29913E+05
    18    0.87984E+03    0.49521E-02    0.13011E+01    0.56235E+07    0.29090E+05
    19    0.89271E+03    0.53986E-02    0.13650E+01    0.57259E+07    0.28303E+05
    20    0.90546E+03    0.59165E-02    0.14184E+01    0.58179E+07    0.27542E+05
    21    0.91843E+03    0.65331E-02    0.14661E+01    0.59007E+07    0.26802E+05
    22    0.93193E+03    0.73519E-02    0.15128E+01    0.59754E+07    0.26078E+05
    23    0.94576E+03    0.84038E-02    0.15603E+01    0.60424E+07    0.25376E+05
    24    0.95998E+03    0.96681E-02    0.16092E+01    0.61022E+07    0.24703E+05
    25    0.97455E+03    0.11159E-01    0.16599E+01    0.61555E+07    0.24061E+05
    26    0.98929E+03    0.12857E-01    0.17133E+01    0.62029E+07    0.23451E+05
    27    0.10044E+04    0.14729E-01    0.17669E+01    0.62448E+07    0.22866E+05
    28    0.10198E+04    0.16772E-01    0.18184E+01    0.62817E+07    0.22299E+05
    29    0.10355E+04    0.18997E-01    0.18660E+01    0.63137E+07    0.21754E+05
    30    0.10514E+04    0.21422E-01    0.19068E+01    0.63408E+07    0.21234E+05
    31    0.10674E+04    0.24042E-01    0.19396E+01    0.63636E+07    0.20737E+05
    32    0.10838E+04    0.26840E-01    0.19635E+01    0.63827E+07    0.20256E+05
    33    0.11005E+04    0.29821E-01    0.19753E+01    0.63983E+07    0.19790E+05
    34    0.11173E+04    0.33007E-01    0.19739E+01    0.64107E+07    0.19332E+05
    35    0.11343E+04    0.36426E-01    0.19630E+01    0.64199E+07    0.18883E+05
    36    0.11514E+04    0.40100E-01    0.19455E+01    0.64263E+07    0.18442E+05
    37    0.11686E+04    0.44017E-01    0.19183E+01    0.64300E+07    0.18019E+05
    38    0.11861E+04    0.48166E-01    0.18800E+01    0.64313E+07    0.17623E+05
    39    0.12040E+04    0.52558E-01    0.18315E+01    0.64303E+07    0.17249E+05
    40    0.12221E+04    0.57213E-01    0.17744E+01    0.64270E+07    0.16889E+05
