#    L    TT             EE             TE             PP             TP          
     2    0.10807E+04    0.46803E-01    0.32591E+01    0.10846E+07    0.29919E+05
     3    0.10195E+04    0.71794E-01    0.39426E+01    0.16703E+07    0.35738E+05
     4    0.95971E+03    0.75766E-01    0.39534E+01    0.21895E+07    0.38486E+05
     5    0.91349E+03    0.62839E-01    0.35869E+01    0.26478E+07    0.39573E+05
     6    0.88039E+03    0.43315E-01    0.30614E+01    0.30525E+07    0.39756E+05
     7    0.85808E+03    0.25935E-01    0.25124E+01    0.34113E+07    0.39447E+05
     8    0.84366E+03    0.14623E-01    0.20183E+01    0.37308E+07    0.38814E+05
     9    0.83532E+03    0.90766E-02    0.16152E+01    0.40166E+07    0.37949E+05
    10    0.83170E+03    0.70391E-02    0.13189E+01    0.42725E+07    0.36949E+05
    11    0.83133E+03    0.63166E-02    0.11294E+01    0.45034E+07    0.35936E+05
    12    0.83457E+03    0.57880E-02    0.10374E+01    0.47109E+07    0.34972E+05
    13    0.83968E+03    0.50210E-02    0.10169E+01    0.48976E+07    0.34056E+05
    14    0.84572E+03    0.44212E-02    0.10396E+01    0.50664E+07    0.33172E+05
    15    0.85304E+03    0.41217E-02    0.10894E+01    0.52189E+07    0.32290E+05
    16    0.86211E+03    0.41258E-02    0.11544E+01    0.53567E+07    0.31389E+05
    17    0.87288E+03    0.44099E-02    0.12237E+01    0.54814E+07    0.30497E+05
    18    0.88440E+03    0.47737E-02    0.12890E+01    0.55943E+07    0.29648E+05
    19    0.89749E+03    0.51843E-02    0.13478E+01    0.56961E+07    0.28836E+05
    20    0.91045E+03    0.57080E-02    0.13974E+01    0.57876E+07    0.28048E+05
    21    0.92366E+03    0.63736E-02    0.14439E+01    0.58699E+07    0.27279E+05
    22    0.93740E+03    0.72694E-02    0.14931E+01    0.59440E+07    0.26530E+05
    23    0.95150E+03    0.84018E-02    0.15449E+01    0.60105E+07    0.25809E+05
    24    0.96601E+03    0.97279E-02    0.15982E+01    0.60699E+07    0.25121E+05
    25    0.98088E+03    0.11261E-01    0.16534E+01    0.61227E+07    0.24467E+05
    26    0.99592E+03    0.12984E-01    0.17114E+01    0.61696E+07    0.23842E+05
    27    0.10114E+04    0.14871E-01    0.17684E+01    0.62110E+07    0.23240E+05
    28    0.10271E+04    0.16926E-01    0.18209E+01    0.62475E+07    0.22657E+05
    29    0.10432E+04    0.19159E-01    0.18675E+01    0.62789E+07    0.22096E+05
    30    0.10595E+04    0.21587E-01    0.19059E+01    0.63055E+07    0.21563E+05
    31    0.10759E+04    0.24204E-01    0.19351E+01    0.63278E+07    0.21051E+05
    32    0.10926E+04    0.26995E-01    0.19542E+01    0.63465E+07    0.20553E+05
    33    0.11097E+04    0.29977E-01    0.19612E+01    0.63616E+07    0.20067E+05
    34    0.11270E+04    0.33185E-01    0.19561E+01    0.63735E+07    0.19591E+05
    35    0.11445E+04    0.36635E-01    0.19428E+01    0.63823E+07    0.19126E+05
    36    0.11620E+04    0.40344E-01    0.19243E+01    0.63882E+07    0.18675E+05
    37    0.11796E+04    0.44296E-01    0.18967E+01    0.63915E+07    0.18245E+05
    38    0.11976E+04    0.48479E-01    0.18575E+01    0.63923E+07    0.17844E+05
    39    0.12160E+04    0.52903E-01    0.18077E+01    0.63908E+07    0.17464E+05
    40    0.12346E+04    0.57591E-01    0.17489E+01    0.63870E+07    0.17097E+05
    41    0.12533E+04    0.62563E-01    0.16821E+01    0.63811E+07    0.16736E+05
    42    0.12721E+04    0.67825E-01    0.16056E+01    0.63733E+07    0.16381E+05
    43    0.12910E+04    0.73376E-01    0.15172E+01    0.63636E+07    0.16033E+05
    44    0.13098E+04    0.79199E-01    0.14158E+01    0.63523E+07    0.15694E+05
    45    0.13291E+04    0.85289E-01    0.13000E+01    0.63393E+07    0.15366E+05
    46    0.13486E+04    0.91646E-01    0.11672E+01    0.63249E+07    0.15049E+05
    47    0.13683E+04    0.98272E-01    0.10191E+01    0.63092E+07    0.14742E+05
    48    0.13880E+04    0.10518E+00    0.86103E+00    0.62922E+07    0.14444E+05
    49    0.14080E+04    0.11235E+00    0.69763E+00    0.62740E+07    0.14153E+05
    50    0.14282E+04    0.11976E+00    0.52687E+00    0.62547E+07    0.13866E+05
    51    0.14487E+04    0.12740E+00    0.34494E+00    0.62345E+07    0.13582E+05
    52    0.14695E+04    0.13534E+00    0.14666E+00    0.62133E+07    0.13303E+05
    53    0.14904E+04    0.14373E+00   -0.71610E-01    0.61912E+07    0.13032E+05
    54    0.15112E+04    0.15256E+00   -0.30558E+00    0.61683E+07    0.12770E+05
    55    0.15321E+04    0.16181E+00   -0.55081E+00    0.61446E+07    0.12521E+05
    56    0.15534E+04    0.17131E+00   -0.80900E+00    0.61203E+07    0.12285E+05
    57    0.15750E+04    0.18098E+00   -0.10800E+01    0.60952E+07    0.12061E+05
    58    0.15968E+04    0.19082E+00   -0.13645E+01    0.60695E+07    0.11846E+05
    59    0.16189E+04    0.20086E+00   -0.16630E+01    0.60433E+07    0.11639E+05
    60    0.16411E+04    0.21116E+00   -0.19749E+01    0.60164E+07    0.11436E+05
    61    0.16638E+04    0.22182E+00   -0.22991E+01    0.59890E+07    0.11235E+05
    62    0.16863E+04    0.23283E+00   -0.26366E+01    0.59611E+07    0.11036E+05
    63    0.17090E+04    0.24414E+00   -0.29884E+01    0.59328E+07    0.10838E+05
    64    0.17321E+04    0.25576E+00   -0.33555E+01    0.59041E+07    0.10642E+05
