#    L    TT             EE             TE             PP             TP          
     2    0.10487E+04    0.44115E-01    0.32503E+01    0.11080E+07    0.28010E+05
     3    0.99516E+03    0.69515E-01    0.39353E+01    0.17053E+07    0.33661E+05
     4    0.94080E+03    0.75576E-01    0.39636E+01    0.22345E+07    0.36398E+05
     5    0.89832E+03    0.64776E-01    0.36196E+01    0.27016E+07    0.37542E+05
     6    0.86776E+03    0.46245E-01    0.31146E+01    0.31140E+07    0.37808E+05
     7    0.84716E+03    0.28595E-01    0.25794E+01    0.34798E+07    0.37582E+05
     8    0.83395E+03    0.16349E-01    0.20907E+01    0.38056E+07    0.37024E+05
     9    0.82649E+03    0.99076E-02    0.16845E+01    0.40971E+07    0.36230E+05
    10    0.82350E+03    0.73907E-02    0.13777E+01    0.43583E+07    0.35300E+05
    11    0.82363E+03    0.65846E-02    0.11732E+01    0.45940E+07    0.34354E+05
    12    0.82724E+03    0.61306E-02    0.10656E+01    0.48060E+07    0.33450E+05
    13    0.83258E+03    0.54235E-02    0.10321E+01    0.49969E+07    0.32592E+05
    14    0.83876E+03    0.47644E-02    0.10460E+01    0.51696E+07    0.31767E+05
    15    0.84616E+03    0.43476E-02    0.10914E+01    0.53258E+07    0.30945E+05
    16    0.85528E+03    0.42638E-02    0.11556E+01    0.54670E+07    0.30103E+05
    17    0.86603E+03    0.45135E-02    0.12268E+01    0.55949E+07    0.29270E+05
    18    0.87748E+03    0.48946E-02    0.12961E+01    0.57108E+07    0.28475E+05
    19    0.89043E+03    0.53304E-02    0.13593E+01    0.58156E+07    0.27714E+05
    20    0.90324E+03    0.58441E-02    0.14123E+01    0.59098E+07    0.26977E+05
    21    0.91626E+03    0.64646E-02    0.14603E+01    0.59947E+07    0.26257E+05
    22    0.92979E+03    0.72931E-02    0.15083E+01    0.60713E+07    0.25553E+05
    23    0.94364E+03    0.83561E-02    0.15574E+01    0.61402E+07    0.24871E+05
    24    0.95788E+03    0.96281E-02    0.16076E+01    0.62018E+07    0.24219E+05
    25    0.97245E+03    0.11122E-01    0.16597E+01    0.62567E+07    0.23598E+05
    26    0.98718E+03    0.12817E-01    0.17149E+01    0.63056E+07    0.23005E+05
    27    0.10023E+04    0.14684E-01    0.17702E+01    0.63490E+07    0.22435E+05
    28    0.10177E+04    0.16721E-01    0.18228E+01    0.63873E+07    0.21883E+05
    29    0.10333E+04    0.18939E-01    0.18710E+01    0.64205E+07    0.21353E+05
    30    0.10492E+04    0.21355E-01    0.19124E+01    0.64488E+07    0.20848E+05
    31    0.10652E+04    0.23964E-01    0.19456E+01    0.64728E+07    0.20364E+05
    32    0.10815E+04    0.26746E-01    0.19693E+01    0.64930E+07    0.19896E+05
    33    0.10981E+04    0.29712E-01    0.19810E+01    0.65096E+07    0.19439E+05
    34    0.11149E+04    0.32892E-01    0.19798E+01    0.65229E+07    0.18990E+05
