#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10688E+04    0.33711E-01    0.00000E+00    0.28052E+01    0.52482E-07    0.31439E-02   -0.13045E-04
     3    0.10115E+04    0.45094E-01    0.00000E+00    0.31992E+01    0.63844E-07    0.31427E-02   -0.14284E-04
     4    0.95649E+03    0.41270E-01    0.00000E+00    0.30517E+01    0.73541E-07    0.30664E-02   -0.12529E-04
     5    0.91507E+03    0.29449E-01    0.00000E+00    0.26453E+01    0.81952E-07    0.29608E-02   -0.91381E-05
     6    0.88647E+03    0.17592E-01    0.00000E+00    0.21694E+01    0.89289E-07    0.28484E-02   -0.52371E-05
     7    0.86804E+03    0.96717E-02    0.00000E+00    0.17311E+01    0.95747E-07    0.27389E-02   -0.16863E-05
     8    0.85673E+03    0.57783E-02    0.00000E+00    0.13814E+01    0.10146E-06    0.26316E-02    0.94153E-06
     9    0.85106E+03    0.42756E-02    0.00000E+00    0.11316E+01    0.10655E-06    0.25260E-02    0.23857E-05
    10    0.84956E+03    0.36463E-02    0.00000E+00    0.97763E+00    0.11107E-06    0.24240E-02    0.27265E-05
    11    0.85083E+03    0.31742E-02    0.00000E+00    0.90560E+00    0.11514E-06    0.23300E-02    0.22974E-05
    12    0.85546E+03    0.28763E-02    0.00000E+00    0.89807E+00    0.11878E-06    0.22453E-02    0.14807E-05
    13    0.86177E+03    0.25221E-02    0.00000E+00    0.93067E+00    0.12203E-06    0.21678E-02    0.52020E-06
    14    0.86879E+03    0.24627E-02    0.00000E+00    0.97959E+00    0.12494E-06    0.20954E-02   -0.38251E-06
    15    0.87694E+03    0.26347E-02    0.00000E+00    0.10374E+01    0.12756E-06    0.20256E-02   -0.10303E-05
    16    0.88675E+03    0.28784E-02    0.00000E+00    0.11013E+01    0.12991E-06    0.19566E-02   -0.12776E-05
    17    0.89820E+03    0.32839E-02    0.00000E+00    0.11678E+01    0.13201E-06    0.18900E-02   -0.11717E-05
    18    0.91037E+03    0.38046E-02    0.00000E+00    0.12352E+01    0.13390E-06    0.18276E-02   -0.83100E-06
    19    0.92407E+03    0.44448E-02    0.00000E+00    0.13030E+01    0.13558E-06    0.17693E-02   -0.47274E-06
    20    0.93761E+03    0.52642E-02    0.00000E+00    0.13692E+01    0.13708E-06    0.17143E-02   -0.27919E-06
    21    0.95137E+03    0.62259E-02    0.00000E+00    0.14371E+01    0.13840E-06    0.16620E-02   -0.20381E-06
    22    0.96565E+03    0.73532E-02    0.00000E+00    0.15091E+01    0.13957E-06    0.16120E-02   -0.16237E-06
    23    0.98027E+03    0.86464E-02    0.00000E+00    0.15829E+01    0.14060E-06    0.15643E-02   -0.14259E-06
    24    0.99531E+03    0.10074E-01    0.00000E+00    0.16553E+01    0.14149E-06    0.15190E-02   -0.15738E-06
    25    0.10107E+04    0.11670E-01    0.00000E+00    0.17237E+01    0.14227E-06    0.14760E-02   -0.24891E-06
    26    0.10263E+04    0.13438E-01    0.00000E+00    0.17872E+01    0.14294E-06    0.14351E-02   -0.43647E-06
    27    0.10423E+04    0.15365E-01    0.00000E+00    0.18440E+01    0.14351E-06    0.13961E-02   -0.61998E-06
    28    0.10586E+04    0.17461E-01    0.00000E+00    0.18935E+01    0.14398E-06    0.13584E-02   -0.69289E-06
    29    0.10753E+04    0.19741E-01    0.00000E+00    0.19352E+01    0.14437E-06    0.13223E-02   -0.63918E-06
    30    0.10921E+04    0.22226E-01    0.00000E+00    0.19679E+01    0.14466E-06    0.12878E-02   -0.48413E-06
    31    0.11091E+04    0.24930E-01    0.00000E+00    0.19931E+01    0.14488E-06    0.12548E-02   -0.32848E-06
    32    0.11264E+04    0.27850E-01    0.00000E+00    0.20118E+01    0.14502E-06    0.12230E-02   -0.26688E-06
    33    0.11441E+04    0.30982E-01    0.00000E+00    0.20219E+01    0.14511E-06    0.11925E-02   -0.29647E-06
    34    0.11619E+04    0.34331E-01    0.00000E+00    0.20220E+01    0.14513E-06    0.11630E-02   -0.38080E-06
    35    0.11799E+04    0.37918E-01    0.00000E+00    0.20136E+01    0.14510E-06    0.11344E-02   -0.44615E-06
    36    0.11980E+04    0.41764E-01    0.00000E+00    0.19977E+01    0.14502E-06    0.11067E-02   -0.43100E-06
    37    0.12161E+04    0.45867E-01    0.00000E+00    0.19721E+01    0.14488E-06    0.10801E-02   -0.35887E-06
    38    0.12347E+04    0.50224E-01    0.00000E+00    0.19360E+01    0.14471E-06    0.10552E-02   -0.26961E-06
    39    0.12537E+04    0.54834E-01    0.00000E+00    0.18892E+01    0.14449E-06    0.10316E-02   -0.18398E-06
    40    0.12728E+04    0.59702E-01    0.00000E+00    0.18314E+01    0.14423E-06    0.10089E-02   -0.11798E-06
    41    0.12922E+04    0.64839E-01    0.00000E+00    0.17621E+01    0.14393E-06    0.98666E-03   -0.83033E-07
    42    0.13115E+04    0.70255E-01    0.00000E+00    0.16803E+01    0.14359E-06    0.96495E-03   -0.72604E-07
