#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10736E+04    0.55227E-01    0.00000E+00    0.35197E+01    0.52479E-07    0.31924E-02   -0.16605E-04
     3    0.10144E+04    0.95437E-01    0.00000E+00    0.44914E+01    0.63840E-07    0.32004E-02   -0.20849E-04
     4    0.95456E+03    0.11415E+00    0.00000E+00    0.47199E+01    0.73537E-07    0.31339E-02   -0.21735E-04
     5    0.90683E+03    0.10857E+00    0.00000E+00    0.44776E+01    0.81947E-07    0.30367E-02   -0.20074E-04
     6    0.87138E+03    0.86677E-01    0.00000E+00    0.39894E+01    0.89283E-07    0.29298E-02   -0.16614E-04
     7    0.84645E+03    0.59751E-01    0.00000E+00    0.34045E+01    0.95740E-07    0.28226E-02   -0.12123E-04
     8    0.82957E+03    0.36613E-01    0.00000E+00    0.28198E+01    0.10145E-06    0.27157E-02   -0.73573E-05
     9    0.81893E+03    0.21263E-01    0.00000E+00    0.22895E+01    0.10654E-06    0.26085E-02   -0.29848E-05
    10    0.81322E+03    0.13449E-01    0.00000E+00    0.18471E+01    0.11107E-06    0.25030E-02    0.54905E-06
    11    0.81119E+03    0.10600E-01    0.00000E+00    0.15097E+01    0.11514E-06    0.24042E-02    0.30488E-05
    12    0.81296E+03    0.98996E-02    0.00000E+00    0.12856E+01    0.11877E-06    0.23140E-02    0.44476E-05
    13    0.81676E+03    0.94477E-02    0.00000E+00    0.11600E+01    0.12202E-06    0.22317E-02    0.47665E-05
    14    0.82166E+03    0.85908E-02    0.00000E+00    0.11116E+01    0.12494E-06    0.21559E-02    0.41044E-05
    15    0.82801E+03    0.75616E-02    0.00000E+00    0.11223E+01    0.12755E-06    0.20842E-02    0.28215E-05
    16    0.83623E+03    0.67379E-02    0.00000E+00    0.11750E+01    0.12990E-06    0.20147E-02    0.13058E-05
    17    0.84617E+03    0.64113E-02    0.00000E+00    0.12505E+01    0.13200E-06    0.19486E-02   -0.17243E-06
    18    0.85685E+03    0.65835E-02    0.00000E+00    0.13323E+01    0.13389E-06    0.18874E-02   -0.14120E-05
    19    0.86910E+03    0.70293E-02    0.00000E+00    0.14095E+01    0.13557E-06    0.18300E-02   -0.23625E-05
    20    0.88126E+03    0.75554E-02    0.00000E+00    0.14720E+01    0.13707E-06    0.17752E-02   -0.29941E-05
    21    0.89368E+03    0.80528E-02    0.00000E+00    0.15219E+01    0.13839E-06    0.17224E-02   -0.32140E-05
    22    0.90666E+03    0.85467E-02    0.00000E+00    0.15625E+01    0.13956E-06    0.16711E-02   -0.29659E-05
    23    0.91999E+03    0.91539E-02    0.00000E+00    0.15954E+01    0.14059E-06    0.16218E-02   -0.24024E-05
    24    0.93373E+03    0.99698E-02    0.00000E+00    0.16225E+01    0.14148E-06    0.15748E-02   -0.17200E-05
    25    0.94783E+03    0.11085E-01    0.00000E+00    0.16476E+01    0.14226E-06    0.15301E-02   -0.10918E-05
    26    0.96210E+03    0.12527E-01    0.00000E+00    0.16758E+01    0.14293E-06    0.14875E-02   -0.64403E-06
    27    0.97676E+03    0.14242E-01    0.00000E+00    0.17070E+01    0.14350E-06    0.14467E-02   -0.34316E-06
    28    0.99166E+03    0.16188E-01    0.00000E+00    0.17413E+01    0.14397E-06    0.14075E-02   -0.13584E-06
    29    0.10068E+04    0.18352E-01    0.00000E+00    0.17784E+01    0.14436E-06    0.13703E-02   -0.46273E-07
    30    0.10222E+04    0.20734E-01    0.00000E+00    0.18163E+01    0.14465E-06    0.13353E-02   -0.11155E-06
    31    0.10377E+04    0.23321E-01    0.00000E+00    0.18516E+01    0.14487E-06    0.13021E-02   -0.34367E-06
    32    0.10535E+04    0.26093E-01    0.00000E+00    0.18810E+01    0.14501E-06    0.12703E-02   -0.72223E-06
    33    0.10696E+04    0.29049E-01    0.00000E+00    0.19009E+01    0.14510E-06    0.12394E-02   -0.11225E-05
    34    0.10859E+04    0.32203E-01    0.00000E+00    0.19092E+01    0.14512E-06    0.12094E-02   -0.14127E-05
    35    0.11024E+04    0.35547E-01    0.00000E+00    0.19078E+01    0.14509E-06    0.11800E-02   -0.15355E-05
    36    0.11189E+04    0.39079E-01    0.00000E+00    0.18971E+01    0.14500E-06    0.11515E-02   -0.14784E-05
    37    0.11356E+04    0.42807E-01    0.00000E+00    0.18724E+01    0.14487E-06    0.11243E-02   -0.13339E-05
    38    0.11526E+04    0.46747E-01    0.00000E+00    0.18313E+01    0.14469E-06    0.10987E-02   -0.11950E-05
    39    0.11700E+04    0.50918E-01    0.00000E+00    0.17769E+01    0.14448E-06    0.10744E-02   -0.10528E-05
    40    0.11875E+04    0.55349E-01    0.00000E+00    0.17134E+01    0.14422E-06    0.10509E-02   -0.87313E-06
