#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10546E+04    0.44611E-01    0.00000E+00    0.33058E+01    0.53223E-07    0.29906E-02   -0.15048E-04
     3    0.99908E+03    0.69934E-01    0.00000E+00    0.39805E+01    0.64692E-07    0.30150E-02   -0.17982E-04
     4    0.94334E+03    0.75623E-01    0.00000E+00    0.39893E+01    0.74474E-07    0.29619E-02   -0.17663E-04
     5    0.89998E+03    0.64435E-01    0.00000E+00    0.36272E+01    0.82955E-07    0.28753E-02   -0.15101E-04
     6    0.86888E+03    0.45711E-01    0.00000E+00    0.31095E+01    0.90351E-07    0.27768E-02   -0.11217E-04
     7    0.84796E+03    0.28096E-01    0.00000E+00    0.25671E+01    0.96859E-07    0.26760E-02   -0.68618E-05
     8    0.83455E+03    0.16014E-01    0.00000E+00    0.20759E+01    0.10261E-06    0.25739E-02   -0.27754E-05
     9    0.82699E+03    0.97403E-02    0.00000E+00    0.16698E+01    0.10774E-06    0.24711E-02    0.47348E-06
    10    0.82400E+03    0.73211E-02    0.00000E+00    0.13644E+01    0.11229E-06    0.23708E-02    0.25982E-05
    11    0.82418E+03    0.65377E-02    0.00000E+00    0.11620E+01    0.11639E-06    0.22781E-02    0.36126E-05
    12    0.82784E+03    0.60702E-02    0.00000E+00    0.10569E+01    0.12005E-06    0.21946E-02    0.36872E-05
    13    0.83325E+03    0.53462E-02    0.00000E+00    0.10257E+01    0.12332E-06    0.21189E-02    0.30112E-05
    14    0.83951E+03    0.46883E-02    0.00000E+00    0.10412E+01    0.12625E-06    0.20491E-02    0.18009E-05
    15    0.84699E+03    0.42835E-02    0.00000E+00    0.10871E+01    0.12889E-06    0.19825E-02    0.41610E-06
    16    0.85619E+03    0.42091E-02    0.00000E+00    0.11508E+01    0.13125E-06    0.19172E-02   -0.79358E-06
    17    0.86704E+03    0.44599E-02    0.00000E+00    0.12207E+01    0.13336E-06    0.18541E-02   -0.16358E-05
    18    0.87857E+03    0.48316E-02    0.00000E+00    0.12887E+01    0.13526E-06    0.17949E-02   -0.20145E-05
    19    0.89163E+03    0.52542E-02    0.00000E+00    0.13508E+01    0.13695E-06    0.17393E-02   -0.20586E-05
    20    0.90455E+03    0.57582E-02    0.00000E+00    0.14029E+01    0.13845E-06    0.16864E-02   -0.19180E-05
    21    0.91770E+03    0.63738E-02    0.00000E+00    0.14500E+01    0.13978E-06    0.16356E-02   -0.16119E-05
    22    0.93135E+03    0.72013E-02    0.00000E+00    0.14971E+01    0.14096E-06    0.15867E-02   -0.11514E-05
    23    0.94533E+03    0.82622E-02    0.00000E+00    0.15457E+01    0.14199E-06    0.15398E-02   -0.64354E-06
    24    0.95970E+03    0.95266E-02    0.00000E+00    0.15963E+01    0.14289E-06    0.14952E-02   -0.21607E-06
    25    0.97442E+03    0.11008E-01    0.00000E+00    0.16489E+01    0.14367E-06    0.14531E-02    0.11089E-07
    26    0.98930E+03    0.12688E-01    0.00000E+00    0.17042E+01    0.14434E-06    0.14133E-02   -0.33279E-07
    27    0.10046E+04    0.14537E-01    0.00000E+00    0.17593E+01    0.14491E-06    0.13754E-02   -0.23632E-06
    28    0.10201E+04    0.16553E-01    0.00000E+00    0.18118E+01    0.14539E-06    0.13389E-02   -0.45885E-06
    29    0.10359E+04    0.18746E-01    0.00000E+00    0.18598E+01    0.14578E-06    0.13040E-02   -0.63638E-06
    30    0.10520E+04    0.21134E-01    0.00000E+00    0.19004E+01    0.14607E-06    0.12709E-02   -0.74195E-06
    31    0.10681E+04    0.23713E-01    0.00000E+00    0.19328E+01    0.14629E-06    0.12393E-02   -0.82359E-06
    32    0.10846E+04    0.26467E-01    0.00000E+00    0.19561E+01    0.14643E-06    0.12089E-02   -0.92745E-06
    33    0.11015E+04    0.29402E-01    0.00000E+00    0.19676E+01    0.14652E-06    0.11794E-02   -0.10183E-05
    34    0.11185E+04    0.32544E-01    0.00000E+00    0.19659E+01    0.14654E-06    0.11507E-02   -0.10434E-05
    35    0.11356E+04    0.35918E-01    0.00000E+00    0.19552E+01    0.14651E-06    0.11226E-02   -0.96008E-06
    36    0.11529E+04    0.39548E-01    0.00000E+00    0.19383E+01    0.14642E-06    0.10951E-02   -0.75518E-06
    37    0.11702E+04    0.43420E-01    0.00000E+00    0.19123E+01    0.14629E-06    0.10689E-02   -0.52276E-06
    38    0.11879E+04    0.47521E-01    0.00000E+00    0.18755E+01    0.14611E-06    0.10445E-02   -0.35878E-06
    39    0.12059E+04    0.51860E-01    0.00000E+00    0.18288E+01    0.14589E-06    0.10214E-02   -0.26105E-06
    40    0.12241E+04    0.56459E-01    0.00000E+00    0.17736E+01    0.14563E-06    0.99931E-03   -0.20304E-06
    41    0.12425E+04    0.61338E-01    0.00000E+00    0.17102E+01    0.14532E-06    0.97773E-03   -0.16237E-06
    42    0.12609E+04    0.66502E-01    0.00000E+00    0.16373E+01    0.14499E-06    0.95663E-03   -0.13304E-06
    43    0.12794E+04    0.71950E-01    0.00000E+00    0.15528E+01    0.14462E-06    0.93607E-03   -0.11314E-06
    44    0.12980E+04    0.77666E-01    0.00000E+00    0.14556E+01    0.14422E-06    0.91609E-03   -0.10079E-06
    45    0.13168E+04    0.83645E-01    0.00000E+00    0.13446E+01    0.14379E-06    0.89675E-03   -0.94074E-07
    46    0.13360E+04    0.89888E-01    0.00000E+00    0.12173E+01    0.14333E-06    0.87807E-03   -0.92168E-07
    47    0.13552E+04    0.96394E-01    0.00000E+00    0.10752E+01    0.14286E-06    0.86000E-03   -0.98408E-07
    48    0.13746E+04    0.10317E+00    0.00000E+00    0.92333E+00    0.14235E-06    0.84241E-03   -0.11717E-06
    49    0.13940E+04    0.11021E+00    0.00000E+00    0.76624E+00    0.14183E-06    0.82523E-03   -0.15282E-06
    50    0.14139E+04    0.11750E+00    0.00000E+00    0.60168E+00    0.14129E-06    0.80835E-03   -0.20971E-06
    51    0.14339E+04    0.12499E+00    0.00000E+00    0.42569E+00    0.14074E-06    0.79171E-03   -0.28883E-06
    52    0.14543E+04    0.13279E+00    0.00000E+00    0.23326E+00    0.14016E-06    0.77538E-03   -0.37771E-06
    53    0.14747E+04    0.14103E+00    0.00000E+00    0.20969E-01    0.13957E-06    0.75947E-03   -0.46058E-06
    54    0.14951E+04    0.14971E+00    0.00000E+00   -0.20666E+00    0.13897E-06    0.74409E-03   -0.52167E-06
    55    0.15155E+04    0.15879E+00    0.00000E+00   -0.44497E+00    0.13835E-06    0.72934E-03   -0.54526E-06
    56    0.15363E+04    0.16814E+00    0.00000E+00   -0.69550E+00    0.13773E-06    0.71531E-03   -0.52097E-06
    57    0.15574E+04    0.17764E+00    0.00000E+00   -0.95821E+00    0.13709E-06    0.70193E-03   -0.45976E-06
    58    0.15788E+04    0.18730E+00    0.00000E+00   -0.12339E+01    0.13644E-06    0.68912E-03   -0.37789E-06
    59    0.16004E+04    0.19717E+00    0.00000E+00   -0.15234E+01    0.13578E-06    0.67679E-03   -0.29158E-06
    60    0.16221E+04    0.20730E+00    0.00000E+00   -0.18261E+01    0.13511E-06    0.66486E-03   -0.21702E-06
    61    0.16442E+04    0.21778E+00    0.00000E+00   -0.21413E+01    0.13443E-06    0.65324E-03   -0.16664E-06
    62    0.16663E+04    0.22860E+00    0.00000E+00   -0.24697E+01    0.13374E-06    0.64186E-03   -0.13785E-06
    63    0.16884E+04    0.23972E+00    0.00000E+00   -0.28124E+01    0.13305E-06    0.63063E-03   -0.12431E-06
    64    0.17110E+04    0.25115E+00    0.00000E+00   -0.31705E+01    0.13235E-06    0.61950E-03   -0.11971E-06
    65    0.17336E+04    0.26287E+00    0.00000E+00   -0.35445E+01    0.13165E-06    0.60839E-03   -0.11774E-06
    66    0.17565E+04    0.27481E+00    0.00000E+00   -0.39326E+01    0.13094E-06    0.59725E-03   -0.11373E-06
    67    0.17795E+04    0.28697E+00    0.00000E+00   -0.43320E+01    0.13023E-06    0.58617E-03   -0.10952E-06
    68    0.18030E+04    0.29938E+00    0.00000E+00   -0.47412E+01    0.12952E-06    0.57525E-03   -0.10861E-06
    69    0.18267E+04    0.31202E+00    0.00000E+00   -0.51583E+01    0.12880E-06    0.56461E-03   -0.11447E-06
    70    0.18506E+04    0.32491E+00    0.00000E+00   -0.55853E+01    0.12808E-06    0.55437E-03   -0.13056E-06
    71    0.18748E+04    0.33805E+00    0.00000E+00   -0.60243E+01    0.12737E-06    0.54459E-03   -0.15853E-06
    72    0.18990E+04    0.35140E+00    0.00000E+00   -0.64770E+01    0.12665E-06    0.53526E-03   -0.19265E-06
    73    0.19235E+04    0.36494E+00    0.00000E+00   -0.69437E+01    0.12592E-06    0.52634E-03   -0.22538E-06
    74    0.19481E+04    0.37866E+00    0.00000E+00   -0.74236E+01    0.12520E-06    0.51776E-03   -0.24919E-06
    75    0.19730E+04    0.39256E+00    0.00000E+00   -0.79151E+01    0.12448E-06    0.50947E-03   -0.25656E-06
    76    0.19983E+04    0.40664E+00    0.00000E+00   -0.84177E+01    0.12375E-06    0.50144E-03   -0.24244E-06
    77    0.20239E+04    0.42091E+00    0.00000E+00   -0.89311E+01    0.12303E-06    0.49360E-03   -0.21171E-06
    78    0.20498E+04    0.43538E+00    0.00000E+00   -0.94568E+01    0.12230E-06    0.48590E-03   -0.17173E-06
    79    0.20759E+04    0.45000E+00    0.00000E+00   -0.99910E+01    0.12158E-06    0.47830E-03   -0.12982E-06
    80    0.21023E+04    0.46477E+00    0.00000E+00   -0.10535E+02    0.12085E-06    0.47073E-03   -0.93337E-07
    81    0.21289E+04    0.47964E+00    0.00000E+00   -0.11089E+02    0.12013E-06    0.46317E-03   -0.68306E-07
    82    0.21557E+04    0.49463E+00    0.00000E+00   -0.11653E+02    0.11941E-06    0.45564E-03   -0.55607E-07
    83    0.21827E+04    0.50972E+00    0.00000E+00   -0.12226E+02    0.11868E-06    0.44816E-03   -0.54827E-07
    84    0.22100E+04    0.52491E+00    0.00000E+00   -0.12806E+02    0.11796E-06    0.44079E-03   -0.65552E-07
    85    0.22374E+04    0.54016E+00    0.00000E+00   -0.13395E+02    0.11725E-06    0.43355E-03   -0.87373E-07
    86    0.22650E+04    0.55549E+00    0.00000E+00   -0.13990E+02    0.11653E-06    0.42647E-03   -0.11924E-06
    87    0.22930E+04    0.57087E+00    0.00000E+00   -0.14592E+02    0.11582E-06    0.41956E-03   -0.15757E-06
    88    0.23210E+04    0.58631E+00    0.00000E+00   -0.15201E+02    0.11511E-06    0.41283E-03   -0.19815E-06
    89    0.23494E+04    0.60180E+00    0.00000E+00   -0.15817E+02    0.11440E-06    0.40625E-03   -0.23676E-06
    90    0.23780E+04    0.61731E+00    0.00000E+00   -0.16439E+02    0.11370E-06    0.39984E-03   -0.26920E-06
    91    0.24068E+04    0.63281E+00    0.00000E+00   -0.17066E+02    0.11300E-06    0.39359E-03   -0.29209E-06
    92    0.24358E+04    0.64831E+00    0.00000E+00   -0.17699E+02    0.11230E-06    0.38749E-03   -0.30540E-06
    93    0.24651E+04    0.66379E+00    0.00000E+00   -0.18336E+02    0.11161E-06    0.38154E-03   -0.30995E-06
    94    0.24945E+04    0.67921E+00    0.00000E+00   -0.18977E+02    0.11091E-06    0.37574E-03   -0.30655E-06
    95    0.25242E+04    0.69457E+00    0.00000E+00   -0.19623E+02    0.11023E-06    0.37007E-03   -0.29600E-06
    96    0.25538E+04    0.70987E+00    0.00000E+00   -0.20272E+02    0.10954E-06    0.36454E-03   -0.27911E-06
