#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10260E+04    0.43072E-01    0.00000E+00    0.30833E+01    0.50090E-07    0.30144E-02   -0.14407E-04
     3    0.96896E+03    0.67225E-01    0.00000E+00    0.37442E+01    0.60935E-07    0.30224E-02   -0.17188E-04
     4    0.91289E+03    0.72263E-01    0.00000E+00    0.37702E+01    0.70191E-07    0.29582E-02   -0.16826E-04
     5    0.86941E+03    0.61155E-01    0.00000E+00    0.34372E+01    0.78218E-07    0.28640E-02   -0.14311E-04
     6    0.83818E+03    0.43065E-01    0.00000E+00    0.29500E+01    0.85221E-07    0.27605E-02   -0.10540E-04
     7    0.81706E+03    0.26292E-01    0.00000E+00    0.24358E+01    0.91384E-07    0.26571E-02   -0.63433E-05
     8    0.80337E+03    0.14947E-01    0.00000E+00    0.19686E+01    0.96837E-07    0.25540E-02   -0.24433E-05
     9    0.79545E+03    0.91509E-02    0.00000E+00    0.15829E+01    0.10169E-06    0.24513E-02    0.62055E-06
    10    0.79200E+03    0.69511E-02    0.00000E+00    0.12942E+01    0.10601E-06    0.23512E-02    0.25961E-05
    11    0.79166E+03    0.62264E-02    0.00000E+00    0.11047E+01    0.10990E-06    0.22586E-02    0.35108E-05
    12    0.79474E+03    0.57679E-02    0.00000E+00    0.10081E+01    0.11337E-06    0.21752E-02    0.35212E-05
    13    0.79957E+03    0.50549E-02    0.00000E+00    0.98138E+00    0.11647E-06    0.20994E-02    0.28151E-05
    14    0.80528E+03    0.44353E-02    0.00000E+00    0.99817E+00    0.11925E-06    0.20295E-02    0.16127E-05
    15    0.81222E+03    0.40756E-02    0.00000E+00    0.10432E+01    0.12175E-06    0.19627E-02    0.27911E-06
    16    0.82082E+03    0.40275E-02    0.00000E+00    0.11047E+01    0.12399E-06    0.18972E-02   -0.83983E-06
    17    0.83103E+03    0.42832E-02    0.00000E+00    0.11717E+01    0.12600E-06    0.18342E-02   -0.15929E-05
    18    0.84192E+03    0.46432E-02    0.00000E+00    0.12361E+01    0.12780E-06    0.17752E-02   -0.19217E-05
    19    0.85433E+03    0.50493E-02    0.00000E+00    0.12947E+01    0.12941E-06    0.17197E-02   -0.19456E-05
    20    0.86660E+03    0.55423E-02    0.00000E+00    0.13436E+01    0.13083E-06    0.16668E-02   -0.17957E-05
    21    0.87909E+03    0.61501E-02    0.00000E+00    0.13882E+01    0.13209E-06    0.16161E-02   -0.14832E-05
    22    0.89210E+03    0.69678E-02    0.00000E+00    0.14338E+01    0.13321E-06    0.15672E-02   -0.10181E-05
    23    0.90542E+03    0.80126E-02    0.00000E+00    0.14811E+01    0.13419E-06    0.15204E-02   -0.52531E-06
    24    0.91914E+03    0.92509E-02    0.00000E+00    0.15298E+01    0.13505E-06    0.14761E-02   -0.14564E-06
    25    0.93319E+03    0.10696E-01    0.00000E+00    0.15804E+01    0.13579E-06    0.14343E-02    0.25730E-07
    26    0.94740E+03    0.12330E-01    0.00000E+00    0.16337E+01    0.13643E-06    0.13947E-02   -0.53695E-07
    27    0.96201E+03    0.14124E-01    0.00000E+00    0.16866E+01    0.13697E-06    0.13569E-02   -0.26281E-06
    28    0.97686E+03    0.16081E-01    0.00000E+00    0.17365E+01    0.13742E-06    0.13205E-02   -0.46445E-06
    29    0.99202E+03    0.18209E-01    0.00000E+00    0.17817E+01    0.13779E-06    0.12858E-02   -0.61666E-06
    30    0.10074E+04    0.20525E-01    0.00000E+00    0.18196E+01    0.13807E-06    0.12528E-02   -0.71343E-06
    31    0.10228E+04    0.23024E-01    0.00000E+00    0.18493E+01    0.13828E-06    0.12213E-02   -0.79747E-06
    32    0.10386E+04    0.25690E-01    0.00000E+00    0.18698E+01    0.13842E-06    0.11910E-02   -0.90333E-06
    33    0.10548E+04    0.28533E-01    0.00000E+00    0.18787E+01    0.13850E-06    0.11616E-02   -0.98555E-06
    34    0.10711E+04    0.31583E-01    0.00000E+00    0.18753E+01    0.13852E-06    0.11329E-02   -0.98627E-06
    35    0.10875E+04    0.34859E-01    0.00000E+00    0.18636E+01    0.13849E-06    0.11049E-02   -0.87717E-06
    36    0.11040E+04    0.38382E-01    0.00000E+00    0.18463E+01    0.13841E-06    0.10777E-02   -0.66129E-06
    37    0.11206E+04    0.42137E-01    0.00000E+00    0.18201E+01    0.13828E-06    0.10518E-02   -0.43735E-06
    38    0.11376E+04    0.46113E-01    0.00000E+00    0.17830E+01    0.13811E-06    0.10276E-02   -0.30022E-06
    39    0.11549E+04    0.50320E-01    0.00000E+00    0.17361E+01    0.13790E-06    0.10048E-02   -0.23531E-06
    40    0.11724E+04    0.54778E-01    0.00000E+00    0.16810E+01    0.13765E-06    0.98282E-03   -0.20083E-06
    41    0.11901E+04    0.59508E-01    0.00000E+00    0.16183E+01    0.13737E-06    0.96135E-03   -0.16327E-06
    42    0.12077E+04    0.64513E-01    0.00000E+00    0.15466E+01    0.13705E-06    0.94034E-03   -0.12155E-06
    43    0.12255E+04    0.69793E-01    0.00000E+00    0.14638E+01    0.13670E-06    0.91983E-03   -0.82662E-07
    44    0.12433E+04    0.75332E-01    0.00000E+00    0.13685E+01    0.13632E-06    0.89992E-03   -0.53594E-07
    45    0.12614E+04    0.81125E-01    0.00000E+00    0.12596E+01    0.13591E-06    0.88066E-03   -0.41301E-07
    46    0.12797E+04    0.87172E-01    0.00000E+00    0.11346E+01    0.13548E-06    0.86209E-03   -0.50973E-07
    47    0.12982E+04    0.93474E-01    0.00000E+00    0.99501E+00    0.13503E-06    0.84414E-03   -0.80802E-07
    48    0.13168E+04    0.10004E+00    0.00000E+00    0.84601E+00    0.13455E-06    0.82670E-03   -0.12724E-06
    49    0.13355E+04    0.10686E+00    0.00000E+00    0.69228E+00    0.13406E-06    0.80966E-03   -0.18676E-06
    50    0.13546E+04    0.11391E+00    0.00000E+00    0.53166E+00    0.13355E-06    0.79291E-03   -0.25582E-06
    51    0.13738E+04    0.12116E+00    0.00000E+00    0.36030E+00    0.13302E-06    0.77639E-03   -0.32994E-06
    52    0.13935E+04    0.12870E+00    0.00000E+00    0.17313E+00    0.13248E-06    0.76018E-03   -0.40072E-06
    53    0.14131E+04    0.13668E+00    0.00000E+00   -0.33393E-01    0.13192E-06    0.74440E-03   -0.45878E-06
    54    0.14326E+04    0.14508E+00    0.00000E+00   -0.25483E+00    0.13135E-06    0.72917E-03   -0.49479E-06
    55    0.14522E+04    0.15387E+00    0.00000E+00   -0.48664E+00    0.13076E-06    0.71462E-03   -0.49942E-06
    56    0.14722E+04    0.16292E+00    0.00000E+00   -0.73042E+00    0.13017E-06    0.70082E-03   -0.46705E-06
    57    0.14925E+04    0.17211E+00    0.00000E+00   -0.98608E+00    0.12956E-06    0.68770E-03   -0.40691E-06
    58    0.15131E+04    0.18145E+00    0.00000E+00   -0.12543E+01    0.12894E-06    0.67514E-03   -0.33187E-06
    59    0.15338E+04    0.19099E+00    0.00000E+00   -0.15359E+01    0.12832E-06    0.66304E-03   -0.25482E-06
    60    0.15546E+04    0.20078E+00    0.00000E+00   -0.18302E+01    0.12768E-06    0.65126E-03   -0.18859E-06
    61    0.15760E+04    0.21090E+00    0.00000E+00   -0.21363E+01    0.12704E-06    0.63971E-03   -0.14306E-06
    62    0.15972E+04    0.22136E+00    0.00000E+00   -0.24550E+01    0.12639E-06    0.62834E-03   -0.11633E-06
    63    0.16185E+04    0.23211E+00    0.00000E+00   -0.27874E+01    0.12573E-06    0.61710E-03   -0.10354E-06
    64    0.16401E+04    0.24315E+00    0.00000E+00   -0.31347E+01    0.12507E-06    0.60595E-03   -0.99845E-07
    65    0.16619E+04    0.25447E+00    0.00000E+00   -0.34973E+01    0.12440E-06    0.59484E-03   -0.10041E-06
    66    0.16839E+04    0.26600E+00    0.00000E+00   -0.38735E+01    0.12373E-06    0.58377E-03   -0.10152E-06
    67    0.17061E+04    0.27774E+00    0.00000E+00   -0.42605E+01    0.12306E-06    0.57281E-03   -0.10402E-06
    68    0.17286E+04    0.28972E+00    0.00000E+00   -0.46567E+01    0.12238E-06    0.56205E-03   -0.10983E-06
    69    0.17514E+04    0.30191E+00    0.00000E+00   -0.50604E+01    0.12170E-06    0.55161E-03   -0.12091E-06
    70    0.17745E+04    0.31435E+00    0.00000E+00   -0.54734E+01    0.12102E-06    0.54157E-03   -0.13919E-06
    71    0.17977E+04    0.32702E+00    0.00000E+00   -0.58982E+01    0.12034E-06    0.53202E-03   -0.16526E-06
    72    0.18210E+04    0.33991E+00    0.00000E+00   -0.63360E+01    0.11966E-06    0.52292E-03   -0.19424E-06
    73    0.18445E+04    0.35296E+00    0.00000E+00   -0.67875E+01    0.11898E-06    0.51420E-03   -0.21992E-06
    74    0.18682E+04    0.36618E+00    0.00000E+00   -0.72517E+01    0.11829E-06    0.50581E-03   -0.23609E-06
    75    0.18922E+04    0.37958E+00    0.00000E+00   -0.77271E+01    0.11761E-06    0.49769E-03   -0.23655E-06
    76    0.19165E+04    0.39315E+00    0.00000E+00   -0.82130E+01    0.11692E-06    0.48976E-03   -0.21738E-06
    77    0.19411E+04    0.40689E+00    0.00000E+00   -0.87094E+01    0.11623E-06    0.48200E-03   -0.18385E-06
    78    0.19660E+04    0.42082E+00    0.00000E+00   -0.92175E+01    0.11554E-06    0.47435E-03   -0.14350E-06
    79    0.19912E+04    0.43490E+00    0.00000E+00   -0.97335E+01    0.11486E-06    0.46679E-03   -0.10385E-06
    80    0.20166E+04    0.44911E+00    0.00000E+00   -0.10259E+02    0.11417E-06    0.45926E-03   -0.72441E-07
    81    0.20421E+04    0.46342E+00    0.00000E+00   -0.10794E+02    0.11348E-06    0.45175E-03   -0.55202E-07
    82    0.20679E+04    0.47784E+00    0.00000E+00   -0.11338E+02    0.11280E-06    0.44428E-03   -0.51764E-07
    83    0.20939E+04    0.49235E+00    0.00000E+00   -0.11891E+02    0.11211E-06    0.43688E-03   -0.60176E-07
    84    0.21202E+04    0.50694E+00    0.00000E+00   -0.12451E+02    0.11143E-06    0.42960E-03   -0.78491E-07
    85    0.21466E+04    0.52160E+00    0.00000E+00   -0.13018E+02    0.11075E-06    0.42248E-03   -0.10476E-06
    86    0.21731E+04    0.53633E+00    0.00000E+00   -0.13592E+02    0.11007E-06    0.41553E-03   -0.13687E-06
    87    0.22001E+04    0.55110E+00    0.00000E+00   -0.14172E+02    0.10940E-06    0.40877E-03   -0.17200E-06
    88    0.22271E+04    0.56592E+00    0.00000E+00   -0.14758E+02    0.10873E-06    0.40218E-03   -0.20716E-06
    89    0.22544E+04    0.58079E+00    0.00000E+00   -0.15352E+02    0.10806E-06    0.39576E-03   -0.23936E-06
    90    0.22819E+04    0.59566E+00    0.00000E+00   -0.15950E+02    0.10739E-06    0.38950E-03   -0.26562E-06
    91    0.23096E+04    0.61053E+00    0.00000E+00   -0.16554E+02    0.10673E-06    0.38338E-03   -0.28356E-06
    92    0.23375E+04    0.62538E+00    0.00000E+00   -0.17162E+02    0.10606E-06    0.37742E-03   -0.29326E-06
    93    0.23657E+04    0.64021E+00    0.00000E+00   -0.17775E+02    0.10541E-06    0.37159E-03   -0.29543E-06
    94    0.23940E+04    0.65498E+00    0.00000E+00   -0.18392E+02    0.10475E-06    0.36590E-03   -0.29074E-06
    95    0.24225E+04    0.66969E+00    0.00000E+00   -0.19013E+02    0.10410E-06    0.36034E-03   -0.27991E-06
    96    0.24511E+04    0.68432E+00    0.00000E+00   -0.19637E+02    0.10345E-06    0.35490E-03   -0.26362E-06
    97    0.24801E+04    0.69887E+00    0.00000E+00   -0.20264E+02    0.10281E-06    0.34959E-03   -0.24256E-06
    98    0.25093E+04    0.71332E+00    0.00000E+00   -0.20891E+02    0.10216E-06    0.34440E-03   -0.21743E-06
    99    0.25385E+04    0.72763E+00    0.00000E+00   -0.21522E+02    0.10153E-06    0.33931E-03   -0.18891E-06
   100    0.25681E+04    0.74182E+00    0.00000E+00   -0.22153E+02    0.10089E-06    0.33434E-03   -0.15770E-06
   101    0.25978E+04    0.75593E+00    0.00000E+00   -0.22785E+02    0.10026E-06    0.32947E-03   -0.12449E-06
