#    L    TT             EE             TE             PP             TP          
     2    0.11239E+04    0.47182E-01    0.33775E+01    0.11382E+07    0.30780E+05
     3    0.10614E+04    0.73639E-01    0.41015E+01    0.17524E+07    0.36825E+05
     4    0.10000E+04    0.79158E-01    0.41300E+01    0.22967E+07    0.39707E+05
     5    0.95237E+03    0.66990E-01    0.37651E+01    0.27771E+07    0.40871E+05
     6    0.91815E+03    0.47175E-01    0.32315E+01    0.32011E+07    0.41094E+05
     7    0.89502E+03    0.28801E-01    0.26682E+01    0.35772E+07    0.40796E+05
     8    0.88003E+03    0.16374E-01    0.21565E+01    0.39119E+07    0.40151E+05
     9    0.87135E+03    0.10024E-01    0.17339E+01    0.42113E+07    0.39261E+05
    10    0.86757E+03    0.76144E-02    0.14177E+01    0.44794E+07    0.38230E+05
    11    0.86720E+03    0.68205E-02    0.12101E+01    0.47213E+07    0.37185E+05
    12    0.87056E+03    0.63083E-02    0.11044E+01    0.49387E+07    0.36188E+05
    13    0.87587E+03    0.55373E-02    0.10750E+01    0.51343E+07    0.35240E+05
    14    0.88213E+03    0.48611E-02    0.10934E+01    0.53111E+07    0.34328E+05
    15    0.88972E+03    0.44645E-02    0.11427E+01    0.54710E+07    0.33421E+05
    16    0.89915E+03    0.44139E-02    0.12101E+01    0.56154E+07    0.32496E+05
    17    0.91033E+03    0.46919E-02    0.12835E+01    0.57460E+07    0.31580E+05
    18    0.92230E+03    0.50851E-02    0.13542E+01    0.58643E+07    0.30706E+05
    19    0.93585E+03    0.55311E-02    0.14182E+01    0.59711E+07    0.29871E+05
    20    0.94928E+03    0.60702E-02    0.14718E+01    0.60671E+07    0.29061E+05
    21    0.96298E+03    0.67370E-02    0.15207E+01    0.61533E+07    0.28272E+05
    22    0.97722E+03    0.76333E-02    0.15706E+01    0.62311E+07    0.27502E+05
    23    0.99182E+03    0.87771E-02    0.16224E+01    0.63009E+07    0.26757E+05
    24    0.10068E+04    0.10134E-01    0.16758E+01    0.63632E+07    0.26046E+05
    25    0.10222E+04    0.11717E-01    0.17312E+01    0.64187E+07    0.25368E+05
    26    0.10378E+04    0.13506E-01    0.17896E+01    0.64680E+07    0.24723E+05
    27    0.10538E+04    0.15472E-01    0.18476E+01    0.65116E+07    0.24102E+05
    28    0.10701E+04    0.17615E-01    0.19022E+01    0.65499E+07    0.23501E+05
    29    0.10867E+04    0.19946E-01    0.19517E+01    0.65830E+07    0.22924E+05
    30    0.11035E+04    0.22484E-01    0.19932E+01    0.66111E+07    0.22373E+05
    31    0.11204E+04    0.25221E-01    0.20258E+01    0.66347E+07    0.21846E+05
    32    0.11377E+04    0.28141E-01    0.20482E+01    0.66544E+07    0.21335E+05
    33    0.11554E+04    0.31256E-01    0.20579E+01    0.66705E+07    0.20836E+05
    34    0.11733E+04    0.34596E-01    0.20542E+01    0.66832E+07    0.20348E+05
    35    0.11913E+04    0.38186E-01    0.20414E+01    0.66926E+07    0.19869E+05
    36    0.12094E+04    0.42044E-01    0.20224E+01    0.66990E+07    0.19402E+05
    37    0.12276E+04    0.46158E-01    0.19937E+01    0.67027E+07    0.18957E+05
    38    0.12462E+04    0.50513E-01    0.19532E+01    0.67038E+07    0.18540E+05
    39    0.12651E+04    0.55121E-01    0.19018E+01    0.67024E+07    0.18146E+05
    40    0.12843E+04    0.60005E-01    0.18414E+01    0.66987E+07    0.17766E+05
    41    0.13036E+04    0.65187E-01    0.17726E+01    0.66929E+07    0.17394E+05
    42    0.13229E+04    0.70670E-01    0.16940E+01    0.66849E+07    0.17028E+05
    43    0.13424E+04    0.76454E-01    0.16032E+01    0.66750E+07    0.16670E+05
    44    0.13619E+04    0.82521E-01    0.14989E+01    0.66634E+07    0.16322E+05
    45    0.13817E+04    0.88866E-01    0.13798E+01    0.66501E+07    0.15984E+05
    46    0.14018E+04    0.95488E-01    0.12433E+01    0.66353E+07    0.15658E+05
    47    0.14221E+04    0.10239E+00    0.10909E+01    0.66190E+07    0.15343E+05
    48    0.14425E+04    0.10958E+00    0.92799E+00    0.66015E+07    0.15036E+05
    49    0.14630E+04    0.11705E+00    0.75916E+00    0.65827E+07    0.14735E+05
    50    0.14839E+04    0.12478E+00    0.58239E+00    0.65628E+07    0.14439E+05
    51    0.15049E+04    0.13274E+00    0.39385E+00    0.65419E+07    0.14146E+05
    52    0.15264E+04    0.14101E+00    0.18843E+00    0.65199E+07    0.13858E+05
    53    0.15479E+04    0.14975E+00   -0.37465E-01    0.64971E+07    0.13578E+05
    54    0.15693E+04    0.15894E+00   -0.27946E+00    0.64733E+07    0.13307E+05
    55    0.15908E+04    0.16856E+00   -0.53307E+00    0.64488E+07    0.13048E+05
    56    0.16127E+04    0.17845E+00   -0.79995E+00    0.64236E+07    0.12802E+05
    57    0.16349E+04    0.18850E+00   -0.10800E+01    0.63976E+07    0.12568E+05
    58    0.16574E+04    0.19874E+00   -0.13739E+01    0.63710E+07    0.12344E+05
    59    0.16801E+04    0.20920E+00   -0.16824E+01    0.63437E+07    0.12128E+05
    60    0.17030E+04    0.21993E+00   -0.20048E+01    0.63158E+07    0.11918E+05
    61    0.17263E+04    0.23104E+00   -0.23403E+01    0.62874E+07    0.11711E+05
    62    0.17495E+04    0.24249E+00   -0.26897E+01    0.62584E+07    0.11507E+05
    63    0.17729E+04    0.25426E+00   -0.30539E+01    0.62290E+07    0.11306E+05
    64    0.17966E+04    0.26636E+00   -0.34341E+01    0.61992E+07    0.11106E+05
