#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.11239E+04    0.47182E-01    0.00000E+00    0.33775E+01    0.54870E-07    0.33020E-02   -0.15781E-04
     3    0.10614E+04    0.73639E-01    0.00000E+00    0.41015E+01    0.66749E-07    0.33108E-02   -0.18828E-04
     4    0.10000E+04    0.79158E-01    0.00000E+00    0.41300E+01    0.76888E-07    0.32405E-02   -0.18432E-04
     5    0.95237E+03    0.66990E-01    0.00000E+00    0.37651E+01    0.85681E-07    0.31373E-02   -0.15677E-04
     6    0.91815E+03    0.47175E-01    0.00000E+00    0.32315E+01    0.93353E-07    0.30240E-02   -0.11546E-04
     7    0.89502E+03    0.28801E-01    0.00000E+00    0.26682E+01    0.10010E-06    0.29106E-02   -0.69486E-05
     8    0.88003E+03    0.16374E-01    0.00000E+00    0.21565E+01    0.10608E-06    0.27977E-02   -0.26765E-05
     9    0.87135E+03    0.10024E-01    0.00000E+00    0.17339E+01    0.11139E-06    0.26852E-02    0.67976E-06
    10    0.86757E+03    0.76144E-02    0.00000E+00    0.14177E+01    0.11613E-06    0.25756E-02    0.28438E-05
    11    0.86720E+03    0.68205E-02    0.00000E+00    0.12101E+01    0.12038E-06    0.24742E-02    0.38458E-05
    12    0.87056E+03    0.63083E-02    0.00000E+00    0.11044E+01    0.12418E-06    0.23827E-02    0.38572E-05
    13    0.87587E+03    0.55373E-02    0.00000E+00    0.10750E+01    0.12758E-06    0.22998E-02    0.30837E-05
    14    0.88213E+03    0.48611E-02    0.00000E+00    0.10934E+01    0.13063E-06    0.22231E-02    0.17666E-05
    15    0.88972E+03    0.44645E-02    0.00000E+00    0.11427E+01    0.13337E-06    0.21500E-02    0.30575E-06
    16    0.89915E+03    0.44139E-02    0.00000E+00    0.12101E+01    0.13582E-06    0.20782E-02   -0.91997E-06
    17    0.91033E+03    0.46919E-02    0.00000E+00    0.12835E+01    0.13802E-06    0.20092E-02   -0.17449E-05
    18    0.92230E+03    0.50851E-02    0.00000E+00    0.13542E+01    0.13999E-06    0.19446E-02   -0.21051E-05
    19    0.93585E+03    0.55311E-02    0.00000E+00    0.14182E+01    0.14175E-06    0.18838E-02   -0.21313E-05
    20    0.94928E+03    0.60702E-02    0.00000E+00    0.14718E+01    0.14331E-06    0.18259E-02   -0.19671E-05
    21    0.96298E+03    0.67370E-02    0.00000E+00    0.15207E+01    0.14469E-06    0.17703E-02   -0.16247E-05
    22    0.97722E+03    0.76333E-02    0.00000E+00    0.15706E+01    0.14592E-06    0.17167E-02   -0.11152E-05
