#    L    TT             EE             TE             PP             TP          
     2    0.10920E+04    0.45410E-01    0.32359E+01    0.10784E+07    0.30079E+05
     3    0.10279E+04    0.70704E-01    0.39312E+01    0.16607E+07    0.35945E+05
     4    0.96611E+03    0.75757E-01    0.39540E+01    0.21768E+07    0.38739E+05
     5    0.91841E+03    0.63874E-01    0.35994E+01    0.26322E+07    0.39862E+05
     6    0.88420E+03    0.44799E-01    0.30850E+01    0.30342E+07    0.40068E+05
     7    0.86101E+03    0.27250E-01    0.25443E+01    0.33907E+07    0.39762E+05
     8    0.84589E+03    0.15473E-01    0.20548E+01    0.37080E+07    0.39116E+05
     9    0.83702E+03    0.95104E-02    0.16515E+01    0.39917E+07    0.38233E+05
    10    0.83298E+03    0.72689E-02    0.13505E+01    0.42457E+07    0.37216E+05
    11    0.83231E+03    0.65228E-02    0.11538E+01    0.44748E+07    0.36188E+05
    12    0.83530E+03    0.60266E-02    0.10545E+01    0.46807E+07    0.35208E+05
    13    0.84019E+03    0.52722E-02    0.10281E+01    0.48659E+07    0.34277E+05
    14    0.84604E+03    0.46250E-02    0.10467E+01    0.50333E+07    0.33382E+05
    15    0.85320E+03    0.42557E-02    0.10942E+01    0.51845E+07    0.32492E+05
    16    0.86213E+03    0.42147E-02    0.11585E+01    0.53211E+07    0.31586E+05
    17    0.87276E+03    0.44855E-02    0.12282E+01    0.54446E+07    0.30689E+05
    18    0.88414E+03    0.48609E-02    0.12952E+01    0.55564E+07    0.29832E+05
    19    0.89709E+03    0.52848E-02    0.13558E+01    0.56573E+07    0.29013E+05
    20    0.90994E+03    0.58027E-02    0.14064E+01    0.57480E+07    0.28221E+05
    21    0.92304E+03    0.64462E-02    0.14526E+01    0.58294E+07    0.27450E+05
    22    0.93669E+03    0.73127E-02    0.15000E+01    0.59028E+07    0.26698E+05
    23    0.95068E+03    0.84173E-02    0.15495E+01    0.59686E+07    0.25971E+05
    24    0.96508E+03    0.97235E-02    0.16006E+01    0.60273E+07    0.25277E+05
    25    0.97985E+03    0.11245E-01    0.16537E+01    0.60795E+07    0.24615E+05
    26    0.99479E+03    0.12962E-01    0.17095E+01    0.61258E+07    0.23985E+05
    27    0.10102E+04    0.14849E-01    0.17647E+01    0.61668E+07    0.23380E+05
    28    0.10258E+04    0.16904E-01    0.18166E+01    0.62027E+07    0.22794E+05
    29    0.10417E+04    0.19139E-01    0.18633E+01    0.62338E+07    0.22230E+05
    30    0.10579E+04    0.21571E-01    0.19023E+01    0.62600E+07    0.21693E+05
    31    0.10742E+04    0.24194E-01    0.19325E+01    0.62820E+07    0.21178E+05
    32    0.10909E+04    0.26994E-01    0.19529E+01    0.63003E+07    0.20679E+05
    33    0.11079E+04    0.29980E-01    0.19613E+01    0.63152E+07    0.20194E+05
    34    0.11250E+04    0.33182E-01    0.19567E+01    0.63269E+07    0.19718E+05
    35    0.11424E+04    0.36623E-01    0.19433E+01    0.63354E+07    0.19252E+05
    36    0.11598E+04    0.40325E-01    0.19241E+01    0.63412E+07    0.18797E+05
    37    0.11773E+04    0.44270E-01    0.18956E+01    0.63443E+07    0.18363E+05
    38    0.11952E+04    0.48448E-01    0.18559E+01    0.63450E+07    0.17956E+05
    39    0.12135E+04    0.52867E-01    0.18059E+01    0.63434E+07    0.17572E+05
    40    0.12319E+04    0.57549E-01    0.17471E+01    0.63396E+07    0.17202E+05
    41    0.12505E+04    0.62516E-01    0.16801E+01    0.63337E+07    0.16839E+05
    42    0.12691E+04    0.67773E-01    0.16034E+01    0.63258E+07    0.16482E+05
    43    0.12879E+04    0.73317E-01    0.15149E+01    0.63161E+07    0.16133E+05
    44    0.13066E+04    0.79133E-01    0.14135E+01    0.63048E+07    0.15793E+05
    45    0.13257E+04    0.85216E-01    0.12979E+01    0.62919E+07    0.15464E+05
    46    0.13451E+04    0.91564E-01    0.11656E+01    0.62775E+07    0.15147E+05
    47    0.13647E+04    0.98179E-01    0.10181E+01    0.62618E+07    0.14839E+05
    48    0.13843E+04    0.10507E+00    0.86070E+00    0.62449E+07    0.14540E+05
    49    0.14040E+04    0.11223E+00    0.69794E+00    0.62268E+07    0.14248E+05
    50    0.14242E+04    0.11963E+00    0.52768E+00    0.62077E+07    0.13961E+05
    51    0.14445E+04    0.12726E+00    0.34604E+00    0.61875E+07    0.13677E+05
    52    0.14652E+04    0.13518E+00    0.14794E+00    0.61665E+07    0.13398E+05
    53    0.14859E+04    0.14356E+00   -0.70177E-01    0.61445E+07    0.13126E+05
    54    0.15066E+04    0.15237E+00   -0.30390E+00    0.61218E+07    0.12864E+05
    55    0.15274E+04    0.16159E+00   -0.54869E+00    0.60983E+07    0.12612E+05
    56    0.15485E+04    0.17108E+00   -0.80617E+00    0.60741E+07    0.12374E+05
    57    0.15699E+04    0.18072E+00   -0.10762E+01    0.60493E+07    0.12146E+05
    58    0.15916E+04    0.19053E+00   -0.13596E+01    0.60238E+07    0.11928E+05
    59    0.16135E+04    0.20054E+00   -0.16569E+01    0.59977E+07    0.11718E+05
    60    0.16355E+04    0.21082E+00   -0.19676E+01    0.59711E+07    0.11513E+05
    61    0.16580E+04    0.22145E+00   -0.22906E+01    0.59439E+07    0.11312E+05
    62    0.16804E+04    0.23242E+00   -0.26270E+01    0.59162E+07    0.11114E+05
    63    0.17029E+04    0.24370E+00   -0.29776E+01    0.58882E+07    0.10918E+05
    64    0.17258E+04    0.25529E+00   -0.33437E+01    0.58597E+07    0.10724E+05
