#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10920E+04    0.45410E-01    0.00000E+00    0.32359E+01    0.51986E-07    0.32269E-02   -0.15118E-04
     3    0.10279E+04    0.70704E-01    0.00000E+00    0.39312E+01    0.63255E-07    0.32316E-02   -0.18020E-04
     4    0.96611E+03    0.75757E-01    0.00000E+00    0.39540E+01    0.72872E-07    0.31614E-02   -0.17606E-04
     5    0.91841E+03    0.63874E-01    0.00000E+00    0.35994E+01    0.81211E-07    0.30599E-02   -0.14931E-04
     6    0.88420E+03    0.44799E-01    0.00000E+00    0.30850E+01    0.88485E-07    0.29485E-02   -0.10945E-04
     7    0.86101E+03    0.27250E-01    0.00000E+00    0.25443E+01    0.94885E-07    0.28368E-02   -0.65263E-05
     8    0.84589E+03    0.15473E-01    0.00000E+00    0.20548E+01    0.10055E-06    0.27256E-02   -0.24366E-05
     9    0.83702E+03    0.95104E-02    0.00000E+00    0.16515E+01    0.10558E-06    0.26149E-02    0.75856E-06
    10    0.83298E+03    0.72689E-02    0.00000E+00    0.13505E+01    0.11007E-06    0.25072E-02    0.27978E-05
    11    0.83231E+03    0.65228E-02    0.00000E+00    0.11538E+01    0.11410E-06    0.24078E-02    0.37176E-05
    12    0.83530E+03    0.60266E-02    0.00000E+00    0.10545E+01    0.11770E-06    0.23182E-02    0.36928E-05
    13    0.84019E+03    0.52722E-02    0.00000E+00    0.10281E+01    0.12091E-06    0.22369E-02    0.29257E-05
    14    0.84604E+03    0.46250E-02    0.00000E+00    0.10467E+01    0.12380E-06    0.21619E-02    0.16505E-05
    15    0.85320E+03    0.42557E-02    0.00000E+00    0.10942E+01    0.12638E-06    0.20902E-02    0.24856E-06
    16    0.86213E+03    0.42147E-02    0.00000E+00    0.11585E+01    0.12870E-06    0.20200E-02   -0.91898E-06
    17    0.87276E+03    0.44855E-02    0.00000E+00    0.12282E+01    0.13078E-06    0.19525E-02   -0.16936E-05
    18    0.88414E+03    0.48609E-02    0.00000E+00    0.12952E+01    0.13264E-06    0.18892E-02   -0.20152E-05
    19    0.89709E+03    0.52848E-02    0.00000E+00    0.13558E+01    0.13431E-06    0.18297E-02   -0.20163E-05
    20    0.90994E+03    0.58027E-02    0.00000E+00    0.14064E+01    0.13578E-06    0.17731E-02   -0.18422E-05
    21    0.92304E+03    0.64462E-02    0.00000E+00    0.14526E+01    0.13707E-06    0.17188E-02   -0.15075E-05
    22    0.93669E+03    0.73127E-02    0.00000E+00    0.15000E+01    0.13823E-06    0.16665E-02   -0.10232E-05
    23    0.95068E+03    0.84173E-02    0.00000E+00    0.15495E+01    0.13924E-06    0.16166E-02   -0.51511E-06
    24    0.96508E+03    0.97235E-02    0.00000E+00    0.16006E+01    0.14012E-06    0.15692E-02   -0.12569E-06
    25    0.97985E+03    0.11245E-01    0.00000E+00    0.16537E+01    0.14088E-06    0.15245E-02    0.45416E-07
    26    0.99479E+03    0.12962E-01    0.00000E+00    0.17095E+01    0.14154E-06    0.14822E-02   -0.46962E-07
    27    0.10102E+04    0.14849E-01    0.00000E+00    0.17647E+01    0.14209E-06    0.14418E-02   -0.27492E-06
    28    0.10258E+04    0.16904E-01    0.00000E+00    0.18166E+01    0.14256E-06    0.14030E-02   -0.49294E-06
    29    0.10417E+04    0.19139E-01    0.00000E+00    0.18633E+01    0.14293E-06    0.13659E-02   -0.65369E-06
    30    0.10579E+04    0.21571E-01    0.00000E+00    0.19023E+01    0.14321E-06    0.13306E-02   -0.74844E-06
    31    0.10742E+04    0.24194E-01    0.00000E+00    0.19325E+01    0.14342E-06    0.12970E-02   -0.82458E-06
    32    0.10909E+04    0.26994E-01    0.00000E+00    0.19529E+01    0.14356E-06    0.12646E-02   -0.92227E-06
    33    0.11079E+04    0.29980E-01    0.00000E+00    0.19613E+01    0.14363E-06    0.12332E-02   -0.99793E-06
    34    0.11250E+04    0.33182E-01    0.00000E+00    0.19567E+01    0.14365E-06    0.12026E-02   -0.99400E-06
    35    0.11424E+04    0.36623E-01    0.00000E+00    0.19433E+01    0.14361E-06    0.11727E-02   -0.87966E-06
    36    0.11598E+04    0.40325E-01    0.00000E+00    0.19241E+01    0.14351E-06    0.11437E-02   -0.65613E-06
    37    0.11773E+04    0.44270E-01    0.00000E+00    0.18956E+01    0.14338E-06    0.11161E-02   -0.42556E-06
    38    0.11952E+04    0.48448E-01    0.00000E+00    0.18559E+01    0.14319E-06    0.10902E-02   -0.28661E-06
    39    0.12135E+04    0.52867E-01    0.00000E+00    0.18059E+01    0.14297E-06    0.10659E-02   -0.22477E-06
    40    0.12319E+04    0.57549E-01    0.00000E+00    0.17471E+01    0.14270E-06    0.10424E-02   -0.19742E-06
    41    0.12505E+04    0.62516E-01    0.00000E+00    0.16801E+01    0.14240E-06    0.10195E-02   -0.17003E-06
    42    0.12691E+04    0.67773E-01    0.00000E+00    0.16034E+01    0.14206E-06    0.99703E-03   -0.13982E-06
    43    0.12879E+04    0.73317E-01    0.00000E+00    0.15149E+01    0.14169E-06    0.97513E-03   -0.11192E-06
    44    0.13066E+04    0.79133E-01    0.00000E+00    0.14135E+01    0.14129E-06    0.95386E-03   -0.91444E-07
    45    0.13257E+04    0.85216E-01    0.00000E+00    0.12979E+01    0.14086E-06    0.93329E-03   -0.83502E-07
