#    L    TT             EE             TE             PP             TP          
     2    0.10797E+04    0.46424E-01    0.33131E+01    0.10886E+07    0.29314E+05
     3    0.10182E+04    0.71652E-01    0.39906E+01    0.16761E+07    0.35127E+05
     4    0.95813E+03    0.75986E-01    0.39881E+01    0.21967E+07    0.37922E+05
     5    0.91173E+03    0.63272E-01    0.36099E+01    0.26561E+07    0.39066E+05
     6    0.87852E+03    0.43754E-01    0.30769E+01    0.30616E+07    0.39298E+05
     7    0.85616E+03    0.26256E-01    0.25236E+01    0.34213E+07    0.39019E+05
     8    0.84172E+03    0.14809E-01    0.20267E+01    0.37414E+07    0.38401E+05
     9    0.83341E+03    0.91699E-02    0.16211E+01    0.40278E+07    0.37544E+05
    10    0.82983E+03    0.70908E-02    0.13223E+01    0.42842E+07    0.36552E+05
    11    0.82953E+03    0.63593E-02    0.11305E+01    0.45155E+07    0.35549E+05
    12    0.83282E+03    0.58298E-02    0.10367E+01    0.47234E+07    0.34599E+05
    13    0.83796E+03    0.50589E-02    0.10151E+01    0.49105E+07    0.33699E+05
    14    0.84399E+03    0.44470E-02    0.10370E+01    0.50796E+07    0.32831E+05
    15    0.85128E+03    0.41325E-02    0.10862E+01    0.52324E+07    0.31964E+05
    16    0.86031E+03    0.41251E-02    0.11508E+01    0.53705E+07    0.31076E+05
    17    0.87102E+03    0.44013E-02    0.12197E+01    0.54954E+07    0.30196E+05
    18    0.88246E+03    0.47588E-02    0.12849E+01    0.56086E+07    0.29359E+05
    19    0.89546E+03    0.51615E-02    0.13436E+01    0.57107E+07    0.28558E+05
    20    0.90833E+03    0.56729E-02    0.13929E+01    0.58025E+07    0.27781E+05
    21    0.92144E+03    0.63228E-02    0.14390E+01    0.58850E+07    0.27025E+05
    22    0.93507E+03    0.72015E-02    0.14876E+01    0.59593E+07    0.26287E+05
    23    0.94905E+03    0.83161E-02    0.15387E+01    0.60261E+07    0.25575E+05
    24    0.96342E+03    0.96239E-02    0.15916E+01    0.60857E+07    0.24896E+05
    25    0.97815E+03    0.11138E-01    0.16463E+01    0.61387E+07    0.24250E+05
    26    0.99305E+03    0.12842E-01    0.17040E+01    0.61858E+07    0.23634E+05
    27    0.10084E+04    0.14709E-01    0.17607E+01    0.62275E+07    0.23040E+05
    28    0.10239E+04    0.16742E-01    0.18133E+01    0.62641E+07    0.22466E+05
    29    0.10398E+04    0.18950E-01    0.18601E+01    0.62958E+07    0.21913E+05
    30    0.10559E+04    0.21351E-01    0.18987E+01    0.63226E+07    0.21387E+05
    31    0.10722E+04    0.23939E-01    0.19284E+01    0.63452E+07    0.20881E+05
    32    0.10887E+04    0.26700E-01    0.19481E+01    0.63640E+07    0.20391E+05
    33    0.11057E+04    0.29648E-01    0.19557E+01    0.63794E+07    0.19912E+05
    34    0.11228E+04    0.32816E-01    0.19511E+01    0.63915E+07    0.19443E+05
    35    0.11400E+04    0.36224E-01    0.19383E+01    0.64005E+07    0.18984E+05
    36    0.11573E+04    0.39889E-01    0.19203E+01    0.64066E+07    0.18538E+05
    37    0.11747E+04    0.43794E-01    0.18933E+01    0.64101E+07    0.18113E+05
    38    0.11925E+04    0.47927E-01    0.18550E+01    0.64111E+07    0.17716E+05
    39    0.12107E+04    0.52298E-01    0.18063E+01    0.64098E+07    0.17341E+05
    40    0.12290E+04    0.56929E-01    0.17487E+01    0.64063E+07    0.16979E+05
    41    0.12475E+04    0.61841E-01    0.16831E+01    0.64006E+07    0.16623E+05
    42    0.12660E+04    0.67040E-01    0.16078E+01    0.63930E+07    0.16273E+05
    43    0.12847E+04    0.72522E-01    0.15208E+01    0.63836E+07    0.15929E+05
    44    0.13033E+04    0.78274E-01    0.14207E+01    0.63724E+07    0.15595E+05
    45    0.13223E+04    0.84289E-01    0.13066E+01    0.63597E+07    0.15271E+05
    46    0.13416E+04    0.90567E-01    0.11756E+01    0.63455E+07    0.14958E+05
    47    0.13610E+04    0.97109E-01    0.10296E+01    0.63299E+07    0.14656E+05
    48    0.13805E+04    0.10393E+00    0.87361E+00    0.63131E+07    0.14361E+05
    49    0.14001E+04    0.11100E+00    0.71248E+00    0.62952E+07    0.14073E+05
    50    0.14201E+04    0.11832E+00    0.54410E+00    0.62761E+07    0.13790E+05
    51    0.14403E+04    0.12586E+00    0.36463E+00    0.62561E+07    0.13509E+05
    52    0.14609E+04    0.13370E+00    0.16893E+00    0.62351E+07    0.13234E+05
    53    0.14815E+04    0.14198E+00   -0.46644E-01    0.62132E+07    0.12965E+05
    54    0.15020E+04    0.15070E+00   -0.27774E+00    0.61905E+07    0.12707E+05
    55    0.15226E+04    0.15982E+00   -0.51992E+00    0.61670E+07    0.12460E+05
    56    0.15436E+04    0.16920E+00   -0.77484E+00    0.61429E+07    0.12226E+05
    57    0.15649E+04    0.17874E+00   -0.10424E+01    0.61180E+07    0.12004E+05
    58    0.15864E+04    0.18844E+00   -0.13232E+01    0.60925E+07    0.11791E+05
    59    0.16082E+04    0.19834E+00   -0.16179E+01    0.60664E+07    0.11586E+05
    60    0.16301E+04    0.20851E+00   -0.19258E+01    0.60398E+07    0.11385E+05
    61    0.16524E+04    0.21902E+00   -0.22459E+01    0.60126E+07    0.11187E+05
    62    0.16747E+04    0.22987E+00   -0.25792E+01    0.59849E+07    0.10990E+05
    63    0.16970E+04    0.24102E+00   -0.29266E+01    0.59567E+07    0.10796E+05
    64    0.17198E+04    0.25248E+00   -0.32892E+01    0.59282E+07    0.10602E+05
    65    0.17426E+04    0.26422E+00   -0.36677E+01    0.58994E+07    0.10410E+05
    66    0.17657E+04    0.27618E+00   -0.40602E+01    0.58702E+07    0.10218E+05
    67    0.17890E+04    0.28835E+00   -0.44639E+01    0.58409E+07    0.10029E+05
    68    0.18127E+04    0.30078E+00   -0.48774E+01    0.58113E+07    0.98437E+04
    69    0.18366E+04    0.31343E+00   -0.52989E+01    0.57815E+07    0.96641E+04
    70    0.18608E+04    0.32633E+00   -0.57301E+01    0.57515E+07    0.94918E+04
    71    0.18851E+04    0.33947E+00   -0.61737E+01    0.57214E+07    0.93281E+04
    72    0.19097E+04    0.35283E+00   -0.66308E+01    0.56911E+07    0.91722E+04
    73    0.19343E+04    0.36637E+00   -0.71021E+01    0.56607E+07    0.90228E+04
    74    0.19592E+04    0.38008E+00   -0.75867E+01    0.56302E+07    0.88787E+04
    75    0.19844E+04    0.39397E+00   -0.80830E+01    0.55995E+07    0.87386E+04
    76    0.20099E+04    0.40804E+00   -0.85904E+01    0.55687E+07    0.86013E+04
    77    0.20357E+04    0.42229E+00   -0.91087E+01    0.55378E+07    0.84664E+04
    78    0.20619E+04    0.43673E+00   -0.96391E+01    0.55069E+07    0.83331E+04
    79    0.20883E+04    0.45131E+00   -0.10178E+02    0.54758E+07    0.82009E+04
    80    0.21149E+04    0.46605E+00   -0.10726E+02    0.54447E+07    0.80694E+04
    81    0.21418E+04    0.48087E+00   -0.11285E+02    0.54137E+07    0.79381E+04
    82    0.21689E+04    0.49581E+00   -0.11853E+02    0.53826E+07    0.78076E+04
    83    0.21962E+04    0.51085E+00   -0.12429E+02    0.53515E+07    0.76786E+04
    84    0.22237E+04    0.52597E+00   -0.13013E+02    0.53204E+07    0.75518E+04
    85    0.22514E+04    0.54115E+00   -0.13604E+02    0.52894E+07    0.74278E+04
    86    0.22793E+04    0.55641E+00   -0.14203E+02    0.52585E+07    0.73072E+04
    87    0.23076E+04    0.57170E+00   -0.14808E+02    0.52276E+07    0.71900E+04
    88    0.23360E+04    0.58706E+00   -0.15419E+02    0.51968E+07    0.70760E+04
    89    0.23646E+04    0.60246E+00   -0.16038E+02    0.51661E+07    0.69648E+04
    90    0.23935E+04    0.61785E+00   -0.16662E+02    0.51354E+07    0.68563E+04
    91    0.24226E+04    0.63325E+00   -0.17291E+02    0.51049E+07    0.67503E+04
    92    0.24519E+04    0.64863E+00   -0.17926E+02    0.50745E+07    0.66466E+04
    93    0.24815E+04    0.66397E+00   -0.18565E+02    0.50441E+07    0.65453E+04
    94    0.25112E+04    0.67926E+00   -0.19208E+02    0.50139E+07    0.64461E+04
    95    0.25412E+04    0.69448E+00   -0.19855E+02    0.49838E+07    0.63492E+04
    96    0.25712E+04    0.70962E+00   -0.20505E+02    0.49539E+07    0.62543E+04
    97    0.26016E+04    0.72467E+00   -0.21159E+02    0.49240E+07    0.61615E+04
    98    0.26323E+04    0.73962E+00   -0.21813E+02    0.48943E+07    0.60706E+04
    99    0.26630E+04    0.75443E+00   -0.22470E+02    0.48647E+07    0.59816E+04
   100    0.26940E+04    0.76910E+00   -0.23127E+02    0.48352E+07    0.58944E+04
   101    0.27252E+04    0.78369E+00   -0.23786E+02    0.48059E+07    0.58089E+04
   102    0.27569E+04    0.79805E+00   -0.24445E+02    0.47767E+07    0.57251E+04
   103    0.27886E+04    0.81227E+00   -0.25105E+02    0.47477E+07    0.56430E+04
   104    0.28204E+04    0.82633E+00   -0.25762E+02    0.47188E+07    0.55623E+04
   105    0.28524E+04    0.84016E+00   -0.26419E+02    0.46900E+07    0.54831E+04
   106    0.28847E+04    0.85384E+00   -0.27074E+02    0.46615E+07    0.54053E+04
   107    0.29169E+04    0.86721E+00   -0.27726E+02    0.46330E+07    0.53288E+04
   108    0.29494E+04    0.88037E+00   -0.28376E+02    0.46048E+07    0.52535E+04
   109    0.29822E+04    0.89322E+00   -0.29023E+02    0.45767E+07    0.51795E+04
   110    0.30150E+04    0.90576E+00   -0.29664E+02    0.45488E+07    0.51065E+04
   111    0.30479E+04    0.91808E+00   -0.30302E+02    0.45210E+07    0.50346E+04
   112    0.30810E+04    0.93010E+00   -0.30936E+02    0.44935E+07    0.49637E+04
   113    0.31144E+04    0.94182E+00   -0.31564E+02    0.44661E+07    0.48938E+04
   114    0.31478E+04    0.95316E+00   -0.32185E+02    0.44389E+07    0.48250E+04
   115    0.31815E+04    0.96428E+00   -0.32799E+02    0.44119E+07    0.47572E+04
   116    0.32152E+04    0.97494E+00   -0.33406E+02    0.43850E+07    0.46905E+04
   117    0.32491E+04    0.98523E+00   -0.34005E+02    0.43583E+07    0.46247E+04
   118    0.32833E+04    0.99528E+00   -0.34596E+02    0.43318E+07    0.45600E+04
   119    0.33174E+04    0.10050E+01   -0.35177E+02    0.43055E+07    0.44963E+04
   120    0.33517E+04    0.10141E+01   -0.35749E+02    0.42794E+07    0.44336E+04
   121    0.33859E+04    0.10230E+01   -0.36310E+02    0.42534E+07    0.43720E+04
   122    0.34203E+04    0.10314E+01   -0.36861E+02    0.42277E+07    0.43113E+04
   123    0.34547E+04    0.10394E+01   -0.37401E+02    0.42021E+07    0.42517E+04
   124    0.34892E+04    0.10470E+01   -0.37927E+02    0.41766E+07    0.41931E+04
   125    0.35237E+04    0.10541E+01   -0.38441E+02    0.41514E+07    0.41355E+04
   126    0.35582E+04    0.10608E+01   -0.38943E+02    0.41264E+07    0.40789E+04
   127    0.35928E+04    0.10670E+01   -0.39432E+02    0.41015E+07    0.40233E+04
   128    0.36273E+04    0.10728E+01   -0.39907E+02    0.40768E+07    0.39687E+04
   129    0.36619E+04    0.10781E+01   -0.40368E+02    0.40523E+07    0.39151E+04
   130    0.36965E+04    0.10829E+01   -0.40812E+02    0.40280E+07    0.38626E+04
   131    0.37311E+04    0.10873E+01   -0.41243E+02    0.40039E+07    0.38110E+04
   132    0.37657E+04    0.10912E+01   -0.41657E+02    0.39799E+07    0.37604E+04
   133    0.38003E+04    0.10946E+01   -0.42055E+02    0.39562E+07    0.37108E+04
   134    0.38348E+04    0.10975E+01   -0.42435E+02    0.39326E+07    0.36620E+04
   135    0.38694E+04    0.11000E+01   -0.42798E+02    0.39092E+07    0.36142E+04
   136    0.39037E+04    0.11019E+01   -0.43142E+02    0.38859E+07    0.35673E+04
   137    0.39381E+04    0.11033E+01   -0.43468E+02    0.38629E+07    0.35212E+04
   138    0.39724E+04    0.11043E+01   -0.43774E+02    0.38400E+07    0.34759E+04
   139    0.40065E+04    0.11048E+01   -0.44061E+02    0.38173E+07    0.34315E+04
   140    0.40406E+04    0.11047E+01   -0.44329E+02    0.37948E+07    0.33878E+04
   141    0.40745E+04    0.11042E+01   -0.44575E+02    0.37725E+07    0.33448E+04
   142    0.41084E+04    0.11031E+01   -0.44801E+02    0.37503E+07    0.33026E+04
