#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10797E+04    0.46424E-01    0.00000E+00    0.33131E+01    0.52479E-07    0.31447E-02   -0.15332E-04
     3    0.10182E+04    0.71652E-01    0.00000E+00    0.39906E+01    0.63841E-07    0.31581E-02   -0.18193E-04
     4    0.95813E+03    0.75986E-01    0.00000E+00    0.39881E+01    0.73538E-07    0.30948E-02   -0.17665E-04
     5    0.91173E+03    0.63272E-01    0.00000E+00    0.36099E+01    0.81947E-07    0.29988E-02   -0.14839E-04
     6    0.87852E+03    0.43754E-01    0.00000E+00    0.30769E+01    0.89284E-07    0.28917E-02   -0.10716E-04
     7    0.85616E+03    0.26256E-01    0.00000E+00    0.25236E+01    0.95741E-07    0.27838E-02   -0.62183E-05
     8    0.84172E+03    0.14809E-01    0.00000E+00    0.20267E+01    0.10145E-06    0.26757E-02   -0.21315E-05
     9    0.83341E+03    0.91699E-02    0.00000E+00    0.16211E+01    0.10654E-06    0.25677E-02    0.98878E-06
    10    0.82983E+03    0.70908E-02    0.00000E+00    0.13223E+01    0.11107E-06    0.24625E-02    0.29155E-05
    11    0.82953E+03    0.63593E-02    0.00000E+00    0.11305E+01    0.11514E-06    0.23653E-02    0.37139E-05
    12    0.83282E+03    0.58298E-02    0.00000E+00    0.10367E+01    0.11877E-06    0.22781E-02    0.35680E-05
    13    0.83796E+03    0.50589E-02    0.00000E+00    0.10151E+01    0.12202E-06    0.21992E-02    0.27018E-05
    14    0.84399E+03    0.44470E-02    0.00000E+00    0.10370E+01    0.12493E-06    0.21262E-02    0.13731E-05
    15    0.85128E+03    0.41325E-02    0.00000E+00    0.10862E+01    0.12755E-06    0.20562E-02   -0.19307E-07
    16    0.86031E+03    0.41251E-02    0.00000E+00    0.11508E+01    0.12990E-06    0.19874E-02   -0.11108E-05
    17    0.87102E+03    0.44013E-02    0.00000E+00    0.12197E+01    0.13200E-06    0.19212E-02   -0.17858E-05
    18    0.88246E+03    0.47588E-02    0.00000E+00    0.12849E+01    0.13389E-06    0.18592E-02   -0.20281E-05
    19    0.89546E+03    0.51615E-02    0.00000E+00    0.13436E+01    0.13557E-06    0.18010E-02   -0.19727E-05
    20    0.90833E+03    0.56729E-02    0.00000E+00    0.13929E+01    0.13706E-06    0.17455E-02   -0.17579E-05
    21    0.92144E+03    0.63228E-02    0.00000E+00    0.14390E+01    0.13838E-06    0.16921E-02   -0.13953E-05
    22    0.93507E+03    0.72015E-02    0.00000E+00    0.14876E+01    0.13955E-06    0.16408E-02   -0.89715E-06
    23    0.94905E+03    0.83161E-02    0.00000E+00    0.15387E+01    0.14058E-06    0.15919E-02   -0.40565E-06
    24    0.96342E+03    0.96239E-02    0.00000E+00    0.15916E+01    0.14148E-06    0.15456E-02   -0.74014E-07
    25    0.97815E+03    0.11138E-01    0.00000E+00    0.16463E+01    0.14226E-06    0.15019E-02    0.24606E-07
