#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10728E+04    0.43811E-01    0.00000E+00    0.31716E+01    0.52481E-07    0.31622E-02   -0.14848E-04
     3    0.10140E+04    0.69152E-01    0.00000E+00    0.38751E+01    0.63843E-07    0.31685E-02   -0.17809E-04
     4    0.95592E+03    0.75366E-01    0.00000E+00    0.39246E+01    0.73541E-07    0.30999E-02   -0.17579E-04
     5    0.91077E+03    0.64847E-01    0.00000E+00    0.35988E+01    0.81951E-07    0.30007E-02   -0.15138E-04
     6    0.87825E+03    0.46531E-01    0.00000E+00    0.31075E+01    0.89289E-07    0.28922E-02   -0.11367E-04
     7    0.85618E+03    0.28931E-01    0.00000E+00    0.25819E+01    0.95747E-07    0.27839E-02   -0.70840E-05
     8    0.84181E+03    0.16611E-01    0.00000E+00    0.20999E+01    0.10146E-06    0.26761E-02   -0.30116E-05
     9    0.83344E+03    0.10071E-01    0.00000E+00    0.16976E+01    0.10655E-06    0.25687E-02    0.27998E-06
    10    0.82974E+03    0.74993E-02    0.00000E+00    0.13919E+01    0.11107E-06    0.24641E-02    0.24900E-05
    11    0.82932E+03    0.66903E-02    0.00000E+00    0.11867E+01    0.11514E-06    0.23672E-02    0.36096E-05
    12    0.83247E+03    0.62522E-02    0.00000E+00    0.10779E+01    0.11878E-06    0.22795E-02    0.37839E-05
    13    0.83747E+03    0.55528E-02    0.00000E+00    0.10430E+01    0.12203E-06    0.21998E-02    0.31841E-05
    14    0.84340E+03    0.48772E-02    0.00000E+00    0.10559E+01    0.12495E-06    0.21262E-02    0.20140E-05
    15    0.85063E+03    0.44337E-02    0.00000E+00    0.11006E+01    0.12756E-06    0.20562E-02    0.63127E-06
    16    0.85963E+03    0.43312E-02    0.00000E+00    0.11644E+01    0.12991E-06    0.19878E-02   -0.61217E-06
    17    0.87031E+03    0.45768E-02    0.00000E+00    0.12356E+01    0.13201E-06    0.19220E-02   -0.15147E-05
    18    0.88171E+03    0.49692E-02    0.00000E+00    0.13055E+01    0.13390E-06    0.18603E-02   -0.19680E-05
    19    0.89466E+03    0.54228E-02    0.00000E+00    0.13695E+01    0.13559E-06    0.18022E-02   -0.20830E-05
    20    0.90750E+03    0.59513E-02    0.00000E+00    0.14231E+01    0.13708E-06    0.17469E-02   -0.19932E-05
    21    0.92058E+03    0.65825E-02    0.00000E+00    0.14711E+01    0.13840E-06    0.16939E-02   -0.17126E-05
    22    0.93420E+03    0.74188E-02    0.00000E+00    0.15184E+01    0.13957E-06    0.16428E-02   -0.12519E-05
    23    0.94815E+03    0.84902E-02    0.00000E+00    0.15665E+01    0.14060E-06    0.15939E-02   -0.72453E-06
    24    0.96251E+03    0.97744E-02    0.00000E+00    0.16160E+01    0.14150E-06    0.15474E-02   -0.26591E-06
    25    0.97722E+03    0.11286E-01    0.00000E+00    0.16671E+01    0.14228E-06    0.15034E-02   -0.58975E-09
    26    0.99210E+03    0.13004E-01    0.00000E+00    0.17210E+01    0.14294E-06    0.14619E-02   -0.45713E-08
    27    0.10074E+04    0.14898E-01    0.00000E+00    0.17749E+01    0.14351E-06    0.14223E-02   -0.17318E-06
    28    0.10229E+04    0.16965E-01    0.00000E+00    0.18265E+01    0.14399E-06    0.13842E-02   -0.37545E-06
    29    0.10388E+04    0.19216E-01    0.00000E+00    0.18740E+01    0.14438E-06    0.13478E-02   -0.55188E-06
    30    0.10549E+04    0.21669E-01    0.00000E+00    0.19146E+01    0.14467E-06    0.13132E-02   -0.67714E-06
    31    0.10711E+04    0.24319E-01    0.00000E+00    0.19471E+01    0.14488E-06    0.12803E-02   -0.79044E-06
    32    0.10876E+04    0.27148E-01    0.00000E+00    0.19704E+01    0.14503E-06    0.12486E-02   -0.92704E-06
    33    0.11045E+04    0.30164E-01    0.00000E+00    0.19816E+01    0.14512E-06    0.12179E-02   -0.10429E-05
