#    L    TT             EE             TE             PP             TP          
     2    0.10716E+04    0.45152E-01    0.31863E+01    0.10878E+07    0.29671E+05
     3    0.10131E+04    0.70452E-01    0.38855E+01    0.16749E+07    0.35430E+05
     4    0.95526E+03    0.75705E-01    0.39259E+01    0.21952E+07    0.38143E+05
     5    0.91030E+03    0.64041E-01    0.35883E+01    0.26544E+07    0.39213E+05
     6    0.87796E+03    0.45078E-01    0.30849E+01    0.30597E+07    0.39395E+05
     7    0.85609E+03    0.27510E-01    0.25493E+01    0.34192E+07    0.39094E+05
     8    0.84190E+03    0.15638E-01    0.20610E+01    0.37392E+07    0.38473E+05
     9    0.83368E+03    0.95773E-02    0.16573E+01    0.40254E+07    0.37623E+05
    10    0.83009E+03    0.72795E-02    0.13552E+01    0.42818E+07    0.36640E+05
    11    0.82972E+03    0.65217E-02    0.11570E+01    0.45130E+07    0.35641E+05
    12    0.83292E+03    0.60353E-02    0.10561E+01    0.47208E+07    0.34684E+05
    13    0.83796E+03    0.52924E-02    0.10283E+01    0.49078E+07    0.33773E+05
    14    0.84393E+03    0.46452E-02    0.10460E+01    0.50769E+07    0.32896E+05
    15    0.85119E+03    0.42687E-02    0.10933E+01    0.52297E+07    0.32026E+05
    16    0.86020E+03    0.42209E-02    0.11577E+01    0.53677E+07    0.31139E+05
    17    0.87089E+03    0.44886E-02    0.12280E+01    0.54926E+07    0.30262E+05
    18    0.88232E+03    0.48655E-02    0.12955E+01    0.56058E+07    0.29424E+05
    19    0.89529E+03    0.52918E-02    0.13567E+01    0.57079E+07    0.28623E+05
    20    0.90814E+03    0.58086E-02    0.14080E+01    0.57996E+07    0.27846E+05
    21    0.92123E+03    0.64472E-02    0.14547E+01    0.58821E+07    0.27089E+05
    22    0.93485E+03    0.73060E-02    0.15025E+01    0.59564E+07    0.26350E+05
    23    0.94881E+03    0.84022E-02    0.15520E+01    0.60232E+07    0.25636E+05
    24    0.96318E+03    0.97017E-02    0.16032E+01    0.60827E+07    0.24955E+05
    25    0.97790E+03    0.11217E-01    0.16562E+01    0.61358E+07    0.24305E+05
    26    0.99280E+03    0.12931E-01    0.17121E+01    0.61829E+07    0.23687E+05
    27    0.10081E+04    0.14813E-01    0.17676E+01    0.62246E+07    0.23092E+05
    28    0.10237E+04    0.16864E-01    0.18198E+01    0.62612E+07    0.22516E+05
    29    0.10395E+04    0.19096E-01    0.18671E+01    0.62929E+07    0.21962E+05
    30    0.10556E+04    0.21525E-01    0.19068E+01    0.63197E+07    0.21434E+05
    31    0.10718E+04    0.24145E-01    0.19378E+01    0.63422E+07    0.20928E+05
    32    0.10884E+04    0.26940E-01    0.19592E+01    0.63611E+07    0.20438E+05
    33    0.11053E+04    0.29922E-01    0.19684E+01    0.63765E+07    0.19961E+05
    34    0.11224E+04    0.33120E-01    0.19647E+01    0.63886E+07    0.19493E+05
    35    0.11396E+04    0.36556E-01    0.19524E+01    0.63976E+07    0.19034E+05
    36    0.11569E+04    0.40250E-01    0.19341E+01    0.64038E+07    0.18586E+05
    37    0.11743E+04    0.44188E-01    0.19066E+01    0.64073E+07    0.18159E+05
    38    0.11921E+04    0.48357E-01    0.18677E+01    0.64083E+07    0.17759E+05
    39    0.12103E+04    0.52769E-01    0.18185E+01    0.64070E+07    0.17382E+05
    40    0.12286E+04    0.57444E-01    0.17606E+01    0.64035E+07    0.17018E+05
    41    0.12471E+04    0.62404E-01    0.16948E+01    0.63978E+07    0.16661E+05
    42    0.12656E+04    0.67652E-01    0.16194E+01    0.63902E+07    0.16310E+05
    43    0.12842E+04    0.73188E-01    0.15324E+01    0.63808E+07    0.15968E+05
    44    0.13028E+04    0.78997E-01    0.14325E+01    0.63697E+07    0.15634E+05
    45    0.13218E+04    0.85071E-01    0.13183E+01    0.63569E+07    0.15310E+05
    46    0.13411E+04    0.91411E-01    0.11874E+01    0.63428E+07    0.14998E+05
    47    0.13605E+04    0.98017E-01    0.10412E+01    0.63272E+07    0.14696E+05
    48    0.13799E+04    0.10490E+00    0.88503E+00    0.63105E+07    0.14401E+05
    49    0.13995E+04    0.11205E+00    0.72355E+00    0.62925E+07    0.14113E+05
    50    0.14195E+04    0.11944E+00    0.55464E+00    0.62735E+07    0.13829E+05
    51    0.14397E+04    0.12706E+00    0.37447E+00    0.62534E+07    0.13549E+05
    52    0.14602E+04    0.13497E+00    0.17794E+00    0.62325E+07    0.13273E+05
    53    0.14808E+04    0.14334E+00   -0.38514E-01    0.62106E+07    0.13004E+05
    54    0.15013E+04    0.15214E+00   -0.27049E+00    0.61879E+07    0.12745E+05
    55    0.15219E+04    0.16135E+00   -0.51345E+00    0.61645E+07    0.12496E+05
    56    0.15428E+04    0.17082E+00   -0.76905E+00    0.61403E+07    0.12261E+05
    57    0.15641E+04    0.18046E+00   -0.10372E+01    0.61155E+07    0.12037E+05
    58    0.15856E+04    0.19025E+00   -0.13185E+01    0.60900E+07    0.11822E+05
    59    0.16073E+04    0.20026E+00   -0.16139E+01    0.60639E+07    0.11615E+05
    60    0.16292E+04    0.21053E+00   -0.19225E+01    0.60373E+07    0.11413E+05
    61    0.16515E+04    0.22115E+00   -0.22436E+01    0.60101E+07    0.11215E+05
    62    0.16738E+04    0.23211E+00   -0.25780E+01    0.59824E+07    0.11020E+05
    63    0.16961E+04    0.24338E+00   -0.29266E+01    0.59543E+07    0.10827E+05
    64    0.17188E+04    0.25496E+00   -0.32907E+01    0.59258E+07    0.10635E+05
    65    0.17416E+04    0.26682E+00   -0.36708E+01    0.58970E+07    0.10444E+05
    66    0.17647E+04    0.27891E+00   -0.40650E+01    0.58679E+07    0.10253E+05
    67    0.17879E+04    0.29121E+00   -0.44706E+01    0.58385E+07    0.10064E+05
    68    0.18116E+04    0.30378E+00   -0.48860E+01    0.58089E+07    0.98777E+04
    69    0.18355E+04    0.31656E+00   -0.53095E+01    0.57792E+07    0.96971E+04
    70    0.18596E+04    0.32960E+00   -0.57428E+01    0.57492E+07    0.95235E+04
    71    0.18839E+04    0.34288E+00   -0.61883E+01    0.57191E+07    0.93583E+04
    72    0.19084E+04    0.35638E+00   -0.66475E+01    0.56889E+07    0.92008E+04
    73    0.19330E+04    0.37007E+00   -0.71208E+01    0.56585E+07    0.90499E+04
    74    0.19579E+04    0.38393E+00   -0.76074E+01    0.56280E+07    0.89046E+04
    75    0.19830E+04    0.39797E+00   -0.81057E+01    0.55973E+07    0.87638E+04
    76    0.20085E+04    0.41220E+00   -0.86152E+01    0.55665E+07    0.86264E+04
    77    0.20343E+04    0.42660E+00   -0.91355E+01    0.55356E+07    0.84917E+04
    78    0.20604E+04    0.44121E+00   -0.96682E+01    0.55047E+07    0.83590E+04
    79    0.20867E+04    0.45596E+00   -0.10209E+02    0.54737E+07    0.82276E+04
    80    0.21134E+04    0.47086E+00   -0.10760E+02    0.54426E+07    0.80969E+04
