#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.11279E+04    0.47535E-01    0.00000E+00    0.34184E+01    0.54190E-07    0.32546E-02   -0.15890E-04
     3    0.10629E+04    0.73950E-01    0.00000E+00    0.41352E+01    0.65779E-07    0.32589E-02   -0.18897E-04
     4    0.99949E+03    0.79320E-01    0.00000E+00    0.41529E+01    0.75656E-07    0.31861E-02   -0.18461E-04
     5    0.95031E+03    0.67019E-01    0.00000E+00    0.37783E+01    0.84208E-07    0.30816E-02   -0.15679E-04
     6    0.91482E+03    0.47136E-01    0.00000E+00    0.32373E+01    0.91657E-07    0.29675E-02   -0.11536E-04
     7    0.89057E+03    0.28747E-01    0.00000E+00    0.26690E+01    0.98202E-07    0.28540E-02   -0.69411E-05
     8    0.87457E+03    0.16325E-01    0.00000E+00    0.21542E+01    0.10398E-06    0.27413E-02   -0.26814E-05
     9    0.86496E+03    0.99803E-02    0.00000E+00    0.17300E+01    0.10912E-06    0.26293E-02    0.65991E-06
    10    0.86030E+03    0.75686E-02    0.00000E+00    0.14128E+01    0.11369E-06    0.25204E-02    0.28117E-05
    11    0.85909E+03    0.67704E-02    0.00000E+00    0.12045E+01    0.11779E-06    0.24198E-02    0.38063E-05
    12    0.86164E+03    0.62568E-02    0.00000E+00    0.10979E+01    0.12145E-06    0.23293E-02    0.38164E-05
    13    0.86616E+03    0.54870E-02    0.00000E+00    0.10676E+01    0.12472E-06    0.22472E-02    0.30487E-05
    14    0.87165E+03    0.48130E-02    0.00000E+00    0.10848E+01    0.12764E-06    0.21714E-02    0.17447E-05
    15    0.87848E+03    0.44171E-02    0.00000E+00    0.11329E+01    0.13026E-06    0.20992E-02    0.29965E-06
    16    0.88716E+03    0.43640E-02    0.00000E+00    0.11988E+01    0.13261E-06    0.20284E-02   -0.91243E-06
    17    0.89760E+03    0.46370E-02    0.00000E+00    0.12709E+01    0.13471E-06    0.19604E-02   -0.17282E-05
    18    0.90882E+03    0.50243E-02    0.00000E+00    0.13402E+01    0.13659E-06    0.18967E-02   -0.20848E-05
    19    0.92163E+03    0.54636E-02    0.00000E+00    0.14029E+01    0.13826E-06    0.18369E-02   -0.21108E-05
    20    0.93434E+03    0.59951E-02    0.00000E+00    0.14554E+01    0.13974E-06    0.17799E-02   -0.19477E-05
    21    0.94731E+03    0.66522E-02    0.00000E+00    0.15033E+01    0.14104E-06    0.17252E-02   -0.16088E-05
    22    0.96082E+03    0.75353E-02    0.00000E+00    0.15521E+01    0.14219E-06    0.16726E-02   -0.11061E-05
    23    0.97470E+03    0.86621E-02    0.00000E+00    0.16028E+01    0.14320E-06    0.16223E-02   -0.57428E-06
    24    0.98901E+03    0.99982E-02    0.00000E+00    0.16550E+01    0.14408E-06    0.15747E-02   -0.16479E-06
    25    0.10037E+04    0.11556E-01    0.00000E+00    0.17092E+01    0.14484E-06    0.15297E-02    0.20263E-07
    26    0.10185E+04    0.13317E-01    0.00000E+00    0.17664E+01    0.14548E-06    0.14872E-02   -0.64530E-07
    27    0.10338E+04    0.15250E-01    0.00000E+00    0.18232E+01    0.14602E-06    0.14466E-02   -0.28905E-06
    28    0.10494E+04    0.17357E-01    0.00000E+00    0.18766E+01    0.14648E-06    0.14075E-02   -0.50594E-06
    29    0.10653E+04    0.19648E-01    0.00000E+00    0.19249E+01    0.14684E-06    0.13702E-02   -0.66997E-06
    30    0.10814E+04    0.22141E-01    0.00000E+00    0.19654E+01    0.14710E-06    0.13348E-02   -0.77446E-06
    31    0.10976E+04    0.24829E-01    0.00000E+00    0.19971E+01    0.14729E-06    0.13011E-02   -0.86502E-06
    32    0.11142E+04    0.27696E-01    0.00000E+00    0.20188E+01    0.14741E-06    0.12686E-02   -0.97857E-06
    33    0.11312E+04    0.30753E-01    0.00000E+00    0.20281E+01    0.14747E-06    0.12371E-02   -0.10664E-05
    34    0.11483E+04    0.34030E-01    0.00000E+00    0.20242E+01    0.14746E-06    0.12063E-02   -0.10667E-05
    35    0.11656E+04    0.37551E-01    0.00000E+00    0.20113E+01    0.14740E-06    0.11763E-02   -0.94912E-06
    36    0.11830E+04    0.41335E-01    0.00000E+00    0.19924E+01    0.14729E-06    0.11472E-02   -0.71722E-06
    37    0.12004E+04    0.45367E-01    0.00000E+00    0.19639E+01    0.14713E-06    0.11194E-02   -0.47678E-06
    38    0.12183E+04    0.49635E-01    0.00000E+00    0.19239E+01    0.14692E-06    0.10935E-02   -0.32946E-06
    39    0.12366E+04    0.54151E-01    0.00000E+00    0.18732E+01    0.14668E-06    0.10691E-02   -0.25962E-06
    40    0.12549E+04    0.58934E-01    0.00000E+00    0.18137E+01    0.14639E-06    0.10456E-02   -0.22249E-06
    41    0.12736E+04    0.64009E-01    0.00000E+00    0.17461E+01    0.14606E-06    0.10227E-02   -0.18215E-06
