#    L    TT             EE             TE             PP             TP          
     2    0.10246E+04    0.42842E-01    0.30527E+01    0.10544E+07    0.28567E+05
     3    0.96974E+03    0.67082E-01    0.37214E+01    0.16269E+07    0.34222E+05
     4    0.91532E+03    0.72265E-01    0.37571E+01    0.21355E+07    0.36943E+05
     5    0.87315E+03    0.61255E-01    0.34323E+01    0.25852E+07    0.38065E+05
     6    0.84303E+03    0.43190E-01    0.29509E+01    0.29828E+07    0.38308E+05
     7    0.82290E+03    0.26396E-01    0.24401E+01    0.33360E+07    0.38060E+05
     8    0.81011E+03    0.15023E-01    0.19748E+01    0.36509E+07    0.37486E+05
     9    0.80303E+03    0.92102E-02    0.15898E+01    0.39329E+07    0.36679E+05
    10    0.80039E+03    0.70078E-02    0.13014E+01    0.41858E+07    0.35739E+05
    11    0.80083E+03    0.62856E-02    0.11122E+01    0.44142E+07    0.34782E+05
    12    0.80468E+03    0.58272E-02    0.10162E+01    0.46198E+07    0.33865E+05
    13    0.81026E+03    0.51119E-02    0.99028E+00    0.48050E+07    0.32992E+05
    14    0.81670E+03    0.44890E-02    0.10082E+01    0.49726E+07    0.32151E+05
    15    0.82436E+03    0.41279E-02    0.10544E+01    0.51243E+07    0.31313E+05
    16    0.83368E+03    0.40822E-02    0.11173E+01    0.52616E+07    0.30457E+05
    17    0.84462E+03    0.43430E-02    0.11858E+01    0.53859E+07    0.29610E+05
    18    0.85622E+03    0.47092E-02    0.12516E+01    0.54987E+07    0.28800E+05
    19    0.86935E+03    0.51224E-02    0.13114E+01    0.56007E+07    0.28024E+05
    20    0.88233E+03    0.56234E-02    0.13615E+01    0.56924E+07    0.27272E+05
    21    0.89553E+03    0.62415E-02    0.14072E+01    0.57751E+07    0.26539E+05
    22    0.90924E+03    0.70732E-02    0.14539E+01    0.58497E+07    0.25823E+05
    23    0.92328E+03    0.81359E-02    0.15023E+01    0.59169E+07    0.25130E+05
    24    0.93770E+03    0.93962E-02    0.15522E+01    0.59769E+07    0.24467E+05
    25    0.95245E+03    0.10867E-01    0.16040E+01    0.60305E+07    0.23836E+05
    26    0.96737E+03    0.12531E-01    0.16586E+01    0.60783E+07    0.23235E+05
    27    0.98268E+03    0.14360E-01    0.17128E+01    0.61207E+07    0.22656E+05
    28    0.99824E+03    0.16354E-01    0.17639E+01    0.61581E+07    0.22096E+05
    29    0.10141E+04    0.18523E-01    0.18102E+01    0.61907E+07    0.21556E+05
    30    0.10302E+04    0.20886E-01    0.18492E+01    0.62184E+07    0.21042E+05
    31    0.10463E+04    0.23436E-01    0.18797E+01    0.62419E+07    0.20550E+05
    32    0.10628E+04    0.26157E-01    0.19009E+01    0.62617E+07    0.20072E+05
    33    0.10797E+04    0.29061E-01    0.19103E+01    0.62781E+07    0.19607E+05
    34    0.10967E+04    0.32175E-01    0.19071E+01    0.62912E+07    0.19150E+05
    35    0.11139E+04    0.35522E-01    0.18954E+01    0.63012E+07    0.18703E+05
    36    0.11311E+04    0.39122E-01    0.18780E+01    0.63084E+07    0.18266E+05
    37    0.11484E+04    0.42961E-01    0.18515E+01    0.63130E+07    0.17849E+05
    38    0.11661E+04    0.47026E-01    0.18139E+01    0.63151E+07    0.17458E+05
    39    0.11841E+04    0.51329E-01    0.17663E+01    0.63149E+07    0.17090E+05
    40    0.12023E+04    0.55890E-01    0.17101E+01    0.63124E+07    0.16734E+05
    41    0.12207E+04    0.60730E-01    0.16463E+01    0.63079E+07    0.16385E+05
    42    0.12391E+04    0.65852E-01    0.15732E+01    0.63014E+07    0.16043E+05
    43    0.12576E+04    0.71257E-01    0.14887E+01    0.62931E+07    0.15708E+05
    44    0.12761E+04    0.76929E-01    0.13914E+01    0.62830E+07    0.15381E+05
    45    0.12949E+04    0.82863E-01    0.12803E+01    0.62714E+07    0.15065E+05
    46    0.13140E+04    0.89057E-01    0.11527E+01    0.62584E+07    0.14759E+05
    47    0.13333E+04    0.95513E-01    0.10101E+01    0.62440E+07    0.14464E+05
    48    0.13526E+04    0.10224E+00    0.85782E+00    0.62283E+07    0.14175E+05
    49    0.13721E+04    0.10923E+00    0.70047E+00    0.62114E+07    0.13893E+05
    50    0.13919E+04    0.11646E+00    0.53593E+00    0.61935E+07    0.13616E+05
    51    0.14119E+04    0.12390E+00    0.36034E+00    0.61745E+07    0.13341E+05
    52    0.14323E+04    0.13164E+00    0.16862E+00    0.61546E+07    0.13071E+05
    53    0.14526E+04    0.13982E+00   -0.42793E-01    0.61338E+07    0.12808E+05
    54    0.14729E+04    0.14844E+00   -0.26948E+00    0.61122E+07    0.12554E+05
    55    0.14934E+04    0.15746E+00   -0.50691E+00    0.60898E+07    0.12310E+05
    56    0.15141E+04    0.16674E+00   -0.75670E+00    0.60667E+07    0.12080E+05
    57    0.15352E+04    0.17617E+00   -0.10188E+01    0.60429E+07    0.11860E+05
    58    0.15566E+04    0.18576E+00   -0.12938E+01    0.60185E+07    0.11650E+05
    59    0.15781E+04    0.19556E+00   -0.15827E+01    0.59934E+07    0.11447E+05
    60    0.15997E+04    0.20561E+00   -0.18845E+01    0.59678E+07    0.11249E+05
    61    0.16219E+04    0.21602E+00   -0.21986E+01    0.59416E+07    0.11055E+05
    62    0.16439E+04    0.22676E+00   -0.25257E+01    0.59149E+07    0.10863E+05
    63    0.16660E+04    0.23781E+00   -0.28669E+01    0.58878E+07    0.10674E+05
    64    0.16885E+04    0.24916E+00   -0.32233E+01    0.58603E+07    0.10486E+05
    65    0.17110E+04    0.26079E+00   -0.35956E+01    0.58324E+07    0.10298E+05
    66    0.17339E+04    0.27265E+00   -0.39817E+01    0.58042E+07    0.10111E+05
    67    0.17569E+04    0.28472E+00   -0.43791E+01    0.57758E+07    0.99252E+04
    68    0.17804E+04    0.29704E+00   -0.47861E+01    0.57472E+07    0.97429E+04
    69    0.18040E+04    0.30958E+00   -0.52010E+01    0.57183E+07    0.95656E+04
    70    0.18279E+04    0.32238E+00   -0.56256E+01    0.56893E+07    0.93953E+04
    71    0.18520E+04    0.33542E+00   -0.60622E+01    0.56601E+07    0.92331E+04
    72    0.18762E+04    0.34867E+00   -0.65124E+01    0.56307E+07    0.90784E+04
    73    0.19006E+04    0.36211E+00   -0.69765E+01    0.56012E+07    0.89303E+04
    74    0.19252E+04    0.37572E+00   -0.74537E+01    0.55715E+07    0.87876E+04
    75    0.19501E+04    0.38951E+00   -0.79426E+01    0.55417E+07    0.86493E+04
    76    0.19753E+04    0.40349E+00   -0.84424E+01    0.55118E+07    0.85144E+04
