#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10655E+04    0.43441E-01    0.00000E+00    0.31666E+01    0.52674E-07    0.31203E-02   -0.14808E-04
     3    0.10085E+04    0.69004E-01    0.00000E+00    0.38730E+01    0.64061E-07    0.31293E-02   -0.17822E-04
     4    0.95170E+03    0.75576E-01    0.00000E+00    0.39273E+01    0.73778E-07    0.30631E-02   -0.17641E-04
     5    0.90741E+03    0.65283E-01    0.00000E+00    0.36055E+01    0.82204E-07    0.29660E-02   -0.15228E-04
     6    0.87546E+03    0.46992E-01    0.00000E+00    0.31164E+01    0.89554E-07    0.28595E-02   -0.11467E-04
     7    0.85378E+03    0.29285E-01    0.00000E+00    0.25910E+01    0.96023E-07    0.27530E-02   -0.71788E-05
     8    0.83969E+03    0.16827E-01    0.00000E+00    0.21077E+01    0.10175E-06    0.26468E-02   -0.30910E-05
     9    0.83151E+03    0.10182E-01    0.00000E+00    0.17034E+01    0.10684E-06    0.25409E-02    0.22293E-06
    10    0.82794E+03    0.75569E-02    0.00000E+00    0.13955E+01    0.11137E-06    0.24377E-02    0.24560E-05
    11    0.82760E+03    0.67327E-02    0.00000E+00    0.11882E+01    0.11545E-06    0.23422E-02    0.35950E-05
    12    0.83079E+03    0.62939E-02    0.00000E+00    0.10775E+01    0.11909E-06    0.22557E-02    0.37867E-05
    13    0.83581E+03    0.55936E-02    0.00000E+00    0.10413E+01    0.12235E-06    0.21770E-02    0.32026E-05
    14    0.84173E+03    0.49079E-02    0.00000E+00    0.10533E+01    0.12527E-06    0.21044E-02    0.20445E-05
    15    0.84893E+03    0.44491E-02    0.00000E+00    0.10973E+01    0.12789E-06    0.20354E-02    0.66350E-06
    16    0.85789E+03    0.43324E-02    0.00000E+00    0.11606E+01    0.13024E-06    0.19680E-02   -0.59230E-06
    17    0.86851E+03    0.45671E-02    0.00000E+00    0.12315E+01    0.13235E-06    0.19031E-02   -0.15123E-05
    18    0.87984E+03    0.49521E-02    0.00000E+00    0.13011E+01    0.13424E-06    0.18422E-02   -0.19784E-05
    19    0.89271E+03    0.53986E-02    0.00000E+00    0.13650E+01    0.13593E-06    0.17849E-02   -0.21011E-05
    20    0.90546E+03    0.59165E-02    0.00000E+00    0.14184E+01    0.13743E-06    0.17304E-02   -0.20160E-05
    21    0.91843E+03    0.65331E-02    0.00000E+00    0.14661E+01    0.13875E-06    0.16782E-02   -0.17401E-05
    22    0.93193E+03    0.73519E-02    0.00000E+00    0.15128E+01    0.13993E-06    0.16278E-02   -0.12852E-05
    23    0.94576E+03    0.84038E-02    0.00000E+00    0.15603E+01    0.14096E-06    0.15795E-02   -0.75882E-06
    24    0.95998E+03    0.96681E-02    0.00000E+00    0.16092E+01    0.14186E-06    0.15336E-02   -0.29120E-06
    25    0.97455E+03    0.11159E-01    0.00000E+00    0.16599E+01    0.14265E-06    0.14902E-02   -0.12054E-07
    26    0.98929E+03    0.12857E-01    0.00000E+00    0.17133E+01    0.14332E-06    0.14492E-02   -0.43784E-08
    27    0.10044E+04    0.14729E-01    0.00000E+00    0.17669E+01    0.14389E-06    0.14101E-02   -0.16746E-06
    28    0.10198E+04    0.16772E-01    0.00000E+00    0.18184E+01    0.14437E-06    0.13725E-02   -0.37175E-06
    29    0.10355E+04    0.18997E-01    0.00000E+00    0.18660E+01    0.14476E-06    0.13366E-02   -0.55200E-06
    30    0.10514E+04    0.21422E-01    0.00000E+00    0.19068E+01    0.14506E-06    0.13025E-02   -0.67709E-06
    31    0.10674E+04    0.24042E-01    0.00000E+00    0.19396E+01    0.14528E-06    0.12700E-02   -0.78742E-06
    32    0.10838E+04    0.26840E-01    0.00000E+00    0.19635E+01    0.14543E-06    0.12387E-02   -0.92130E-06
    33    0.11005E+04    0.29821E-01    0.00000E+00    0.19753E+01    0.14552E-06    0.12085E-02   -0.10385E-05
    34    0.11173E+04    0.33007E-01    0.00000E+00    0.19739E+01    0.14555E-06    0.11791E-02   -0.10826E-05
    35    0.11343E+04    0.36426E-01    0.00000E+00    0.19630E+01    0.14552E-06    0.11502E-02   -0.10096E-05
