#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10807E+04    0.46803E-01    0.00000E+00    0.32591E+01    0.52285E-07    0.32097E-02   -0.15371E-04
     3    0.10195E+04    0.71794E-01    0.00000E+00    0.39426E+01    0.63621E-07    0.32130E-02   -0.18178E-04
     4    0.95971E+03    0.75766E-01    0.00000E+00    0.39534E+01    0.73299E-07    0.31408E-02   -0.17600E-04
     5    0.91349E+03    0.62839E-01    0.00000E+00    0.35869E+01    0.81693E-07    0.30377E-02   -0.14746E-04
     6    0.88039E+03    0.43315E-01    0.00000E+00    0.30614E+01    0.89017E-07    0.29255E-02   -0.10615E-04
     7    0.85808E+03    0.25935E-01    0.00000E+00    0.25124E+01    0.95463E-07    0.28144E-02   -0.61247E-05
     8    0.84366E+03    0.14623E-01    0.00000E+00    0.20183E+01    0.10117E-06    0.27045E-02   -0.20566E-05
     9    0.83532E+03    0.90766E-02    0.00000E+00    0.16152E+01    0.10624E-06    0.25954E-02    0.10394E-05
    10    0.83170E+03    0.70391E-02    0.00000E+00    0.13189E+01    0.11076E-06    0.24892E-02    0.29433E-05
    11    0.83133E+03    0.63166E-02    0.00000E+00    0.11294E+01    0.11483E-06    0.23910E-02    0.37227E-05
    12    0.83457E+03    0.57880E-02    0.00000E+00    0.10374E+01    0.11846E-06    0.23027E-02    0.35588E-05
    13    0.83968E+03    0.50210E-02    0.00000E+00    0.10169E+01    0.12170E-06    0.22225E-02    0.26778E-05
    14    0.84572E+03    0.44212E-02    0.00000E+00    0.10396E+01    0.12461E-06    0.21483E-02    0.13422E-05
    15    0.85304E+03    0.41217E-02    0.00000E+00    0.10894E+01    0.12722E-06    0.20772E-02   -0.45839E-07
    16    0.86211E+03    0.41258E-02    0.00000E+00    0.11544E+01    0.12956E-06    0.20074E-02   -0.11207E-05
    17    0.87288E+03    0.44099E-02    0.00000E+00    0.12237E+01    0.13166E-06    0.19403E-02   -0.17776E-05
    18    0.88440E+03    0.47737E-02    0.00000E+00    0.12890E+01    0.13355E-06    0.18776E-02   -0.20101E-05
    19    0.89749E+03    0.51843E-02    0.00000E+00    0.13478E+01    0.13523E-06    0.18186E-02   -0.19503E-05
    20    0.91045E+03    0.57080E-02    0.00000E+00    0.13974E+01    0.13671E-06    0.17622E-02   -0.17316E-05
    21    0.92366E+03    0.63736E-02    0.00000E+00    0.14439E+01    0.13803E-06    0.17081E-02   -0.13647E-05
    22    0.93740E+03    0.72694E-02    0.00000E+00    0.14931E+01    0.13919E-06    0.16560E-02   -0.86378E-06
    23    0.95150E+03    0.84018E-02    0.00000E+00    0.15449E+01    0.14022E-06    0.16064E-02   -0.37578E-06
    24    0.96601E+03    0.97279E-02    0.00000E+00    0.15982E+01    0.14111E-06    0.15596E-02   -0.56996E-07
    25    0.98088E+03    0.11261E-01    0.00000E+00    0.16534E+01    0.14189E-06    0.15153E-02    0.27007E-07
    26    0.99592E+03    0.12984E-01    0.00000E+00    0.17114E+01    0.14255E-06    0.14733E-02   -0.12932E-06
    27    0.10114E+04    0.14871E-01    0.00000E+00    0.17684E+01    0.14311E-06    0.14332E-02   -0.38252E-06
    28    0.10271E+04    0.16926E-01    0.00000E+00    0.18209E+01    0.14359E-06    0.13945E-02   -0.58462E-06
