#    L    TT             EE             TE             PP             TP          
     2    0.11089E+04    0.46165E-01    0.32634E+01    0.10692E+07    0.30668E+05
     3    0.10405E+04    0.71326E-01    0.39553E+01    0.16469E+07    0.36616E+05
     4    0.97561E+03    0.75760E-01    0.39648E+01    0.21588E+07    0.39447E+05
     5    0.92580E+03    0.63261E-01    0.35963E+01    0.26106E+07    0.40581E+05
     6    0.89014E+03    0.43913E-01    0.30716E+01    0.30093E+07    0.40777E+05
     7    0.86597E+03    0.26463E-01    0.25253E+01    0.33628E+07    0.40449E+05
     8    0.85015E+03    0.14974E-01    0.20339E+01    0.36773E+07    0.39773E+05
     9    0.84080E+03    0.92792E-02    0.16318E+01    0.39585E+07    0.38858E+05
    10    0.83644E+03    0.71775E-02    0.13341E+01    0.42102E+07    0.37810E+05
    11    0.83553E+03    0.64530E-02    0.11418E+01    0.44371E+07    0.36754E+05
    12    0.83836E+03    0.59331E-02    0.10472E+01    0.46409E+07    0.35749E+05
    13    0.84315E+03    0.51602E-02    0.10247E+01    0.48242E+07    0.34795E+05
    14    0.84893E+03    0.45298E-02    0.10458E+01    0.49898E+07    0.33878E+05
    15    0.85604E+03    0.41941E-02    0.10946E+01    0.51393E+07    0.32966E+05
    16    0.86494E+03    0.41774E-02    0.11589E+01    0.52743E+07    0.32037E+05
    17    0.87557E+03    0.44572E-02    0.12279E+01    0.53962E+07    0.31118E+05
    18    0.88697E+03    0.48276E-02    0.12937E+01    0.55066E+07    0.30241E+05
    19    0.89997E+03    0.52453E-02    0.13530E+01    0.56061E+07    0.29402E+05
    20    0.91288E+03    0.57678E-02    0.14026E+01    0.56954E+07    0.28591E+05
    21    0.92605E+03    0.64263E-02    0.14483E+01    0.57756E+07    0.27803E+05
    22    0.93977E+03    0.73142E-02    0.14960E+01    0.58477E+07    0.27035E+05
    23    0.95386E+03    0.84401E-02    0.15462E+01    0.59124E+07    0.26293E+05
    24    0.96836E+03    0.97627E-02    0.15983E+01    0.59700E+07    0.25585E+05
    25    0.98324E+03    0.11296E-01    0.16522E+01    0.60212E+07    0.24910E+05
    26    0.99830E+03    0.13023E-01    0.17087E+01    0.60665E+07    0.24268E+05
    27    0.10138E+04    0.14917E-01    0.17643E+01    0.61065E+07    0.23651E+05
    28    0.10296E+04    0.16979E-01    0.18160E+01    0.61415E+07    0.23053E+05
    29    0.10457E+04    0.19220E-01    0.18621E+01    0.61716E+07    0.22479E+05
    30    0.10620E+04    0.21656E-01    0.19000E+01    0.61970E+07    0.21931E+05
    31    0.10785E+04    0.24284E-01    0.19289E+01    0.62182E+07    0.21405E+05
    32    0.10953E+04    0.27089E-01    0.19480E+01    0.62357E+07    0.20897E+05
    33    0.11124E+04    0.30083E-01    0.19550E+01    0.62499E+07    0.20401E+05
    34    0.11298E+04    0.33296E-01    0.19491E+01    0.62608E+07    0.19915E+05
    35    0.11473E+04    0.36750E-01    0.19346E+01    0.62687E+07    0.19440E+05
    36    0.11649E+04    0.40467E-01    0.19145E+01    0.62737E+07    0.18978E+05
    37    0.11826E+04    0.44429E-01    0.18854E+01    0.62762E+07    0.18536E+05
    38    0.12007E+04    0.48622E-01    0.18452E+01    0.62763E+07    0.18123E+05
    39    0.12192E+04    0.53056E-01    0.17946E+01    0.62741E+07    0.17733E+05
    40    0.12378E+04    0.57754E-01    0.17350E+01    0.62697E+07    0.17357E+05
    41    0.12566E+04    0.62737E-01    0.16669E+01    0.62632E+07    0.16989E+05
    42    0.12755E+04    0.68010E-01    0.15888E+01    0.62548E+07    0.16627E+05
    43    0.12944E+04    0.73571E-01    0.14988E+01    0.62446E+07    0.16272E+05
    44    0.13134E+04    0.79405E-01    0.13956E+01    0.62328E+07    0.15928E+05
    45    0.13327E+04    0.85507E-01    0.12783E+01    0.62194E+07    0.15593E+05
    46    0.13524E+04    0.91874E-01    0.11443E+01    0.62046E+07    0.15270E+05
    47    0.13721E+04    0.98510E-01    0.99517E+00    0.61885E+07    0.14958E+05
    48    0.13920E+04    0.10542E+00    0.83609E+00    0.61712E+07    0.14653E+05
    49    0.14120E+04    0.11260E+00    0.67163E+00    0.61527E+07    0.14356E+05
    50    0.14324E+04    0.12003E+00    0.49960E+00    0.61332E+07    0.14063E+05
    51    0.14529E+04    0.12768E+00    0.31610E+00    0.61127E+07    0.13775E+05
    52    0.14739E+04    0.13563E+00    0.11602E+00    0.60913E+07    0.13491E+05
    53    0.14949E+04    0.14403E+00   -0.10417E+00    0.60690E+07    0.13215E+05
    54    0.15158E+04    0.15286E+00   -0.34005E+00    0.60460E+07    0.12949E+05
    55    0.15368E+04    0.16211E+00   -0.58708E+00    0.60222E+07    0.12694E+05
    56    0.15582E+04    0.17163E+00   -0.84686E+00    0.59977E+07    0.12452E+05
    57    0.15798E+04    0.18130E+00   -0.11193E+01    0.59726E+07    0.12221E+05
    58    0.16018E+04    0.19114E+00   -0.14051E+01    0.59468E+07    0.12000E+05
    59    0.16240E+04    0.20118E+00   -0.17049E+01    0.59205E+07    0.11787E+05
    60    0.16463E+04    0.21149E+00   -0.20181E+01    0.58936E+07    0.11580E+05
    61    0.16690E+04    0.22215E+00   -0.23437E+01    0.58662E+07    0.11376E+05
    62    0.16917E+04    0.23316E+00   -0.26827E+01    0.58383E+07    0.11175E+05
    63    0.17145E+04    0.24446E+00   -0.30360E+01    0.58101E+07    0.10977E+05
    64    0.17377E+04    0.25608E+00   -0.34048E+01    0.57814E+07    0.10780E+05
    65    0.17609E+04    0.26798E+00   -0.37895E+01    0.57525E+07    0.10584E+05
    66    0.17844E+04    0.28011E+00   -0.41884E+01    0.57233E+07    0.10389E+05
    67    0.18081E+04    0.29246E+00   -0.45987E+01    0.56938E+07    0.10195E+05
    68    0.18323E+04    0.30506E+00   -0.50189E+01    0.56642E+07    0.10004E+05
    69    0.18566E+04    0.31789E+00   -0.54472E+01    0.56343E+07    0.98192E+04
    70    0.18813E+04    0.33097E+00   -0.58854E+01    0.56044E+07    0.96413E+04
    71    0.19060E+04    0.34430E+00   -0.63360E+01    0.55742E+07    0.94720E+04
    72    0.19310E+04    0.35784E+00   -0.68003E+01    0.55440E+07    0.93107E+04
    73    0.19561E+04    0.37157E+00   -0.72788E+01    0.55136E+07    0.91561E+04
    74    0.19815E+04    0.38547E+00   -0.77706E+01    0.54831E+07    0.90073E+04
    75    0.20071E+04    0.39955E+00   -0.82743E+01    0.54524E+07    0.88631E+04
    76    0.20330E+04    0.41382E+00   -0.87891E+01    0.54217E+07    0.87224E+04
    77    0.20593E+04    0.42826E+00   -0.93148E+01    0.53909E+07    0.85846E+04
    78    0.20860E+04    0.44290E+00   -0.98527E+01    0.53600E+07    0.84489E+04
    79    0.21128E+04    0.45769E+00   -0.10399E+02    0.53291E+07    0.83145E+04
    80    0.21399E+04    0.47262E+00   -0.10955E+02    0.52981E+07    0.81808E+04
    81    0.21672E+04    0.48765E+00   -0.11522E+02    0.52671E+07    0.80474E+04
    82    0.21948E+04    0.50280E+00   -0.12098E+02    0.52362E+07    0.79145E+04
    83    0.22226E+04    0.51804E+00   -0.12682E+02    0.52052E+07    0.77830E+04
    84    0.22506E+04    0.53337E+00   -0.13274E+02    0.51743E+07    0.76535E+04
    85    0.22787E+04    0.54876E+00   -0.13874E+02    0.51435E+07    0.75266E+04
    86    0.23071E+04    0.56423E+00   -0.14481E+02    0.51127E+07    0.74030E+04
    87    0.23359E+04    0.57973E+00   -0.15094E+02    0.50820E+07    0.72826E+04
    88    0.23647E+04    0.59530E+00   -0.15714E+02    0.50514E+07    0.71653E+04
    89    0.23938E+04    0.61090E+00   -0.16341E+02    0.50209E+07    0.70509E+04
    90    0.24232E+04    0.62651E+00   -0.16974E+02    0.49904E+07    0.69393E+04
    91    0.24527E+04    0.64211E+00   -0.17611E+02    0.49601E+07    0.68304E+04
    92    0.24825E+04    0.65769E+00   -0.18254E+02    0.49299E+07    0.67240E+04
    93    0.25126E+04    0.67325E+00   -0.18902E+02    0.48998E+07    0.66202E+04
    94    0.25428E+04    0.68874E+00   -0.19553E+02    0.48698E+07    0.65188E+04
    95    0.25732E+04    0.70416E+00   -0.20209E+02    0.48400E+07    0.64197E+04
    96    0.26037E+04    0.71951E+00   -0.20868E+02    0.48103E+07    0.63228E+04
    97    0.26346E+04    0.73476E+00   -0.21529E+02    0.47807E+07    0.62282E+04
    98    0.26657E+04    0.74990E+00   -0.22192E+02    0.47512E+07    0.61356E+04
    99    0.26969E+04    0.76491E+00   -0.22857E+02    0.47219E+07    0.60450E+04
   100    0.27284E+04    0.77977E+00   -0.23522E+02    0.46927E+07    0.59563E+04
