#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.11089E+04    0.46165E-01    0.00000E+00    0.32634E+01    0.51544E-07    0.32900E-02   -0.15227E-04
     3    0.10405E+04    0.71326E-01    0.00000E+00    0.39553E+01    0.62728E-07    0.32920E-02   -0.18083E-04
     4    0.97561E+03    0.75760E-01    0.00000E+00    0.39648E+01    0.72271E-07    0.32192E-02   -0.17575E-04
     5    0.92580E+03    0.63261E-01    0.00000E+00    0.35963E+01    0.80545E-07    0.31150E-02   -0.14794E-04
     6    0.89014E+03    0.43913E-01    0.00000E+00    0.30716E+01    0.87759E-07    0.30006E-02   -0.10720E-04
     7    0.86597E+03    0.26463E-01    0.00000E+00    0.25253E+01    0.94105E-07    0.28858E-02   -0.62551E-05
     8    0.85015E+03    0.14974E-01    0.00000E+00    0.20339E+01    0.99716E-07    0.27714E-02   -0.21687E-05
     9    0.84080E+03    0.92792E-02    0.00000E+00    0.16318E+01    0.10471E-06    0.26576E-02    0.97667E-06
    10    0.83644E+03    0.71775E-02    0.00000E+00    0.13341E+01    0.10915E-06    0.25472E-02    0.29348E-05
    11    0.83553E+03    0.64530E-02    0.00000E+00    0.11418E+01    0.11314E-06    0.24455E-02    0.37617E-05
    12    0.83836E+03    0.59331E-02    0.00000E+00    0.10472E+01    0.11670E-06    0.23538E-02    0.36501E-05
    13    0.84315E+03    0.51602E-02    0.00000E+00    0.10247E+01    0.11987E-06    0.22707E-02    0.28164E-05
    14    0.84893E+03    0.45298E-02    0.00000E+00    0.10458E+01    0.12273E-06    0.21940E-02    0.15059E-05
    15    0.85604E+03    0.41941E-02    0.00000E+00    0.10946E+01    0.12528E-06    0.21207E-02    0.10387E-06
    16    0.86494E+03    0.41774E-02    0.00000E+00    0.11589E+01    0.12757E-06    0.20489E-02   -0.10297E-05
    17    0.87557E+03    0.44572E-02    0.00000E+00    0.12279E+01    0.12962E-06    0.19798E-02   -0.17501E-05
