#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10487E+04    0.44115E-01    0.00000E+00    0.32503E+01    0.53414E-07    0.30049E-02   -0.14962E-04
     3    0.99516E+03    0.69515E-01    0.00000E+00    0.39353E+01    0.64955E-07    0.30263E-02   -0.17925E-04
     4    0.94080E+03    0.75576E-01    0.00000E+00    0.39636E+01    0.74805E-07    0.29704E-02   -0.17667E-04
     5    0.89832E+03    0.64776E-01    0.00000E+00    0.36196E+01    0.83351E-07    0.28818E-02   -0.15172E-04
     6    0.86776E+03    0.46245E-01    0.00000E+00    0.31146E+01    0.90811E-07    0.27821E-02   -0.11341E-04
     7    0.84716E+03    0.28595E-01    0.00000E+00    0.25794E+01    0.97379E-07    0.26813E-02   -0.70145E-05
     8    0.83395E+03    0.16349E-01    0.00000E+00    0.20907E+01    0.10319E-06    0.25798E-02   -0.29361E-05
     9    0.82649E+03    0.99076E-02    0.00000E+00    0.16845E+01    0.10837E-06    0.24779E-02    0.32834E-06
    10    0.82350E+03    0.73907E-02    0.00000E+00    0.13777E+01    0.11299E-06    0.23781E-02    0.24991E-05
    11    0.82363E+03    0.65846E-02    0.00000E+00    0.11732E+01    0.11714E-06    0.22858E-02    0.35804E-05
    12    0.82724E+03    0.61306E-02    0.00000E+00    0.10656E+01    0.12085E-06    0.22025E-02    0.37103E-05
    13    0.83258E+03    0.54235E-02    0.00000E+00    0.10321E+01    0.12417E-06    0.21270E-02    0.30656E-05
    14    0.83876E+03    0.47644E-02    0.00000E+00    0.10460E+01    0.12715E-06    0.20573E-02    0.18622E-05
    15    0.84616E+03    0.43476E-02    0.00000E+00    0.10914E+01    0.12983E-06    0.19907E-02    0.47747E-06
    16    0.85528E+03    0.42638E-02    0.00000E+00    0.11556E+01    0.13223E-06    0.19252E-02   -0.72559E-06
    17    0.86603E+03    0.45135E-02    0.00000E+00    0.12268E+01    0.13439E-06    0.18622E-02   -0.15761E-05
    18    0.87748E+03    0.48946E-02    0.00000E+00    0.12961E+01    0.13633E-06    0.18033E-02   -0.19972E-05
    19    0.89043E+03    0.53304E-02    0.00000E+00    0.13593E+01    0.13806E-06    0.17478E-02   -0.20956E-05
    20    0.90324E+03    0.58441E-02    0.00000E+00    0.14123E+01    0.13960E-06    0.16949E-02   -0.19927E-05
    21    0.91626E+03    0.64646E-02    0.00000E+00    0.14603E+01    0.14096E-06    0.16441E-02   -0.16945E-05
    22    0.92979E+03    0.72931E-02    0.00000E+00    0.15083E+01    0.14217E-06    0.15950E-02   -0.12102E-05
    23    0.94364E+03    0.83561E-02    0.00000E+00    0.15574E+01    0.14324E-06    0.15481E-02   -0.67444E-06
    24    0.95788E+03    0.96281E-02    0.00000E+00    0.16076E+01    0.14418E-06    0.15036E-02   -0.24035E-06
    25    0.97245E+03    0.11122E-01    0.00000E+00    0.16597E+01    0.14499E-06    0.14615E-02   -0.15189E-07
    26    0.98718E+03    0.12817E-01    0.00000E+00    0.17149E+01    0.14569E-06    0.14216E-02   -0.51791E-07
    27    0.10023E+04    0.14684E-01    0.00000E+00    0.17702E+01    0.14629E-06    0.13835E-02   -0.23299E-06
    28    0.10177E+04    0.16721E-01    0.00000E+00    0.18228E+01    0.14680E-06    0.13469E-02   -0.42356E-06
    29    0.10333E+04    0.18939E-01    0.00000E+00    0.18710E+01    0.14721E-06    0.13119E-02   -0.58184E-06
    30    0.10492E+04    0.21355E-01    0.00000E+00    0.19124E+01    0.14753E-06    0.12788E-02   -0.70056E-06
    31    0.10652E+04    0.23964E-01    0.00000E+00    0.19456E+01    0.14777E-06    0.12472E-02   -0.81647E-06
    32    0.10815E+04    0.26746E-01    0.00000E+00    0.19693E+01    0.14794E-06    0.12167E-02   -0.95672E-06
    33    0.10981E+04    0.29712E-01    0.00000E+00    0.19810E+01    0.14805E-06    0.11871E-02   -0.10671E-05
    34    0.11149E+04    0.32892E-01    0.00000E+00    0.19798E+01    0.14810E-06    0.11582E-02   -0.10826E-05
    35    0.11319E+04    0.36304E-01    0.00000E+00    0.19698E+01    0.14809E-06    0.11300E-02   -0.97461E-06
    36    0.11489E+04    0.39970E-01    0.00000E+00    0.19537E+01    0.14802E-06    0.11025E-02   -0.74874E-06
    37    0.11660E+04    0.43877E-01    0.00000E+00    0.19279E+01    0.14791E-06    0.10764E-02   -0.51047E-06
    38    0.11835E+04    0.48017E-01    0.00000E+00    0.18905E+01    0.14775E-06    0.10519E-02   -0.36111E-06
    39    0.12013E+04    0.52399E-01    0.00000E+00    0.18427E+01    0.14755E-06    0.10288E-02   -0.28708E-06
    40    0.12193E+04    0.57043E-01    0.00000E+00    0.17866E+01    0.14730E-06    0.10066E-02   -0.24634E-06
    41    0.12375E+04    0.61972E-01    0.00000E+00    0.17230E+01    0.14702E-06    0.98488E-03   -0.20518E-06
    42    0.12556E+04    0.67187E-01    0.00000E+00    0.16504E+01    0.14670E-06    0.96357E-03   -0.16272E-06
    43    0.12739E+04    0.72690E-01    0.00000E+00    0.15665E+01    0.14634E-06    0.94278E-03   -0.12626E-06
    44    0.12922E+04    0.78463E-01    0.00000E+00    0.14698E+01    0.14596E-06    0.92259E-03   -0.10307E-06
    45    0.13108E+04    0.84502E-01    0.00000E+00    0.13590E+01    0.14555E-06    0.90309E-03   -0.10040E-06
    46    0.13297E+04    0.90805E-01    0.00000E+00    0.12314E+01    0.14510E-06    0.88431E-03   -0.12319E-06
    47    0.13487E+04    0.97375E-01    0.00000E+00    0.10886E+01    0.14464E-06    0.86617E-03   -0.16706E-06
    48    0.13678E+04    0.10422E+00    0.00000E+00    0.93589E+00    0.14415E-06    0.84856E-03   -0.22536E-06
    49    0.13871E+04    0.11133E+00    0.00000E+00    0.77793E+00    0.14364E-06    0.83135E-03   -0.29147E-06
    50    0.14067E+04    0.11868E+00    0.00000E+00    0.61268E+00    0.14311E-06    0.81442E-03   -0.35876E-06
    51    0.14264E+04    0.12625E+00    0.00000E+00    0.43632E+00    0.14257E-06    0.79769E-03   -0.42094E-06
    52    0.14466E+04    0.13412E+00    0.00000E+00    0.24376E+00    0.14201E-06    0.78126E-03   -0.47291E-06
    53    0.14667E+04    0.14244E+00    0.00000E+00    0.31407E-01    0.14143E-06    0.76524E-03   -0.50990E-06
    54    0.14868E+04    0.15119E+00    0.00000E+00   -0.19634E+00    0.14083E-06    0.74979E-03   -0.52714E-06
    55    0.15070E+04    0.16035E+00    0.00000E+00   -0.43497E+00    0.14023E-06    0.73501E-03   -0.51986E-06
    56    0.15275E+04    0.16977E+00    0.00000E+00   -0.68614E+00    0.13961E-06    0.72100E-03   -0.48566E-06
    57    0.15483E+04    0.17935E+00    0.00000E+00   -0.94974E+00    0.13898E-06    0.70769E-03   -0.43151E-06
    58    0.15695E+04    0.18910E+00    0.00000E+00   -0.12265E+01    0.13834E-06    0.69495E-03   -0.36674E-06
    59    0.15907E+04    0.19905E+00    0.00000E+00   -0.15171E+01    0.13769E-06    0.68265E-03   -0.30065E-06
    60    0.16122E+04    0.20926E+00    0.00000E+00   -0.18208E+01    0.13702E-06    0.67068E-03   -0.24251E-06
    61    0.16341E+04    0.21983E+00    0.00000E+00   -0.21369E+01    0.13635E-06    0.65893E-03   -0.19942E-06
    62    0.16558E+04    0.23074E+00    0.00000E+00   -0.24661E+01    0.13567E-06    0.64735E-03   -0.16975E-06
    63    0.16777E+04    0.24196E+00    0.00000E+00   -0.28096E+01    0.13499E-06    0.63591E-03   -0.14972E-06
    64    0.17000E+04    0.25348E+00    0.00000E+00   -0.31684E+01    0.13429E-06    0.62456E-03   -0.13553E-06
    65    0.17223E+04    0.26530E+00    0.00000E+00   -0.35433E+01    0.13360E-06    0.61328E-03   -0.12341E-06
    66    0.17449E+04    0.27733E+00    0.00000E+00   -0.39322E+01    0.13290E-06    0.60205E-03   -0.11097E-06
    67    0.17677E+04    0.28957E+00    0.00000E+00   -0.43326E+01    0.13219E-06    0.59093E-03   -0.10138E-06
    68    0.17909E+04    0.30208E+00    0.00000E+00   -0.47428E+01    0.13148E-06    0.58002E-03   -0.99183E-07
    69    0.18143E+04    0.31481E+00    0.00000E+00   -0.51610E+01    0.13077E-06    0.56940E-03   -0.10893E-06
    70    0.18380E+04    0.32779E+00    0.00000E+00   -0.55889E+01    0.13006E-06    0.55915E-03   -0.13516E-06
