#    L    TT             EE             TE             PP             TP          
     2    0.10688E+04    0.33711E-01    0.28052E+01    0.10887E+07    0.29306E+05
     3    0.10115E+04    0.45094E-01    0.31992E+01    0.16762E+07    0.34956E+05
     4    0.95649E+03    0.41270E-01    0.30517E+01    0.21968E+07    0.37574E+05
     5    0.91507E+03    0.29449E-01    0.26453E+01    0.26562E+07    0.38571E+05
     6    0.88647E+03    0.17592E-01    0.21694E+01    0.30618E+07    0.38709E+05
     7    0.86804E+03    0.96717E-02    0.17311E+01    0.34215E+07    0.38389E+05
     8    0.85673E+03    0.57783E-02    0.13814E+01    0.37417E+07    0.37768E+05
     9    0.85106E+03    0.42756E-02    0.11316E+01    0.40280E+07    0.36934E+05
    10    0.84956E+03    0.36463E-02    0.97763E+00    0.42845E+07    0.35980E+05
    11    0.85083E+03    0.31742E-02    0.90560E+00    0.45158E+07    0.35019E+05
    12    0.85546E+03    0.28763E-02    0.89807E+00    0.47237E+07    0.34100E+05
    13    0.86177E+03    0.25221E-02    0.93067E+00    0.49109E+07    0.33218E+05
    14    0.86879E+03    0.24627E-02    0.97959E+00    0.50800E+07    0.32356E+05
    15    0.87694E+03    0.26347E-02    0.10374E+01    0.52328E+07    0.31487E+05
    16    0.88675E+03    0.28784E-02    0.11013E+01    0.53710E+07    0.30593E+05
    17    0.89820E+03    0.32839E-02    0.11678E+01    0.54959E+07    0.29706E+05
    18    0.91037E+03    0.38046E-02    0.12352E+01    0.56091E+07    0.28860E+05
    19    0.92407E+03    0.44448E-02    0.13030E+01    0.57112E+07    0.28055E+05
    20    0.93761E+03    0.52642E-02    0.13692E+01    0.58030E+07    0.27285E+05
    21    0.95137E+03    0.62259E-02    0.14371E+01    0.58855E+07    0.26543E+05
    22    0.96565E+03    0.73532E-02    0.15091E+01    0.59599E+07    0.25825E+05
    23    0.98027E+03    0.86464E-02    0.15829E+01    0.60267E+07    0.25132E+05
    24    0.99531E+03    0.10074E-01    0.16553E+01    0.60863E+07    0.24467E+05
    25    0.10107E+04    0.11670E-01    0.17237E+01    0.61393E+07    0.23832E+05
    26    0.10263E+04    0.13438E-01    0.17872E+01    0.61865E+07    0.23224E+05
    27    0.10423E+04    0.15365E-01    0.18440E+01    0.62282E+07    0.22639E+05
    28    0.10586E+04    0.17461E-01    0.18935E+01    0.62648E+07    0.22070E+05
    29    0.10753E+04    0.19741E-01    0.19352E+01    0.62965E+07    0.21521E+05
    30    0.10921E+04    0.22226E-01    0.19679E+01    0.63234E+07    0.20994E+05
    31    0.11091E+04    0.24930E-01    0.19931E+01    0.63459E+07    0.20488E+05
    32    0.11264E+04    0.27850E-01    0.20118E+01    0.63648E+07    0.20000E+05
    33    0.11441E+04    0.30982E-01    0.20219E+01    0.63802E+07    0.19527E+05
    34    0.11619E+04    0.34331E-01    0.20220E+01    0.63923E+07    0.19069E+05
