#    L    TT             EE             TE             PP             TP          
     2    0.10736E+04    0.55227E-01    0.35197E+01    0.10886E+07    0.29759E+05
     3    0.10144E+04    0.95437E-01    0.44914E+01    0.16761E+07    0.35597E+05
     4    0.95456E+03    0.11415E+00    0.47199E+01    0.21966E+07    0.38401E+05
     5    0.90683E+03    0.10857E+00    0.44776E+01    0.26561E+07    0.39560E+05
     6    0.87138E+03    0.86677E-01    0.39894E+01    0.30616E+07    0.39814E+05
     7    0.84645E+03    0.59751E-01    0.34045E+01    0.34212E+07    0.39563E+05
     8    0.82957E+03    0.36613E-01    0.28198E+01    0.37414E+07    0.38974E+05
     9    0.81893E+03    0.21263E-01    0.22895E+01    0.40277E+07    0.38139E+05
    10    0.81322E+03    0.13449E-01    0.18471E+01    0.42842E+07    0.37153E+05
    11    0.81119E+03    0.10600E-01    0.15097E+01    0.45155E+07    0.36133E+05
    12    0.81296E+03    0.98996E-02    0.12856E+01    0.47234E+07    0.35144E+05
    13    0.81676E+03    0.94477E-02    0.11600E+01    0.49105E+07    0.34197E+05
    14    0.82166E+03    0.85908E-02    0.11116E+01    0.50796E+07    0.33290E+05
    15    0.82801E+03    0.75616E-02    0.11223E+01    0.52325E+07    0.32398E+05
    16    0.83623E+03    0.67379E-02    0.11750E+01    0.53706E+07    0.31502E+05
    17    0.84617E+03    0.64113E-02    0.12505E+01    0.54955E+07    0.30628E+05
    18    0.85685E+03    0.65835E-02    0.13323E+01    0.56087E+07    0.29803E+05
    19    0.86910E+03    0.70293E-02    0.14095E+01    0.57108E+07    0.29018E+05
    20    0.88126E+03    0.75554E-02    0.14720E+01    0.58026E+07    0.28255E+05
    21    0.89368E+03    0.80528E-02    0.15219E+01    0.58851E+07    0.27508E+05
    22    0.90666E+03    0.85467E-02    0.15625E+01    0.59595E+07    0.26772E+05
    23    0.91999E+03    0.91539E-02    0.15954E+01    0.60263E+07    0.26056E+05
    24    0.93373E+03    0.99698E-02    0.16225E+01    0.60858E+07    0.25367E+05
    25    0.94783E+03    0.11085E-01    0.16476E+01    0.61389E+07    0.24706E+05
    26    0.96210E+03    0.12527E-01    0.16758E+01    0.61860E+07    0.24072E+05
    27    0.97676E+03    0.14242E-01    0.17070E+01    0.62277E+07    0.23460E+05
    28    0.99166E+03    0.16188E-01    0.17413E+01    0.62644E+07    0.22868E+05
    29    0.10068E+04    0.18352E-01    0.17784E+01    0.62961E+07    0.22302E+05
    30    0.10222E+04    0.20734E-01    0.18163E+01    0.63229E+07    0.21769E+05
    31    0.10377E+04    0.23321E-01    0.18516E+01    0.63455E+07    0.21261E+05
    32    0.10535E+04    0.26093E-01    0.18810E+01    0.63643E+07    0.20772E+05
    33    0.10696E+04    0.29049E-01    0.19009E+01    0.63797E+07    0.20296E+05
    34    0.10859E+04    0.32203E-01    0.19092E+01    0.63918E+07    0.19829E+05
    35    0.11024E+04    0.35547E-01    0.19078E+01    0.64009E+07    0.19371E+05
    36    0.11189E+04    0.39079E-01    0.18971E+01    0.64070E+07    0.18925E+05
    37    0.11356E+04    0.42807E-01    0.18724E+01    0.64105E+07    0.18498E+05
    38    0.11526E+04    0.46747E-01    0.18313E+01    0.64116E+07    0.18095E+05
    39    0.11700E+04    0.50918E-01    0.17769E+01    0.64103E+07    0.17713E+05
    40    0.11875E+04    0.55349E-01    0.17134E+01    0.64067E+07    0.17341E+05
    41    0.12052E+04    0.60066E-01    0.16440E+01    0.64011E+07    0.16975E+05
    42    0.12230E+04    0.65075E-01    0.15671E+01    0.63935E+07    0.16615E+05
    43    0.12408E+04    0.70374E-01    0.14806E+01    0.63841E+07    0.16263E+05
    44    0.12586E+04    0.75951E-01    0.13830E+01    0.63729E+07    0.15921E+05
    45    0.12767E+04    0.81798E-01    0.12727E+01    0.63602E+07    0.15592E+05
    46    0.12951E+04    0.87916E-01    0.11471E+01    0.63460E+07    0.15277E+05
    47    0.13136E+04    0.94298E-01    0.10074E+01    0.63305E+07    0.14975E+05
    48    0.13322E+04    0.10095E+00    0.85886E+00    0.63137E+07    0.14681E+05
    49    0.13509E+04    0.10784E+00    0.70582E+00    0.62958E+07    0.14394E+05
    50    0.13700E+04    0.11495E+00    0.54602E+00    0.62767E+07    0.14110E+05
    51    0.13893E+04    0.12225E+00    0.37543E+00    0.62567E+07    0.13826E+05
    52    0.14089E+04    0.12982E+00    0.18875E+00    0.62357E+07    0.13546E+05
    53    0.14286E+04    0.13781E+00   -0.17763E-01    0.62138E+07    0.13272E+05
    54    0.14481E+04    0.14623E+00   -0.23991E+00    0.61912E+07    0.13007E+05
    55    0.14678E+04    0.15506E+00   -0.47337E+00    0.61677E+07    0.12754E+05
    56    0.14879E+04    0.16415E+00   -0.71983E+00    0.61436E+07    0.12514E+05
    57    0.15083E+04    0.17339E+00   -0.97880E+00    0.61187E+07    0.12287E+05
    58    0.15289E+04    0.18280E+00   -0.12505E+01    0.60932E+07    0.12069E+05
    59    0.15497E+04    0.19240E+00   -0.15350E+01    0.60672E+07    0.11859E+05
    60    0.15706E+04    0.20226E+00   -0.18312E+01    0.60405E+07    0.11654E+05
    61    0.15920E+04    0.21247E+00   -0.21378E+01    0.60133E+07    0.11452E+05
    62    0.16132E+04    0.22300E+00   -0.24562E+01    0.59856E+07    0.11252E+05
    63    0.16346E+04    0.23381E+00   -0.27881E+01    0.59575E+07    0.11054E+05
    64    0.16563E+04    0.24493E+00   -0.31354E+01    0.59290E+07    0.10858E+05
    65    0.16781E+04    0.25631E+00   -0.34991E+01    0.59002E+07    0.10664E+05
    66    0.17002E+04    0.26790E+00   -0.38781E+01    0.58710E+07    0.10471E+05
    67    0.17224E+04    0.27968E+00   -0.42692E+01    0.58417E+07    0.10281E+05
    68    0.17450E+04    0.29172E+00   -0.46703E+01    0.58121E+07    0.10094E+05
    69    0.17679E+04    0.30397E+00   -0.50794E+01    0.57823E+07    0.99133E+04
    70    0.17910E+04    0.31647E+00   -0.54975E+01    0.57524E+07    0.97387E+04
    71    0.18143E+04    0.32922E+00   -0.59268E+01    0.57222E+07    0.95715E+04
    72    0.18377E+04    0.34219E+00   -0.63686E+01    0.56920E+07    0.94113E+04
    73    0.18613E+04    0.35534E+00   -0.68235E+01    0.56616E+07    0.92570E+04
    74    0.18851E+04    0.36866E+00   -0.72908E+01    0.56311E+07    0.91078E+04
    75    0.19092E+04    0.38216E+00   -0.77688E+01    0.56004E+07    0.89627E+04
    76    0.19336E+04    0.39584E+00   -0.82572E+01    0.55696E+07    0.88208E+04
    77    0.19583E+04    0.40968E+00   -0.87558E+01    0.55387E+07    0.86816E+04
    78    0.19833E+04    0.42372E+00   -0.92662E+01    0.55078E+07    0.85446E+04
    79    0.20086E+04    0.43789E+00   -0.97849E+01    0.54767E+07    0.84093E+04
    80    0.20341E+04    0.45221E+00   -0.10313E+02    0.54457E+07    0.82752E+04
    81    0.20597E+04    0.46661E+00   -0.10852E+02    0.54146E+07    0.81420E+04
    82    0.20857E+04    0.48113E+00   -0.11400E+02    0.53835E+07    0.80100E+04
    83    0.21118E+04    0.49573E+00   -0.11957E+02    0.53524E+07    0.78796E+04
    84    0.21381E+04    0.51041E+00   -0.12521E+02    0.53214E+07    0.77514E+04
    85    0.21646E+04    0.52516E+00   -0.13093E+02    0.52904E+07    0.76258E+04
    86    0.21913E+04    0.53998E+00   -0.13671E+02    0.52594E+07    0.75033E+04
    87    0.22184E+04    0.55484E+00   -0.14256E+02    0.52286E+07    0.73837E+04
    88    0.22455E+04    0.56975E+00   -0.14847E+02    0.51978E+07    0.72670E+04
    89    0.22729E+04    0.58471E+00   -0.15445E+02    0.51670E+07    0.71531E+04
    90    0.23006E+04    0.59968E+00   -0.16047E+02    0.51364E+07    0.70419E+04
    91    0.23284E+04    0.61464E+00   -0.16656E+02    0.51059E+07    0.69332E+04
    92    0.23565E+04    0.62959E+00   -0.17268E+02    0.50755E+07    0.68269E+04
    93    0.23848E+04    0.64451E+00   -0.17886E+02    0.50451E+07    0.67230E+04
    94    0.24132E+04    0.65938E+00   -0.18507E+02    0.50149E+07    0.66215E+04
    95    0.24419E+04    0.67418E+00   -0.19132E+02    0.49848E+07    0.65221E+04
    96    0.24706E+04    0.68891E+00   -0.19761E+02    0.49549E+07    0.64250E+04
    97    0.24998E+04    0.70355E+00   -0.20392E+02    0.49250E+07    0.63299E+04
    98    0.25291E+04    0.71809E+00   -0.21024E+02    0.48953E+07    0.62368E+04
    99    0.25585E+04    0.73251E+00   -0.21660E+02    0.48657E+07    0.61456E+04
   100    0.25882E+04    0.74679E+00   -0.22294E+02    0.48362E+07    0.60563E+04
   101    0.26181E+04    0.76099E+00   -0.22931E+02    0.48069E+07    0.59687E+04
   102    0.26484E+04    0.77498E+00   -0.23568E+02    0.47777E+07    0.58828E+04
   103    0.26787E+04    0.78882E+00   -0.24205E+02    0.47487E+07    0.57986E+04
   104    0.27092E+04    0.80252E+00   -0.24840E+02    0.47198E+07    0.57159E+04
   105    0.27399E+04    0.81600E+00   -0.25475E+02    0.46911E+07    0.56347E+04
   106    0.27707E+04    0.82933E+00   -0.26108E+02    0.46625E+07    0.55548E+04
   107    0.28015E+04    0.84237E+00   -0.26739E+02    0.46341E+07    0.54763E+04
   108    0.28327E+04    0.85519E+00   -0.27368E+02    0.46058E+07    0.53990E+04
   109    0.28640E+04    0.86772E+00   -0.27993E+02    0.45777E+07    0.53229E+04
   110    0.28955E+04    0.87996E+00   -0.28613E+02    0.45498E+07    0.52478E+04
   111    0.29270E+04    0.89198E+00   -0.29230E+02    0.45221E+07    0.51738E+04
   112    0.29587E+04    0.90371E+00   -0.29843E+02    0.44945E+07    0.51008E+04
   113    0.29907E+04    0.91515E+00   -0.30450E+02    0.44671E+07    0.50288E+04
   114    0.30227E+04    0.92622E+00   -0.31051E+02    0.44399E+07    0.49578E+04
   115    0.30549E+04    0.93708E+00   -0.31645E+02    0.44129E+07    0.48879E+04
   116    0.30872E+04    0.94750E+00   -0.32232E+02    0.43860E+07    0.48190E+04
   117    0.31197E+04    0.95755E+00   -0.32811E+02    0.43594E+07    0.47511E+04
   118    0.31524E+04    0.96739E+00   -0.33383E+02    0.43329E+07    0.46842E+04
   119    0.31851E+04    0.97686E+00   -0.33946E+02    0.43065E+07    0.46184E+04
   120    0.32179E+04    0.98582E+00   -0.34499E+02    0.42804E+07    0.45537E+04
   121    0.32508E+04    0.99456E+00   -0.35043E+02    0.42544E+07    0.44900E+04
   122    0.32837E+04    0.10028E+01   -0.35576E+02    0.42287E+07    0.44274E+04
   123    0.33167E+04    0.10106E+01   -0.36099E+02    0.42031E+07    0.43658E+04
   124    0.33497E+04    0.10180E+01   -0.36609E+02    0.41777E+07    0.43053E+04
   125    0.33827E+04    0.10250E+01   -0.37108E+02    0.41524E+07    0.42459E+04
   126    0.34158E+04    0.10316E+01   -0.37595E+02    0.41274E+07    0.41875E+04
   127    0.34489E+04    0.10377E+01   -0.38069E+02    0.41025E+07    0.41302E+04
   128    0.34820E+04    0.10434E+01   -0.38530E+02    0.40778E+07    0.40740E+04
   129    0.35152E+04    0.10487E+01   -0.38977E+02    0.40533E+07    0.40189E+04
   130    0.35483E+04    0.10534E+01   -0.39409E+02    0.40290E+07    0.39649E+04
   131    0.35815E+04    0.10577E+01   -0.39828E+02    0.40049E+07    0.39120E+04
   132    0.36147E+04    0.10616E+01   -0.40230E+02    0.39809E+07    0.38602E+04
   133    0.36478E+04    0.10650E+01   -0.40618E+02    0.39572E+07    0.38093E+04
   134    0.36809E+04    0.10679E+01   -0.40988E+02    0.39336E+07    0.37595E+04
   135    0.37140E+04    0.10704E+01   -0.41342E+02    0.39102E+07    0.37107E+04
   136    0.37470E+04    0.10723E+01   -0.41677E+02    0.38869E+07    0.36628E+04
   137    0.37799E+04    0.10738E+01   -0.41995E+02    0.38639E+07    0.36158E+04
   138    0.38128E+04    0.10748E+01   -0.42294E+02    0.38410E+07    0.35697E+04
   139    0.38454E+04    0.10754E+01   -0.42575E+02    0.38183E+07    0.35244E+04
   140    0.38781E+04    0.10754E+01   -0.42837E+02    0.37958E+07    0.34800E+04
   141    0.39106E+04    0.10749E+01   -0.43079E+02    0.37735E+07    0.34363E+04
   142    0.39431E+04    0.10740E+01   -0.43301E+02    0.37513E+07    0.33934E+04
   143    0.39756E+04    0.10727E+01   -0.43504E+02    0.37293E+07    0.33512E+04
   144    0.40078E+04    0.10708E+01   -0.43686E+02    0.37075E+07    0.33097E+04
   145    0.40399E+04    0.10686E+01   -0.43847E+02    0.36858E+07    0.32689E+04
   146    0.40720E+04    0.10657E+01   -0.43987E+02    0.36643E+07    0.32287E+04
   147    0.41038E+04    0.10626E+01   -0.44104E+02    0.36430E+07    0.31891E+04
   148    0.41355E+04    0.10589E+01   -0.44200E+02    0.36218E+07    0.31500E+04
   149    0.41671E+04    0.10547E+01   -0.44275E+02    0.36008E+07    0.31115E+04
   150    0.41984E+04    0.10502E+01   -0.44324E+02    0.35800E+07    0.30735E+04
   151    0.42295E+04    0.10453E+01   -0.44352E+02    0.35594E+07    0.30359E+04
   152    0.42604E+04    0.10399E+01   -0.44356E+02    0.35389E+07    0.29988E+04
   153    0.42912E+04    0.10341E+01   -0.44336E+02    0.35185E+07    0.29622E+04
   154    0.43217E+04    0.10279E+01   -0.44292E+02    0.34983E+07    0.29261E+04
   155    0.43520E+04    0.10214E+01   -0.44224E+02    0.34783E+07    0.28904E+04
   156    0.43820E+04    0.10145E+01   -0.44133E+02    0.34585E+07    0.28552E+04
   157    0.44119E+04    0.10072E+01   -0.44016E+02    0.34388E+07    0.28205E+04
   158    0.44415E+04    0.99967E+00   -0.43874E+02    0.34192E+07    0.27862E+04
   159    0.44708E+04    0.99168E+00   -0.43708E+02    0.33999E+07    0.27524E+04
   160    0.45000E+04    0.98340E+00   -0.43516E+02    0.33806E+07    0.27190E+04
   161    0.45288E+04    0.97490E+00   -0.43298E+02    0.33615E+07    0.26861E+04
   162    0.45575E+04    0.96604E+00   -0.43057E+02    0.33426E+07    0.26536E+04
   163    0.45859E+04    0.95688E+00   -0.42788E+02    0.33239E+07    0.26216E+04
   164    0.46139E+04    0.94751E+00   -0.42496E+02    0.33052E+07    0.25901E+04
   165    0.46418E+04    0.93785E+00   -0.42176E+02    0.32868E+07    0.25590E+04
