#    L    TT             EE             TE             PP             TP          
     2    0.10546E+04    0.44611E-01    0.33058E+01    0.11040E+07    0.27877E+05
     3    0.99908E+03    0.69934E-01    0.39805E+01    0.16984E+07    0.33536E+05
     4    0.94334E+03    0.75623E-01    0.39893E+01    0.22246E+07    0.36294E+05
     5    0.89998E+03    0.64435E-01    0.36272E+01    0.26888E+07    0.37458E+05
     6    0.86888E+03    0.45711E-01    0.31095E+01    0.30982E+07    0.37736E+05
     7    0.84796E+03    0.28096E-01    0.25671E+01    0.34612E+07    0.37509E+05
     8    0.83455E+03    0.16014E-01    0.20759E+01    0.37842E+07    0.36940E+05
     9    0.82699E+03    0.97403E-02    0.16698E+01    0.40730E+07    0.36132E+05
    10    0.82400E+03    0.73211E-02    0.13644E+01    0.43316E+07    0.35191E+05
    11    0.82418E+03    0.65377E-02    0.11620E+01    0.45648E+07    0.34239E+05
    12    0.82784E+03    0.60702E-02    0.10569E+01    0.47743E+07    0.33330E+05
    13    0.83325E+03    0.53462E-02    0.10257E+01    0.49629E+07    0.32468E+05
    14    0.83951E+03    0.46883E-02    0.10412E+01    0.51332E+07    0.31641E+05
    15    0.84699E+03    0.42835E-02    0.10871E+01    0.52872E+07    0.30818E+05
    16    0.85619E+03    0.42091E-02    0.11508E+01    0.54263E+07    0.29977E+05
    17    0.86704E+03    0.44599E-02    0.12207E+01    0.55521E+07    0.29143E+05
    18    0.87857E+03    0.48316E-02    0.12887E+01    0.56661E+07    0.28343E+05
    19    0.89163E+03    0.52542E-02    0.13508E+01    0.57689E+07    0.27579E+05
    20    0.90455E+03    0.57582E-02    0.14029E+01    0.58613E+07    0.26841E+05
    21    0.91770E+03    0.63738E-02    0.14500E+01    0.59444E+07    0.26122E+05
    22    0.93135E+03    0.72013E-02    0.14971E+01    0.60193E+07    0.25419E+05
    23    0.94533E+03    0.82622E-02    0.15457E+01    0.60865E+07    0.24738E+05
    24    0.95970E+03    0.95266E-02    0.15963E+01    0.61464E+07    0.24085E+05
    25    0.97442E+03    0.11008E-01    0.16489E+01    0.61998E+07    0.23463E+05
    26    0.98930E+03    0.12688E-01    0.17042E+01    0.62473E+07    0.22871E+05
    27    0.10046E+04    0.14537E-01    0.17593E+01    0.62892E+07    0.22303E+05
    28    0.10201E+04    0.16553E-01    0.18118E+01    0.63261E+07    0.21753E+05
    29    0.10359E+04    0.18746E-01    0.18598E+01    0.63580E+07    0.21224E+05
    30    0.10520E+04    0.21134E-01    0.19004E+01    0.63850E+07    0.20719E+05
    31    0.10681E+04    0.23713E-01    0.19328E+01    0.64077E+07    0.20235E+05
    32    0.10846E+04    0.26467E-01    0.19561E+01    0.64267E+07    0.19768E+05
    33    0.11015E+04    0.29402E-01    0.19676E+01    0.64422E+07    0.19313E+05
    34    0.11185E+04    0.32544E-01    0.19659E+01    0.64544E+07    0.18867E+05
    35    0.11356E+04    0.35918E-01    0.19552E+01    0.64634E+07    0.18429E+05
    36    0.11529E+04    0.39548E-01    0.19383E+01    0.64696E+07    0.17999E+05
    37    0.11702E+04    0.43420E-01    0.19123E+01    0.64732E+07    0.17587E+05
    38    0.11879E+04    0.47521E-01    0.18755E+01    0.64742E+07    0.17203E+05
    39    0.12059E+04    0.51860E-01    0.18288E+01    0.64729E+07    0.16840E+05
    40    0.12241E+04    0.56459E-01    0.17736E+01    0.64694E+07    0.16491E+05
    41    0.12425E+04    0.61338E-01    0.17102E+01    0.64637E+07    0.16149E+05
    42    0.12609E+04    0.66502E-01    0.16373E+01    0.64560E+07    0.15814E+05
    43    0.12794E+04    0.71950E-01    0.15528E+01    0.64466E+07    0.15487E+05
    44    0.12980E+04    0.77666E-01    0.14556E+01    0.64353E+07    0.15168E+05
    45    0.13168E+04    0.83645E-01    0.13446E+01    0.64225E+07    0.14859E+05
    46    0.13360E+04    0.89888E-01    0.12173E+01    0.64083E+07    0.14560E+05
    47    0.13552E+04    0.96394E-01    0.10752E+01    0.63927E+07    0.14269E+05
    48    0.13746E+04    0.10317E+00    0.92333E+00    0.63758E+07    0.13987E+05
    49    0.13940E+04    0.11021E+00    0.76624E+00    0.63577E+07    0.13710E+05
    50    0.14139E+04    0.11750E+00    0.60168E+00    0.63386E+07    0.13438E+05
    51    0.14339E+04    0.12499E+00    0.42569E+00    0.63184E+07    0.13169E+05
    52    0.14543E+04    0.13279E+00    0.23326E+00    0.62973E+07    0.12904E+05
    53    0.14747E+04    0.14103E+00    0.20969E-01    0.62753E+07    0.12646E+05
    54    0.14951E+04    0.14971E+00   -0.20666E+00    0.62525E+07    0.12396E+05
    55    0.15155E+04    0.15879E+00   -0.44497E+00    0.62289E+07    0.12157E+05
    56    0.15363E+04    0.16814E+00   -0.69550E+00    0.62046E+07    0.11929E+05
    57    0.15574E+04    0.17764E+00   -0.95821E+00    0.61796E+07    0.11711E+05
    58    0.15788E+04    0.18730E+00   -0.12339E+01    0.61540E+07    0.11502E+05
    59    0.16004E+04    0.19717E+00   -0.15234E+01    0.61277E+07    0.11301E+05
    60    0.16221E+04    0.20730E+00   -0.18261E+01    0.61009E+07    0.11107E+05
    61    0.16442E+04    0.21778E+00   -0.21413E+01    0.60735E+07    0.10917E+05
    62    0.16663E+04    0.22860E+00   -0.24697E+01    0.60457E+07    0.10731E+05
    63    0.16884E+04    0.23972E+00   -0.28124E+01    0.60174E+07    0.10547E+05
    64    0.17110E+04    0.25115E+00   -0.31705E+01    0.59887E+07    0.10365E+05
    65    0.17336E+04    0.26287E+00   -0.35445E+01    0.59597E+07    0.10183E+05
    66    0.17565E+04    0.27481E+00   -0.39326E+01    0.59304E+07    0.99997E+04
    67    0.17795E+04    0.28697E+00   -0.43320E+01    0.59008E+07    0.98174E+04
    68    0.18030E+04    0.29938E+00   -0.47412E+01    0.58711E+07    0.96377E+04
    69    0.18267E+04    0.31202E+00   -0.51583E+01    0.58411E+07    0.94625E+04
    70    0.18506E+04    0.32491E+00   -0.55853E+01    0.58109E+07    0.92935E+04
    71    0.18748E+04    0.33805E+00   -0.60243E+01    0.57806E+07    0.91324E+04
    72    0.18990E+04    0.35140E+00   -0.64770E+01    0.57502E+07    0.89786E+04
    73    0.19235E+04    0.36494E+00   -0.69437E+01    0.57196E+07    0.88313E+04
    74    0.19481E+04    0.37866E+00   -0.74236E+01    0.56889E+07    0.86897E+04
    75    0.19730E+04    0.39256E+00   -0.79151E+01    0.56580E+07    0.85530E+04
    76    0.19983E+04    0.40664E+00   -0.84177E+01    0.56270E+07    0.84203E+04
    77    0.20239E+04    0.42091E+00   -0.89311E+01    0.55959E+07    0.82908E+04
    78    0.20498E+04    0.43538E+00   -0.94568E+01    0.55647E+07    0.81635E+04
    79    0.20759E+04    0.45000E+00   -0.99910E+01    0.55335E+07    0.80377E+04
    80    0.21023E+04    0.46477E+00   -0.10535E+02    0.55022E+07    0.79124E+04
    81    0.21289E+04    0.47964E+00   -0.11089E+02    0.54709E+07    0.77871E+04
    82    0.21557E+04    0.49463E+00   -0.11653E+02    0.54396E+07    0.76621E+04
    83    0.21827E+04    0.50972E+00   -0.12226E+02    0.54083E+07    0.75381E+04
    84    0.22100E+04    0.52491E+00   -0.12806E+02    0.53770E+07    0.74156E+04
    85    0.22374E+04    0.54016E+00   -0.13395E+02    0.53458E+07    0.72953E+04
    86    0.22650E+04    0.55549E+00   -0.13990E+02    0.53147E+07    0.71777E+04
    87    0.22930E+04    0.57087E+00   -0.14592E+02    0.52836E+07    0.70628E+04
    88    0.23210E+04    0.58631E+00   -0.15201E+02    0.52525E+07    0.69507E+04
    89    0.23494E+04    0.60180E+00   -0.15817E+02    0.52216E+07    0.68413E+04
    90    0.23780E+04    0.61731E+00   -0.16439E+02    0.51908E+07    0.67346E+04
    91    0.24068E+04    0.63281E+00   -0.17066E+02    0.51600E+07    0.66305E+04
    92    0.24358E+04    0.64831E+00   -0.17699E+02    0.51294E+07    0.65290E+04
    93    0.24651E+04    0.66379E+00   -0.18336E+02    0.50988E+07    0.64299E+04
    94    0.24945E+04    0.67921E+00   -0.18977E+02    0.50684E+07    0.63331E+04
    95    0.25242E+04    0.69457E+00   -0.19623E+02    0.50381E+07    0.62387E+04
    96    0.25538E+04    0.70987E+00   -0.20272E+02    0.50079E+07    0.61464E+04
    97    0.25840E+04    0.72508E+00   -0.20925E+02    0.49778E+07    0.60563E+04
    98    0.26143E+04    0.74019E+00   -0.21578E+02    0.49479E+07    0.59682E+04
    99    0.26447E+04    0.75518E+00   -0.22236E+02    0.49180E+07    0.58819E+04
   100    0.26754E+04    0.77004E+00   -0.22892E+02    0.48883E+07    0.57976E+04
   101    0.27063E+04    0.78483E+00   -0.23551E+02    0.48588E+07    0.57149E+04
   102    0.27377E+04    0.79939E+00   -0.24211E+02    0.48294E+07    0.56340E+04
   103    0.27690E+04    0.81382E+00   -0.24871E+02    0.48001E+07    0.55545E+04
   104    0.28006E+04    0.82810E+00   -0.25529E+02    0.47710E+07    0.54766E+04
   105    0.28323E+04    0.84216E+00   -0.26187E+02    0.47421E+07    0.54001E+04
   106    0.28642E+04    0.85608E+00   -0.26844E+02    0.47133E+07    0.53248E+04
   107    0.28961E+04    0.86971E+00   -0.27499E+02    0.46846E+07    0.52508E+04
   108    0.29283E+04    0.88311E+00   -0.28151E+02    0.46561E+07    0.51778E+04
   109    0.29607E+04    0.89623E+00   -0.28801E+02    0.46278E+07    0.51059E+04
   110    0.29932E+04    0.90905E+00   -0.29446E+02    0.45997E+07    0.50350E+04
   111    0.30259E+04    0.92165E+00   -0.30087E+02    0.45717E+07    0.49649E+04
   112    0.30587E+04    0.93397E+00   -0.30725E+02    0.45440E+07    0.48957E+04
   113    0.30918E+04    0.94598E+00   -0.31357E+02    0.45163E+07    0.48273E+04
   114    0.31249E+04    0.95763E+00   -0.31983E+02    0.44889E+07    0.47599E+04
   115    0.31583E+04    0.96906E+00   -0.32603E+02    0.44617E+07    0.46933E+04
   116    0.31916E+04    0.98005E+00   -0.33215E+02    0.44346E+07    0.46276E+04
   117    0.32253E+04    0.99067E+00   -0.33820E+02    0.44077E+07    0.45629E+04
   118    0.32592E+04    0.10011E+01   -0.34418E+02    0.43810E+07    0.44991E+04
   119    0.32930E+04    0.10111E+01   -0.35006E+02    0.43544E+07    0.44362E+04
