#    L    TT             EE             TE             PP             TP          
     2    0.11006E+04    0.45645E-01    0.31926E+01    0.10736E+07    0.30821E+05
     3    0.10349E+04    0.70924E-01    0.38981E+01    0.16544E+07    0.36747E+05
     4    0.97187E+03    0.75786E-01    0.39327E+01    0.21695E+07    0.39539E+05
     5    0.92331E+03    0.63700E-01    0.35870E+01    0.26244E+07    0.40638E+05
     6    0.88845E+03    0.44529E-01    0.30775E+01    0.30261E+07    0.40814E+05
     7    0.86478E+03    0.27005E-01    0.25391E+01    0.33825E+07    0.40486E+05
     8    0.84929E+03    0.15319E-01    0.20502E+01    0.36999E+07    0.39825E+05
     9    0.84009E+03    0.94437E-02    0.16476E+01    0.39839E+07    0.38928E+05
    10    0.83576E+03    0.72475E-02    0.13481E+01    0.42382E+07    0.37893E+05
    11    0.83483E+03    0.65082E-02    0.11534E+01    0.44677E+07    0.36845E+05
    12    0.83761E+03    0.60043E-02    0.10559E+01    0.46740E+07    0.35847E+05
    13    0.84233E+03    0.52460E-02    0.10309E+01    0.48598E+07    0.34899E+05
    14    0.84804E+03    0.46098E-02    0.10505E+01    0.50276E+07    0.33984E+05
    15    0.85507E+03    0.42591E-02    0.10989E+01    0.51794E+07    0.33074E+05
    16    0.86389E+03    0.42340E-02    0.11641E+01    0.53165E+07    0.32146E+05
    17    0.87442E+03    0.45154E-02    0.12345E+01    0.54406E+07    0.31231E+05
    18    0.88573E+03    0.48962E-02    0.13015E+01    0.55530E+07    0.30359E+05
    19    0.89862E+03    0.53262E-02    0.13619E+01    0.56544E+07    0.29526E+05
    20    0.91141E+03    0.58558E-02    0.14124E+01    0.57456E+07    0.28716E+05
    21    0.92445E+03    0.65162E-02    0.14591E+01    0.58276E+07    0.27927E+05
    22    0.93803E+03    0.74032E-02    0.15075E+01    0.59015E+07    0.27158E+05
    23    0.95198E+03    0.85307E-02    0.15579E+01    0.59678E+07    0.26417E+05
    24    0.96634E+03    0.98618E-02    0.16095E+01    0.60270E+07    0.25710E+05
    25    0.98107E+03    0.11408E-01    0.16628E+01    0.60797E+07    0.25037E+05
    26    0.99597E+03    0.13150E-01    0.17192E+01    0.61266E+07    0.24394E+05
    27    0.10113E+04    0.15062E-01    0.17750E+01    0.61680E+07    0.23775E+05
    28    0.10269E+04    0.17146E-01    0.18270E+01    0.62044E+07    0.23176E+05
    29    0.10428E+04    0.19412E-01    0.18736E+01    0.62359E+07    0.22601E+05
    30    0.10589E+04    0.21878E-01    0.19124E+01    0.62626E+07    0.22054E+05
    31    0.10752E+04    0.24536E-01    0.19422E+01    0.62850E+07    0.21529E+05
    32    0.10918E+04    0.27368E-01    0.19616E+01    0.63037E+07    0.21019E+05
    33    0.11088E+04    0.30393E-01    0.19688E+01    0.63191E+07    0.20521E+05
    34    0.11259E+04    0.33642E-01    0.19635E+01    0.63311E+07    0.20034E+05
    35    0.11432E+04    0.37135E-01    0.19498E+01    0.63400E+07    0.19557E+05
    36    0.11606E+04    0.40886E-01    0.19304E+01    0.63461E+07    0.19095E+05
    37    0.11781E+04    0.44883E-01    0.19014E+01    0.63496E+07    0.18655E+05
    38    0.11959E+04    0.49114E-01    0.18606E+01    0.63506E+07    0.18242E+05
    39    0.12142E+04    0.53592E-01    0.18090E+01    0.63493E+07    0.17852E+05
    40    0.12326E+04    0.58336E-01    0.17486E+01    0.63458E+07    0.17475E+05
    41    0.12512E+04    0.63369E-01    0.16805E+01    0.63402E+07    0.17104E+05
    42    0.12698E+04    0.68693E-01    0.16030E+01    0.63327E+07    0.16740E+05
    43    0.12885E+04    0.74308E-01    0.15138E+01    0.63233E+07    0.16384E+05
    44    0.13072E+04    0.80199E-01    0.14114E+01    0.63122E+07    0.16037E+05
    45    0.13263E+04    0.86359E-01    0.12945E+01    0.62995E+07    0.15701E+05
