#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.11006E+04    0.45645E-01    0.00000E+00    0.31926E+01    0.51756E-07    0.33065E-02   -0.15139E-04
     3    0.10349E+04    0.70924E-01    0.00000E+00    0.38981E+01    0.63014E-07    0.33037E-02   -0.18032E-04
     4    0.97187E+03    0.75786E-01    0.00000E+00    0.39327E+01    0.72628E-07    0.32267E-02   -0.17593E-04
     5    0.92331E+03    0.63700E-01    0.00000E+00    0.35870E+01    0.80969E-07    0.31194E-02   -0.14885E-04
     6    0.88845E+03    0.44529E-01    0.00000E+00    0.30775E+01    0.88248E-07    0.30034E-02   -0.10867E-04
     7    0.86478E+03    0.27005E-01    0.00000E+00    0.25391E+01    0.94656E-07    0.28885E-02   -0.64297E-05
     8    0.84929E+03    0.15319E-01    0.00000E+00    0.20502E+01    0.10033E-06    0.27750E-02   -0.23470E-05
     9    0.84009E+03    0.94437E-02    0.00000E+00    0.16476E+01    0.10538E-06    0.26624E-02    0.82342E-06
    10    0.83576E+03    0.72475E-02    0.00000E+00    0.13481E+01    0.10987E-06    0.25528E-02    0.28394E-05
    11    0.83483E+03    0.65082E-02    0.00000E+00    0.11534E+01    0.11392E-06    0.24515E-02    0.37410E-05
    12    0.83761E+03    0.60043E-02    0.00000E+00    0.10559E+01    0.11753E-06    0.23603E-02    0.36848E-05
    13    0.84233E+03    0.52460E-02    0.00000E+00    0.10309E+01    0.12076E-06    0.22775E-02    0.28799E-05
    14    0.84804E+03    0.46098E-02    0.00000E+00    0.10505E+01    0.12366E-06    0.22009E-02    0.15757E-05
    15    0.85507E+03    0.42591E-02    0.00000E+00    0.10989E+01    0.12626E-06    0.21277E-02    0.17290E-06
    16    0.86389E+03    0.42340E-02    0.00000E+00    0.11641E+01    0.12859E-06    0.20559E-02   -0.95892E-06
    17    0.87442E+03    0.45154E-02    0.00000E+00    0.12345E+01    0.13068E-06    0.19870E-02   -0.16960E-05
    18    0.88573E+03    0.48962E-02    0.00000E+00    0.13015E+01    0.13256E-06    0.19226E-02   -0.20109E-05
    19    0.89862E+03    0.53262E-02    0.00000E+00    0.13619E+01    0.13424E-06    0.18620E-02   -0.20192E-05
    20    0.91141E+03    0.58558E-02    0.00000E+00    0.14124E+01    0.13572E-06    0.18042E-02   -0.18422E-05
    21    0.92445E+03    0.65162E-02    0.00000E+00    0.14591E+01    0.13703E-06    0.17486E-02   -0.14897E-05
    22    0.93803E+03    0.74032E-02    0.00000E+00    0.15075E+01    0.13820E-06    0.16952E-02   -0.97792E-06
    23    0.95198E+03    0.85307E-02    0.00000E+00    0.15579E+01    0.13922E-06    0.16443E-02   -0.45938E-06
    24    0.96634E+03    0.98618E-02    0.00000E+00    0.16095E+01    0.14012E-06    0.15961E-02   -0.97119E-07
    25    0.98107E+03    0.11408E-01    0.00000E+00    0.16628E+01    0.14089E-06    0.15506E-02    0.33461E-07
    26    0.99597E+03    0.13150E-01    0.00000E+00    0.17192E+01    0.14156E-06    0.15074E-02   -0.83235E-07
    27    0.10113E+04    0.15062E-01    0.00000E+00    0.17750E+01    0.14212E-06    0.14662E-02   -0.31176E-06
    28    0.10269E+04    0.17146E-01    0.00000E+00    0.18270E+01    0.14260E-06    0.14265E-02   -0.50968E-06
