# ExpInd    tau    omega_c_h2    A_s    theta_s    omega_b_h2    n_s

0.000000000000000000e+00 7.038975122342769862e-03 7.637692275726216343e-04 2.700478070745704692e-11 1.726485246710410513e-06 6.603394597740145635e-05 2.569933210835760682e-03

1.000000000000000000e+00 6.718895503859652688e-03 7.297145869727601243e-04 2.558251244862684304e-11 1.457917800518692518e-06 5.916734410799945077e-05 2.437008175590961098e-03

2.000000000000000000e+00 6.382085448887302344e-03 6.974536497037974944e-04 2.409333307730584355e-11 1.242338062499672733e-06 5.301342653057722413e-05 2.323370169881636919e-03

3.000000000000000000e+00 6.978928376696934624e-03 7.526901622656307061e-04 2.672120615941243245e-11 1.683639225928604286e-06 6.307162006385974757e-05 2.549521108979286004e-03

4.000000000000000000e+00 6.632997535297040920e-03 7.157824799887576011e-04 2.520733150814830443e-11 1.403408489028580125e-06 5.620896821678938467e-05 2.403778152607549071e-03

5.000000000000000000e+00 6.243290809419185620e-03 6.771195456627789652e-04 2.352807577534080168e-11 1.175921690347165506e-06 4.990731301749777414e-05 2.267542325036295183e-03

6.000000000000000000e+00 6.863847960594847766e-03 7.326010612828437506e-04 2.617869408187032319e-11 1.612026347387115391e-06 5.690785126555597290e-05 2.513649078808679379e-03

7.000000000000000000e+00 6.476264818385925673e-03 6.919205366198700156e-04 2.451557721892520986e-11 1.313857144250542396e-06 5.022405003801119544e-05 2.347300480203758349e-03

8.000000000000000000e+00 5.999785257741452847e-03 6.432958959114793351e-04 2.252705484822053719e-11 1.069255300918550829e-06 4.396464574630064390e-05 2.172042722983054831e-03
